Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,30/03/2023,218171,1078,3,0,0.0137506818046395,33.3333333333333,0.27829313543599254,50.0
ACEH BARAT DAYA,ACEH,30/03/2023,158019,777,6,0,0.0379701175175137,0.0,0.7722007722007722,0.0
ACEH BESAR,ACEH,30/03/2023,442065,2184,54,12,0.122153981880493,0.0,2.4725274725274726,0.0
ACEH JAYA,ACEH,30/03/2023,98816,490,1,3,0.0101198186528497,0.0,0.20408163265306123,
ACEH SELATAN,ACEH,30/03/2023,251633,2485,2,0,0.00794808312105328,0.0,0.08048289738430583,0.0
ACEH SINGKIL,ACEH,30/03/2023,129001,637,2,0,0.0155037557848389,0.0,0.3139717425431711,0.0
ACEH TAMIANG,ACEH,30/03/2023,307662,1519,18,4,0.0585057628176375,0.0,1.184990125082291,10.0
ACEH TENGAH,ACEH,30/03/2023,220975,1092,2,0,0.00905079760153863,0.0,0.18315018315018314,0.0
ACEH TENGGARA,ACEH,30/03/2023,225273,1113,8,0,0.0355124670954797,0.0,0.7187780772686434,0.0
ACEH TIMUR,ACEH,30/03/2023,454438,4480,6,2,0.0132031212178559,0.0,0.13392857142857142,0.0
ACEH UTARA,ACEH,30/03/2023,643469,3185,9,7,0.013986687781385,0.0,0.282574568288854,0.0
AGAM,SUMATERA BARAT,30/03/2023,507351,2520,28,0,0.0551886169535489,0.0,1.1111111111111112,3.225806451612903
ALOR,NTT,30/03/2023,210123,1043,18,3,0.0856641110206879,0.0,1.725790987535954,10.0
ASAHAN,SUMATERA UTARA,30/03/2023,752396,7476,71,139,0.0943652013035689,2.8169014084507,0.9497057249866239,56.25
ASMAT,PAPUA,30/03/2023,105558,518,4,1,0.0378938593001004,0.0,0.7722007722007722,0.0
BADUNG,BALI,30/03/2023,744765,3640,902,555,1.21112028626479,1.44124168514412,24.78021978021978,2.4299065420560746
BALANGAN,KALIMANTAN SELATAN,30/03/2023,135996,1344,28,3,0.205888408482602,0.0,2.083333333333333,
BANDUNG,JAWA BARAT,30/03/2023,3847117,19054,1357,1000,0.352731668935465,3.83198231392778,7.121864175501207,6.262230919765166
BANDUNG BARAT,JAWA BARAT,30/03/2023,1706900,8491,685,329,0.401312320581171,3.7956204379562,8.067365445766105,7.506361323155216
BANGGAI,SULAWESI TENGAH,30/03/2023,395851,1953,21,3,0.0530502638619076,9.52380952380952,1.0752688172043012,18.51851851851852
BANGGAI KEPULAUAN,SULAWESI TENGAH,30/03/2023,120257,602,23,60,0.191257057801209,0.0,3.820598006644518,
BANGGAI LAUT,SULAWESI TENGAH,30/03/2023,79976,392,3,1,0.0375112533760128,0.0,0.7653061224489796,25.0
BANGKA,KEP. BANGKA BELITUNG,30/03/2023,345527,343,133,153,0.384919268248212,3.00751879699248,38.775510204081634,1.4084507042253522
BANGKA BARAT,KEP. BANGKA BELITUNG,30/03/2023,218524,1078,33,8,0.151013161025791,3.03030303030303,3.061224489795918,8.108108108108109
BANGKA SELATAN,KEP. BANGKA BELITUNG,30/03/2023,214921,1064,20,8,0.0930574490161501,15.0,1.8796992481203008,
BANGKA TENGAH,KEP. BANGKA BELITUNG,30/03/2023,200830,994,41,79,0.204152766021013,12.1951219512195,4.124748490945674,49.29577464788733
BANGKALAN,JAWA TIMUR,30/03/2023,1018075,5054,167,46,0.164035066178818,4.79041916167665,3.3043134151167393,2.564102564102564
BANGLI,BALI,30/03/2023,232095,1155,113,84,0.486869600810013,0.884955752212389,9.783549783549784,0.8620689655172413
BANJAR,KALIMANTAN SELATAN,30/03/2023,607164,3003,51,81,0.0839970749253908,1.96078431372549,1.6983016983016983,3.571428571428571
BANJARNEGARA,JAWA TENGAH,30/03/2023,933377,9303,28,19,0.0299985964942354,25.0,0.3009781790820165,16.80672268907563
BANTAENG,SULAWESI SELATAN,30/03/2023,190772,952,11,7,0.0576604533160002,0.0,1.1554621848739497,0.0
BANTUL,DI YOGYAKARTA,30/03/2023,1078404,5320,385,253,0.357009061539089,5.71428571428571,7.236842105263158,7.6923076923076925
BANYUASIN,SUMATERA SELATAN,30/03/2023,898649,4445,252,28,0.280420942993315,0.0,5.669291338582677,2.247191011235955
BANYUMAS,JAWA TENGAH,30/03/2023,1730767,8596,134,35,0.0774223220109928,0.746268656716418,1.5588645881805492,9.390862944162437
BANYUWANGI,JAWA TIMUR,30/03/2023,1629172,8127,274,199,0.168183592647062,1.09489051094891,3.371477790082441,4.983388704318937
BARITO KUALA,KALIMANTAN SELATAN,30/03/2023,320133,1589,134,60,0.418576029337806,0.0,8.432976714915041,0.7142857142857143
BARITO SELATAN,KALIMANTAN TENGAH,30/03/2023,141528,1407,17,3,0.120117573907637,5.88235294117647,1.2082444918265813,11.11111111111111
BARITO TIMUR,KALIMANTAN TENGAH,30/03/2023,130007,1281,13,0,0.0999946156745406,0.0,1.014832162373146,
BARITO UTARA,KALIMANTAN TENGAH,30/03/2023,133586,133,89,108,0.666237479975446,0.0,66.9172932330827,
BARRU,SULAWESI SELATAN,30/03/2023,175924,875,8,1,0.0454741820331507,0.0,0.9142857142857144,0.0
BATANG,JAWA TENGAH,30/03/2023,785195,3899,12,2,0.0152828278325766,8.33333333333333,0.30777122339061297,4.477611940298507
BATANGHARI,JAMBI,30/03/2023,274117,1365,36,1,0.131330782111288,0.0,2.6373626373626373,16.27906976744186
BATU BARA,SUMATERA UTARA,30/03/2023,432925,427,17,5,0.0392677715539643,0.0,3.9812646370023423,35.714285714285715
BEKASI,JAWA BARAT,30/03/2023,4166696,20216,1253,1108,0.300717882946104,4.07023144453312,6.198060941828254,6.148648648648649
BELITUNG,KEP. BANGKA BELITUNG,30/03/2023,194384,959,46,2,0.236644991357313,2.17391304347826,4.796663190823774,5.769230769230769
BELITUNG TIMUR,KEP. BANGKA BELITUNG,30/03/2023,132547,658,8,0,0.0603559492104687,0.0,1.21580547112462,0.0
BELU,NTT,30/03/2023,232794,1148,55,18,0.236260384717819,1.81818181818182,4.790940766550523,1.7543859649122806
BENER MERIAH,ACEH,30/03/2023,154463,763,3,1,0.0194221269818662,0.0,0.39318479685452157,0.0
BENGKALIS,RIAU,30/03/2023,573164,2856,257,189,0.448388244900238,0.0,8.99859943977591,3.5211267605633805
BENGKAYANG,KALIMANTAN BARAT,30/03/2023,269707,1330,38,15,0.140893636427679,0.0,2.857142857142857,4.545454545454546
BENGKULU SELATAN,BENGKULU,30/03/2023,183088,896,12,1,0.0655422529057065,0.0,1.3392857142857142,12.5
BENGKULU TENGAH,BENGKULU,30/03/2023,117380,581,6,9,0.0511160333958085,0.0,1.0327022375215147,22.22222222222222
BENGKULU UTARA,BENGKULU,30/03/2023,312967,308,55,58,0.175737378062224,0.0,17.857142857142858,16.666666666666664
BERAU,KALIMANTAN TIMUR,30/03/2023,240424,238,187,162,0.77779256646591,0.0,78.57142857142857,1.0101010101010102
BIAK NUMFOR,PAPUA,30/03/2023,152123,154,3,0,0.0197208837585375,0.0,1.948051948051948,
BIMA,NTB,30/03/2023,520986,2576,37,50,0.0710191828571209,0.0,1.436335403726708,48.68421052631579
BINTAN,KEP. RIAU,30/03/2023,167625,833,85,73,0.507084265473527,3.52941176470588,10.204081632653061,8.24742268041237
BIREUEN,ACEH,30/03/2023,490248,2422,10,2,0.0203978394608443,0.0,0.41288191577208916,
BLITAR,JAWA TIMUR,30/03/2023,1173198,5852,360,321,0.306853574588433,3.61111111111111,6.151742993848257,4.050632911392405
BLORA,JAWA TENGAH,30/03/2023,867525,4333,121,6,0.13947724849428,0.0,2.7925225017309026,8.996539792387544
BOALEMO,GORONTALO,30/03/2023,174497,1715,5,2,0.0286537877442019,0.0,0.2915451895043732,
