Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,08/01/2023,218171,1078,7,1,0.0320849242108254,0.0,0.6493506493506493,38.46153846153847
ACEH BARAT DAYA,ACEH,08/01/2023,158019,777,5,1,0.0316417645979281,0.0,0.6435006435006435,44.44444444444444
ACEH BESAR,ACEH,08/01/2023,442065,2184,65,11,0.147037200411704,4.61538461538462,2.976190476190476,29.523809523809526
ACEH JAYA,ACEH,08/01/2023,98816,490,20,26,0.202396373056995,0.0,4.081632653061225,
ACEH SELATAN,ACEH,08/01/2023,251633,2485,6,0,0.0238442493631598,33.3333333333333,0.2414486921529175,22.22222222222222
ACEH SINGKIL,ACEH,08/01/2023,129001,637,3,0,0.0232556336772583,0.0,0.47095761381475665,25.0
ACEH TAMIANG,ACEH,08/01/2023,307662,1519,33,15,0.107260565165669,0.0,2.1724818959842,9.090909090909092
ACEH TENGAH,ACEH,08/01/2023,220975,1092,19,23,0.085982577214617,0.0,1.73992673992674,13.043478260869565
ACEH TENGGARA,ACEH,08/01/2023,225273,1113,10,1,0.0443905838693496,0.0,0.8984725965858041,6.25
ACEH TIMUR,ACEH,08/01/2023,454438,4480,17,0,0.0374088434505917,5.88235294117647,0.3794642857142857,14.285714285714285
ACEH UTARA,ACEH,08/01/2023,643469,3185,29,16,0.0450682161844627,0.0,0.9105180533751962,13.157894736842104
AGAM,SUMATERA BARAT,08/01/2023,507351,2520,71,8,0.139942564417928,1.40845070422535,2.8174603174603177,7.0588235294117645
ALOR,NTT,08/01/2023,210123,1043,25,19,0.118977931973178,4.0,2.3969319271332696,9.375
ASAHAN,SUMATERA UTARA,08/01/2023,752396,7476,87,26,0.115630598780429,0.0,1.1637239165329054,20.32520325203252
ASMAT,PAPUA,08/01/2023,105558,518,7,2,0.0663142537751757,0.0,1.3513513513513513,0.0
BADUNG,BALI,08/01/2023,744765,3640,2113,1152,2.8371365464274,0.89919545669664,58.049450549450555,2.130841121495327
