Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,31/01/2023,218171,1078,6,0,0.027501363609279,16.6666666666667,0.5565862708719851,33.33333333333333
ACEH BARAT DAYA,ACEH,31/01/2023,158019,777,1,0,0.00632835291958562,0.0,0.1287001287001287,0.0
ACEH BESAR,ACEH,31/01/2023,442065,2184,25,2,0.056552769389117,0.0,1.1446886446886446,6.451612903225806
ACEH JAYA,ACEH,31/01/2023,98816,490,8,6,0.0809585492227979,0.0,1.6326530612244898,
ACEH SELATAN,ACEH,31/01/2023,251633,2485,6,0,0.0238442493631598,0.0,0.2414486921529175,0.0
ACEH SINGKIL,ACEH,31/01/2023,129001,637,7,0,0.0542631452469361,0.0,1.098901098901099,11.11111111111111
ACEH TAMIANG,ACEH,31/01/2023,307662,1519,14,20,0.0455044821914959,0.0,0.9216589861751152,6.666666666666667
ACEH TENGAH,ACEH,31/01/2023,220975,1092,4,0,0.0181015952030773,0.0,0.3663003663003663,0.0
ACEH TENGGARA,ACEH,31/01/2023,225273,1113,9,0,0.0399515254824147,0.0,0.8086253369272237,
ACEH TIMUR,ACEH,31/01/2023,454438,4480,17,10,0.0374088434505917,0.0,0.3794642857142857,0.0
ACEH UTARA,ACEH,31/01/2023,643469,3185,11,16,0.0170948406216927,0.0,0.3453689167974882,7.142857142857142
AGAM,SUMATERA BARAT,31/01/2023,507351,2520,44,0,0.086724969498434,2.27272727272727,1.746031746031746,4.3478260869565215
ALOR,NTT,31/01/2023,210123,1043,34,9,0.161809987483522,0.0,3.2598274209012463,3.3333333333333335
ASAHAN,SUMATERA UTARA,31/01/2023,752396,7476,75,72,0.099681550672784,0.0,1.0032102728731942,34.21052631578947
ASMAT,PAPUA,31/01/2023,105558,518,6,2,0.0568407889501506,0.0,1.1583011583011582,0.0
BADUNG,BALI,31/01/2023,744765,3640,1826,1418,2.45178009170678,0.657174151150055,50.16483516483517,1.1948908117016894
BALANGAN,KALIMANTAN SELATAN,31/01/2023,135996,1344,21,9,0.154416306361952,0.0,1.5625,5.88235294117647
BANDUNG,JAWA BARAT,31/01/2023,3847117,19054,1173,997,0.304903646028961,2.47229326513214,6.1561876771281625,7.568807339449542
BANDUNG BARAT,JAWA BARAT,31/01/2023,1706900,8491,692,305,0.405413322397328,4.91329479768786,8.149805676598753,7.6923076923076925
BANGGAI,SULAWESI TENGAH,31/01/2023,395851,1953,16,8,0.0404192486566915,0.0,0.819252432155658,6.666666666666667
BANGGAI KEPULAUAN,SULAWESI TENGAH,31/01/2023,120257,602,1,12,0.00831552425222648,0.0,0.16611295681063123,
BANGGAI LAUT,SULAWESI TENGAH,31/01/2023,79976,392,4,1,0.0500150045013504,0.0,1.0204081632653061,20.0
BANGKA,KEP. BANGKA BELITUNG,31/01/2023,345527,343,122,123,0.353083840047232,0.819672131147541,35.56851311953353,2.2900763358778624
BANGKA BARAT,KEP. BANGKA BELITUNG,31/01/2023,218524,1078,34,2,0.155589317420512,0.0,3.153988868274583,0.0
BANGKA SELATAN,KEP. BANGKA BELITUNG,31/01/2023,214921,1064,22,1,0.102363193917765,9.09090909090909,2.0676691729323307,31.03448275862069
BANGKA TENGAH,KEP. BANGKA BELITUNG,31/01/2023,200830,994,44,73,0.219090773290843,2.27272727272727,4.426559356136821,34.42622950819672
BANGKALAN,JAWA TIMUR,31/01/2023,1018075,5054,188,51,0.184662230189328,3.19148936170213,3.7198258804907005,3.056768558951965
BANGLI,BALI,31/01/2023,232095,1155,144,113,0.620435597492406,0.694444444444444,12.467532467532468,4.545454545454546
BANJAR,KALIMANTAN SELATAN,31/01/2023,607164,3003,84,131,0.138348123406526,0.0,2.797202797202797,2.272727272727273
BANJARNEGARA,JAWA TENGAH,31/01/2023,933377,9303,41,14,0.0439265162951305,4.8780487804878,0.4407180479415242,10.526315789473683
BANTAENG,SULAWESI SELATAN,31/01/2023,190772,952,15,4,0.0786278908854549,0.0,1.5756302521008403,0.0
BANTUL,DI YOGYAKARTA,31/01/2023,1078404,5320,362,188,0.335681247473118,0.552486187845304,6.804511278195488,4.8
BANYUASIN,SUMATERA SELATAN,31/01/2023,898649,4445,198,33,0.220330740923319,1.01010101010101,4.454443194600675,3.508771929824561
BANYUMAS,JAWA TENGAH,31/01/2023,1730767,8596,765,167,0.442000569689623,0.784313725490196,8.899488134015822,3.689567430025445
BANYUWANGI,JAWA TIMUR,31/01/2023,1629172,8127,258,182,0.158362652930446,0.0,3.1746031746031744,5.474452554744526
BARITO KUALA,KALIMANTAN SELATAN,31/01/2023,320133,1589,90,38,0.281133154032855,0.0,5.663939584644431,0.0
BARITO SELATAN,KALIMANTAN TENGAH,31/01/2023,141528,1407,16,1,0.113051834266011,0.0,1.1371712864250179,14.285714285714285
BARITO TIMUR,KALIMANTAN TENGAH,31/01/2023,130007,1281,12,0,0.0923027221611144,0.0,0.936768149882904,0.0
BARITO UTARA,KALIMANTAN TENGAH,31/01/2023,133586,133,32,35,0.239546060215891,0.0,24.06015037593985,0.0
BARRU,SULAWESI SELATAN,31/01/2023,175924,875,30,1,0.170528182624315,6.66666666666667,3.428571428571429,0.0
BATANG,JAWA TENGAH,31/01/2023,785195,3899,67,0,0.0853291220652195,0.0,1.7183893305975892,2.2988505747126435
BATANGHARI,JAMBI,31/01/2023,274117,1365,33,4,0.120386550268681,0.0,2.417582417582418,9.75609756097561
BATU BARA,SUMATERA UTARA,31/01/2023,432925,427,73,86,0.168620430790553,1.36986301369863,17.096018735362996,23.636363636363637
