Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,23/03/2023,218171,1078,3,0,0.0137506818046395,0.0,0.27829313543599254,
ACEH BARAT DAYA,ACEH,23/03/2023,158019,777,1,0,0.00632835291958562,0.0,0.1287001287001287,0.0
ACEH BESAR,ACEH,23/03/2023,442065,2184,55,1,0.124416092656057,0.0,2.5183150183150182,0.0
ACEH JAYA,ACEH,23/03/2023,98816,490,9,11,0.0910783678756477,0.0,1.8367346938775513,
ACEH SELATAN,ACEH,23/03/2023,251633,2485,6,1,0.0238442493631598,0.0,0.2414486921529175,0.0
ACEH SINGKIL,ACEH,23/03/2023,129001,637,1,0,0.00775187789241944,0.0,0.15698587127158556,0.0
ACEH TAMIANG,ACEH,23/03/2023,307662,1519,4,1,0.0130012806261417,0.0,0.26333113890717574,33.33333333333333
ACEH TENGAH,ACEH,23/03/2023,220975,1092,3,0,0.013576196402308,0.0,0.27472527472527475,0.0
ACEH TENGGARA,ACEH,23/03/2023,225273,1113,8,0,0.0355124670954797,0.0,0.7187780772686434,
ACEH TIMUR,ACEH,23/03/2023,454438,4480,1,0,0.00220052020297598,0.0,0.022321428571428572,0.0
ACEH UTARA,ACEH,23/03/2023,643469,3185,6,4,0.00932445852092331,0.0,0.18838304552590265,0.0
AGAM,SUMATERA BARAT,23/03/2023,507351,2520,26,0,0.0512465728854383,0.0,1.0317460317460316,3.125
ALOR,NTT,23/03/2023,210123,1043,13,4,0.0618685246260524,7.69230769230769,1.2464046021093003,
ASAHAN,SUMATERA UTARA,23/03/2023,752396,7476,37,70,0.0491762316652401,2.7027027027027,0.49491706795077584,56.98924731182796
ASMAT,PAPUA,23/03/2023,105558,518,1,0,0.0094734648250251,0.0,0.19305019305019305,0.0
BADUNG,BALI,23/03/2023,744765,3640,695,377,0.933180264915779,1.8705035971223,19.09340659340659,2.358490566037736
BALANGAN,KALIMANTAN SELATAN,23/03/2023,135996,1344,22,3,0.161769463807759,0.0,1.636904761904762,0.0
BANDUNG,JAWA BARAT,23/03/2023,3847117,19054,1196,1005,0.310882148892274,2.25752508361204,6.276897239424793,5.022156573116692
BANDUNG BARAT,JAWA BARAT,23/03/2023,1706900,8491,529,306,0.309918565821079,3.02457466918715,6.230126015781416,8.653846153846153
BANGGAI,SULAWESI TENGAH,23/03/2023,395851,1953,17,5,0.0429454516977348,0.0,0.8704557091653866,5.0
BANGGAI KEPULAUAN,SULAWESI TENGAH,23/03/2023,120257,602,4,16,0.0332620970089059,0.0,0.6644518272425249,
BANGGAI LAUT,SULAWESI TENGAH,23/03/2023,79976,392,2,0,0.0250075022506752,0.0,0.5102040816326531,
BANGKA,KEP. BANGKA BELITUNG,23/03/2023,345527,343,84,90,0.243106906262029,0.0,24.489795918367346,1.1235955056179776
BANGKA BARAT,KEP. BANGKA BELITUNG,23/03/2023,218524,1078,26,4,0.118980066262745,0.0,2.411873840445269,3.4482758620689653
BANGKA SELATAN,KEP. BANGKA BELITUNG,23/03/2023,214921,1064,28,2,0.13028042862261,14.2857142857143,2.631578947368421,41.46341463414634
BANGKA TENGAH,KEP. BANGKA BELITUNG,23/03/2023,200830,994,48,92,0.239008116317283,6.25,4.82897384305835,43.333333333333336
BANGKALAN,JAWA TIMUR,23/03/2023,1018075,5054,142,22,0.139478918547258,2.8169014084507,2.809655718242976,1.935483870967742
BANGLI,BALI,23/03/2023,232095,1155,86,82,0.370537926280187,0.0,7.445887445887446,0.0
