Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,18/01/2024,206822,1078,1,0,0.00483507557223119,0.0,0.0927643784786642,
ACEH BARAT DAYA,ACEH,18/01/2024,159187,777,0,0,0.0,0.0,0.0,
ACEH BESAR,ACEH,18/01/2024,428254,2184,1,0,0.00233506283654093,0.0,0.045787545787545784,
ACEH JAYA,ACEH,18/01/2024,99200,490,2,0,0.0201612903225806,0.0,0.40816326530612246,
ACEH SELATAN,ACEH,18/01/2024,241994,2485,2,0,0.00826466771903436,0.0,0.08048289738430583,
ACEH SINGKIL,ACEH,18/01/2024,135684,637,0,0,0.0,0.0,0.0,
ACEH TAMIANG,ACEH,18/01/2024,309039,1519,2,0,0.00647167509602348,0.0,0.13166556945358787,
ACEH TENGAH,ACEH,18/01/2024,226744,1092,0,0,0.0,0.0,0.0,
ACEH TENGGARA,ACEH,18/01/2024,234430,1113,1,0,0.00426566565712579,0.0,0.08984725965858043,
ACEH TIMUR,ACEH,18/01/2024,443638,4480,0,0,0.0,0.0,0.0,
ACEH UTARA,ACEH,18/01/2024,631984,3185,1,0,0.00158231853970987,0.0,0.03139717425431711,
AGAM,SUMATERA BARAT,18/01/2024,559299,2520,9,0,0.016091571771092,0.0,0.35714285714285715,
ALOR,NTT,18/01/2024,225020,1043,2,0,0.00888809883565905,0.0,0.19175455417066153,
ASAHAN,SUMATERA UTARA,18/01/2024,813720,7476,31,0,0.0380966425797572,22.5806451612903,0.4146602461209203,
ASMAT,PAPUA,18/01/2024,118534,518,0,0,0.0,0.0,0.0,
BADUNG,BALI,18/01/2024,568547,3640,136,0,0.239206257354273,4.41176470588235,3.7362637362637363,
BALANGAN,KALIMANTAN SELATAN,18/01/2024,138116,1344,8,0,0.0579223261606186,25.0,0.5952380952380952,
BANDUNG,JAWA BARAT,18/01/2024,3753116,19054,96,0,0.0255787457675169,25.0,0.5038312165424582,
BANDUNG BARAT,JAWA BARAT,18/01/2024,1884191,8491,56,0,0.0297209783933794,10.7142857142857,0.6595218466611706,
BANGGAI,SULAWESI TENGAH,18/01/2024,377603,1953,2,0,0.00529656808870692,0.0,0.10240655401945725,
BANGGAI KEPULAUAN,SULAWESI TENGAH,18/01/2024,124576,602,0,0,0.0,0.0,0.0,
BANGGAI LAUT,SULAWESI TENGAH,18/01/2024,74019,392,0,0,0.0,0.0,0.0,
BANGKA,KEP. BANGKA BELITUNG,18/01/2024,342058,343,8,0,0.0233878465055634,25.0,2.3323615160349855,
BANGKA BARAT,KEP. BANGKA BELITUNG,18/01/2024,215818,1078,4,0,0.0185341352435849,0.0,0.3710575139146568,
BANGKA SELATAN,KEP. BANGKA BELITUNG,18/01/2024,208491,1064,10,0,0.0479637010710294,0.0,0.9398496240601504,
BANGKA TENGAH,KEP. BANGKA BELITUNG,18/01/2024,210482,994,26,0,0.123526002223468,42.3076923076923,2.61569416498994,
BANGKALAN,JAWA TIMUR,18/01/2024,1102522,5054,19,0,0.0172332162079305,0.0,0.37593984962406013,
BANGLI,BALI,18/01/2024,262297,1155,5,0,0.0190623606064881,20.0,0.4329004329004329,
BANJAR,KALIMANTAN SELATAN,18/01/2024,600639,3003,4,0,0.00665957422012224,0.0,0.1332001332001332,
BANJARNEGARA,JAWA TENGAH,18/01/2024,1057562,9303,0,0,0.0,0.0,0.0,
BANTAENG,SULAWESI SELATAN,18/01/2024,205418,952,1,0,0.00486812255985357,0.0,0.10504201680672269,
BANTUL,DI YOGYAKARTA,18/01/2024,1017750,5320,172,0,0.169000245639892,6.3953488372093,3.2330827067669174,
BANYUASIN,SUMATERA SELATAN,18/01/2024,885902,4445,32,0,0.0361213768565823,0.0,0.7199100112485939,
BANYUMAS,JAWA TENGAH,18/01/2024,1847097,8596,5,0,0.0027069504200375,60.0,0.05816658911121452,
BANYUWANGI,JAWA TIMUR,18/01/2024,1754393,8127,27,0,0.0153899382863475,7.40740740740741,0.33222591362126247,
BARITO KUALA,KALIMANTAN SELATAN,18/01/2024,330990,1589,3,0,0.0090637179370978,0.0,0.18879798615481436,
BARITO SELATAN,KALIMANTAN TENGAH,18/01/2024,135909,1407,3,0,0.0220735933602631,33.3333333333333,0.21321961620469082,
BARITO TIMUR,KALIMANTAN TENGAH,18/01/2024,118759,1281,2,0,0.0168408289055987,50.0,0.156128024980484,
BARITO UTARA,KALIMANTAN TENGAH,18/01/2024,162622,133,1,0,0.00614922950154346,0.0,0.7518796992481203,
BARRU,SULAWESI SELATAN,18/01/2024,189214,875,2,0,0.01057004238587,0.0,0.2285714285714286,
BATANG,JAWA TENGAH,18/01/2024,838187,3899,2,0,0.00238610238526725,100.0,0.05129520389843549,
BATANGHARI,JAMBI,18/01/2024,316550,1365,3,0,0.00947717580161112,0.0,0.21978021978021978,
BATU BARA,SUMATERA UTARA,18/01/2024,437360,427,3,0,0.00685933784525334,0.0,0.702576112412178,
BEKASI,JAWA BARAT,18/01/2024,3273868,20216,182,0,0.0555917343032767,10.4395604395604,0.9002770083102494,
BELITUNG,KEP. BANGKA BELITUNG,18/01/2024,191405,959,8,0,0.0417961913220658,0.0,0.8342022940563086,
BELITUNG TIMUR,KEP. BANGKA BELITUNG,18/01/2024,132835,658,1,0,0.00752813640983175,0.0,0.1519756838905775,
BELU,NTT,18/01/2024,235709,1148,2,0,0.00848503875541452,0.0,0.17421602787456447,
BENER MERIAH,ACEH,18/01/2024,172036,763,1,0,0.00581273686902741,0.0,0.1310615989515072,
BENGKALIS,RIAU,18/01/2024,591800,2856,13,0,0.0219668807029402,0.0,0.4551820728291317,
BENGKAYANG,KALIMANTAN BARAT,18/01/2024,303422,1330,2,0,0.00659147985314183,0.0,0.15037593984962408,
BENGKULU SELATAN,BENGKULU,18/01/2024,173315,896,1,0,0.00576984104087932,0.0,0.11160714285714285,
BENGKULU TENGAH,BENGKULU,18/01/2024,122673,581,1,0,0.00815175303449007,0.0,0.17211703958691912,
BENGKULU UTARA,BENGKULU,18/01/2024,310125,308,2,0,0.00644901249496171,0.0,0.6493506493506493,
BERAU,KALIMANTAN TIMUR,18/01/2024,261833,238,10,0,0.0381922828673238,0.0,4.201680672268908,
BIAK NUMFOR,PAPUA,18/01/2024,141103,154,1,0,0.00708702153745845,0.0,0.6493506493506493,
BIMA,NTB,18/01/2024,543459,2576,0,0,0.0,0.0,0.0,
BINTAN,KEP. RIAU,18/01/2024,168190,833,2,0,0.0118913133955645,50.0,0.24009603841536614,
BIREUEN,ACEH,18/01/2024,459073,2422,1,0,0.00217830279715862,0.0,0.041288191577208914,
BLITAR,JAWA TIMUR,18/01/2024,1263645,5852,39,0,0.0308630984176727,7.69230769230769,0.6664388243335612,
BLORA,JAWA TENGAH,18/01/2024,907993,4333,0,0,0.0,0.0,0.0,
BOALEMO,GORONTALO,18/01/2024,153274,1715,0,0,0.0,0.0,0.0,
BOGOR,JAWA BARAT,18/01/2024,5682303,30828,459,0,0.0807771074509754,8.49673202614379,1.4889061891786688,
BOJONEGORO,JAWA TIMUR,18/01/2024,1325299,6286,28,0,0.0211273078754304,7.14285714285714,0.4454342984409799,
BOLAANG MONGONDOW,SULAWESI UTARA,18/01/2024,257266,1281,0,0,0.0,0.0,0.0,
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,18/01/2024,92219,1022,0,0,0.0,0.0,0.0,
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,18/01/2024,72900,371,0,0,0.0,0.0,0.0,
BOLAANG MONGONDOW UTARA,SULAWESI UTARA,18/01/2024,87197,413,0,0,0.0,0.0,0.0,
BOMBANA,SULAWESI TENGGARA,18/01/2024,160654,938,0,0,0.0,0.0,0.0,
BONDOWOSO,JAWA TIMUR,18/01/2024,792309,7854,11,0,0.0138834722311623,18.1818181818182,0.1400560224089636,
BONE,SULAWESI SELATAN,18/01/2024,830119,3801,6,0,0.00722787937633038,16.6666666666667,0.15785319652722968,
BONE BOLANGO,GORONTALO,18/01/2024,170649,791,0,0,0.0,0.0,0.0,
BOVEN DIGOEL,PAPUA,18/01/2024,69035,1064,0,0,0.0,0.0,0.0,
BOYOLALI,JAWA TENGAH,18/01/2024,1099850,4956,8,0,0.00727371914351957,50.0,0.16142050040355124,
BREBES,JAWA TENGAH,18/01/2024,2065501,9058,3,0,0.00145243212179515,33.3333333333333,0.03311989401633915,
BULELENG,BALI,18/01/2024,814789,3360,41,0,0.0503197760401773,0.0,1.2202380952380953,
BULUKUMBA,SULAWESI SELATAN,18/01/2024,454719,2114,1,0,0.00219916036057433,0.0,0.04730368968779565,
BULUNGAN,KALIMANTAN UTARA,18/01/2024,160241,679,9,0,0.0561654008649472,33.3333333333333,1.3254786450662739,
BUNGO,JAMBI,18/01/2024,381272,1932,0,0,0.0,0.0,0.0,
BUOL,SULAWESI TENGAH,18/01/2024,152355,854,1,0,0.00656361786616783,0.0,0.117096018735363,
BURU,MALUKU,18/01/2024,142304,749,1,0,0.00702720935462109,0.0,0.13351134846461948,
BURU SELATAN,MALUKU,18/01/2024,80842,315,0,0,0.0,0.0,0.0,
BUTON,SULAWESI TENGGARA,18/01/2024,122029,511,0,0,0.0,0.0,0.0,
BUTON SELATAN,SULAWESI TENGGARA,18/01/2024,101194,399,1,0,0.00988200881475186,0.0,0.2506265664160401,
BUTON TENGAH,SULAWESI TENGGARA,18/01/2024,121289,469,0,0,0.0,0.0,0.0,
BUTON UTARA,SULAWESI TENGGARA,18/01/2024,69799,322,0,0,0.0,0.0,0.0,
CIAMIS,JAWA BARAT,18/01/2024,1259226,1218,7,0,0.0055589703516287,14.2857142857143,0.5747126436781609,
CIANJUR,JAWA BARAT,18/01/2024,2584994,11704,44,0,0.0170213161036351,9.09090909090909,0.37593984962406013,
CILACAP,JAWA TENGAH,18/01/2024,2027379,17339,3,0,0.00147974305741551,33.3333333333333,0.01730203587288771,
CIREBON,JAWA BARAT,18/01/2024,2387961,2219,55,0,0.0230322019496968,5.45454545454545,2.4785939612438033,
DAIRI,SUMATERA UTARA,18/01/2024,330586,1428,4,0,0.0120997259412074,0.0,0.2801120448179272,
DEIYAI,PAPUA,18/01/2024,106496,385,0,0,0.0,0.0,0.0,
DELI SERDANG,SUMATERA UTARA,18/01/2024,2048480,11837,101,0,0.0493048504256815,0.0,0.8532567373489905,
DEMAK,JAWA TENGAH,18/01/2024,1252970,5929,5,0,0.00399051852797753,0.0,0.08433125316242199,
DHARMASRAYA,SUMATERA BARAT,18/01/2024,244026,1365,1,0,0.0040979239917058,0.0,0.07326007326007326,
DOGIYAI,PAPUA,18/01/2024,125178,497,0,0,0.0,0.0,0.0,
DOMPU,NTB,18/01/2024,250943,1344,1,0,0.00398496869807088,0.0,0.0744047619047619,
DONGGALA,SULAWESI TENGAH,18/01/2024,310998,3087,5,0,0.0160772738088348,20.0,0.16196954972465177,
EMPAT LAWANG,SUMATERA SELATAN,18/01/2024,345641,1295,2,0,0.00578635057762245,0.0,0.15444015444015444,
ENDE,NTT,18/01/2024,281371,1379,5,0,0.0177701326718105,0.0,0.36258158085569253,
ENREKANG,SULAWESI SELATAN,18/01/2024,238099,1057,1,0,0.00419993364104847,0.0,0.0946073793755913,
FAK FAK,PAPUA BARAT,18/01/2024,90171,84,0,0,0.0,0.0,0.0,
FLORES TIMUR,NTT,18/01/2024,292523,1309,5,0,0.0170926730547683,0.0,0.38197097020626436,
GARUT,JAWA BARAT,18/01/2024,2716950,2660,41,0,0.0150904506891919,17.0731707317073,1.5413533834586466,
GAYO LUES,ACEH,18/01/2024,106791,1442,0,0,0.0,0.0,0.0,
GIANYAR,BALI,18/01/2024,527119,2639,44,0,0.0834726124461459,0.0,1.6672982190223569,
GORONTALO,GORONTALO,18/01/2024,409509,1883,0,0,0.0,0.0,0.0,
GORONTALO UTARA,GORONTALO,18/01/2024,132784,560,0,0,0.0,0.0,0.0,
GOWA,SULAWESI SELATAN,18/01/2024,814041,3948,3,0,0.00368531806137529,0.0,0.07598784194528875,
GRESIK,JAWA TIMUR,18/01/2024,1364019,6783,115,0,0.084309676038237,7.82608695652174,1.6954150081085066,
