Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,27/12/2022,215294,1078,26,0,0.120765093314259,0.0,2.411873840445269,6.451612903225806
ACEH BARAT DAYA,ACEH,27/12/2022,155966,777,3,0,0.0192349614659605,0.0,0.3861003861003861,20.0
ACEH BESAR,ACEH,27/12/2022,436212,2184,37,3,0.0848211420135164,2.7027027027027,1.6941391941391941,12.244897959183673
ACEH JAYA,ACEH,27/12/2022,97338,490,20,16,0.205469600772566,0.0,4.081632653061225,
ACEH SELATAN,ACEH,27/12/2022,248511,2485,7,0,0.0281677672215717,14.2857142857143,0.28169014084507044,27.27272727272727
ACEH SINGKIL,ACEH,27/12/2022,127289,637,7,0,0.0549929687561376,0.0,1.098901098901099,23.076923076923077
ACEH TAMIANG,ACEH,27/12/2022,304273,1519,29,15,0.0953091467202151,0.0,1.9091507570770245,28.888888888888886
ACEH TENGAH,ACEH,27/12/2022,218036,1092,10,2,0.0458639857638188,10.0,0.9157509157509158,23.076923076923077
ACEH TENGGARA,ACEH,27/12/2022,222284,1113,21,4,0.0944737363013082,0.0,1.8867924528301887,7.4074074074074066
ACEH TIMUR,ACEH,27/12/2022,448347,4480,6,0,0.013382491686127,16.6666666666667,0.13392857142857142,12.5
ACEH UTARA,ACEH,27/12/2022,636641,3185,21,21,0.0329856229806123,0.0,0.6593406593406593,10.714285714285714
AGAM,SUMATERA BARAT,27/12/2022,504126,2520,64,7,0.126952388886905,0.0,2.5396825396825395,11.458333333333332
ALOR,NTT,27/12/2022,209155,1043,26,21,0.124309722454639,7.69230769230769,2.4928092042186005,6.666666666666667
ASAHAN,SUMATERA UTARA,27/12/2022,747618,7476,135,30,0.180573501440575,2.22222222222222,1.8057784911717496,9.6045197740113
ASMAT,PAPUA,27/12/2022,103453,518,14,0,0.135327153393328,0.0,2.7027027027027026,0.0
BADUNG,BALI,27/12/2022,727951,3640,1688,991,2.31883739427516,1.77725118483412,46.37362637362637,2.680965147453083
BALANGAN,KALIMANTAN SELATAN,27/12/2022,134576,1344,80,107,0.594459636190703,47.5,5.952380952380952,76.64233576642336
BANDUNG,JAWA BARAT,27/12/2022,3810690,19054,2202,1919,0.577848106248475,6.76657584014532,11.556628529442637,10.643977310643978
BANDUNG BARAT,JAWA BARAT,27/12/2022,1698855,8491,994,462,0.585099964387779,5.73440643863179,11.70651277823578,9.565217391304348
BANGGAI,SULAWESI TENGAH,27/12/2022,390892,1953,65,50,0.16628633996091,0.0,3.3282130056323607,4.597701149425287
BANGGAI KEPULAUAN,SULAWESI TENGAH,27/12/2022,119719,602,85,138,0.709995907082418,2.35294117647059,14.119601328903656,32.608695652173914
BANGGAI LAUT,SULAWESI TENGAH,27/12/2022,78681,392,4,12,0.0508381947357049,0.0,1.0204081632653061,68.42105263157895
BANGKA,KEP. BANGKA BELITUNG,27/12/2022,341430,343,278,410,0.814222534633746,0.719424460431655,81.04956268221575,2.0710059171597637
BANGKA BARAT,KEP. BANGKA BELITUNG,27/12/2022,215918,1078,59,17,0.273251882659158,5.08474576271187,5.4730983302411875,9.090909090909092
BANGKA SELATAN,KEP. BANGKA BELITUNG,27/12/2022,212382,1064,39,7,0.183631381190496,10.2564102564103,3.6654135338345863,34.375
BANGKA TENGAH,KEP. BANGKA BELITUNG,27/12/2022,198458,994,94,126,0.473651855808282,6.38297872340426,9.456740442655935,34.26573426573427
BANGKALAN,JAWA TIMUR,27/12/2022,1010737,5054,291,74,0.287908724030089,2.06185567010309,5.757815591610606,1.7369727047146404
BANGLI,BALI,27/12/2022,231050,1155,205,211,0.887253841159922,2.4390243902439,17.74891774891775,13.754646840148698
BANJAR,KALIMANTAN SELATAN,27/12/2022,601268,3003,78,82,0.129725846045357,2.56410256410256,2.5974025974025974,9.900990099009901
BANJARNEGARA,JAWA TENGAH,27/12/2022,929976,9303,97,35,0.104303766978933,11.340206185567,1.0426744061055573,8.307692307692308
BANTAENG,SULAWESI SELATAN,27/12/2022,190006,952,17,5,0.0894708588149848,0.0,1.7857142857142856,0.0
BANTUL,DI YOGYAKARTA,27/12/2022,1064286,5320,537,353,0.50456362293594,2.79329608938547,10.093984962406015,6.2154696132596685
BANYUASIN,SUMATERA SELATAN,27/12/2022,888470,4445,323,40,0.363546321203867,1.23839009287926,7.266591676040495,3.431372549019608
BANYUMAS,JAWA TENGAH,27/12/2022,1719757,8596,1255,389,0.729754261793963,2.23107569721116,14.599813866914843,3.410914927768861
BANYUWANGI,JAWA TIMUR,27/12/2022,1626064,8127,441,350,0.271207037361383,3.17460317460317,5.426356589147287,4.506065857885615
BARITO KUALA,KALIMANTAN SELATAN,27/12/2022,317818,1589,129,57,0.405892680716637,0.0,8.118313404657016,1.282051282051282
BARITO SELATAN,KALIMANTAN TENGAH,27/12/2022,140360,1407,41,14,0.292106013109148,2.4390243902439,2.9140014214641083,9.615384615384617
BARITO TIMUR,KALIMANTAN TENGAH,27/12/2022,128131,1281,26,3,0.202917326798355,15.3846153846154,2.029664324746292,25.0
BARITO UTARA,KALIMANTAN TENGAH,27/12/2022,132857,133,97,198,0.730108311944421,3.09278350515464,72.93233082706767,6.349206349206349
BARRU,SULAWESI SELATAN,27/12/2022,175492,875,26,2,0.148154901647938,0.0,2.9714285714285715,2.941176470588235
BATANG,JAWA TENGAH,27/12/2022,780328,3899,60,16,0.076890743379707,5.0,1.5388561169530648,2.9850746268656714
BATANGHARI,JAMBI,27/12/2022,272878,1365,81,58,0.296835948665704,2.46913580246914,5.934065934065933,14.166666666666666
BATU BARA,SUMATERA UTARA,27/12/2022,429432,427,313,343,0.728869762849532,0.0,73.30210772833723,4.909560723514212
BEKASI,JAWA BARAT,27/12/2022,4043491,20216,2851,2965,0.705083800112329,2.63065591020694,14.102690937870992,4.6749059645351965
BELITUNG,KEP. BANGKA BELITUNG,27/12/2022,192079,959,217,198,1.12974349095945,15.668202764977,22.62773722627737,18.15068493150685
BELITUNG TIMUR,KEP. BANGKA BELITUNG,27/12/2022,130987,658,26,6,0.198492980219411,7.69230769230769,3.951367781155015,10.256410256410255
BELU,NTT,27/12/2022,229747,1148,174,236,0.757354829442822,1.72413793103448,15.156794425087108,0.4694835680751174
BENER MERIAH,ACEH,27/12/2022,152369,763,6,0,0.0393780887188339,16.6666666666667,0.7863695937090431,0.0
BENGKALIS,RIAU,27/12/2022,570566,2856,276,179,0.483730190722896,0.72463768115942,9.663865546218489,5.056179775280898
BENGKAYANG,KALIMANTAN BARAT,27/12/2022,265967,1330,60,27,0.225591896739069,6.66666666666667,4.511278195488721,5.128205128205128
BENGKULU SELATAN,BENGKULU,27/12/2022,179186,896,66,61,0.368332347393212,0.0,7.366071428571429,1.2048192771084338
BENGKULU TENGAH,BENGKULU,27/12/2022,116293,581,37,5,0.318161884206272,2.7027027027027,6.368330464716007,15.686274509803921
BENGKULU UTARA,BENGKULU,27/12/2022,310069,308,219,267,0.706294405438789,0.91324200913242,71.1038961038961,16.887417218543046
BERAU,KALIMANTAN TIMUR,27/12/2022,236589,238,259,259,1.09472545215543,0.0,108.8235294117647,3.0120481927710845
BIAK NUMFOR,PAPUA,27/12/2022,150676,154,29,0,0.192465953436513,3.44827586206897,18.83116883116883,4.878048780487805
BIMA,NTB,27/12/2022,515007,2576,48,69,0.0932026166634628,4.16666666666667,1.8633540372670807,49.504950495049506
BINTAN,KEP. RIAU,27/12/2022,166137,833,198,106,1.19178750067715,4.04040404040404,23.769507803121247,9.803921568627452
BIREUEN,ACEH,27/12/2022,483716,2422,8,2,0.0165386301052684,0.0,0.3303055326176713,0.0
BLITAR,JAWA TIMUR,27/12/2022,1170647,5852,405,294,0.345962531830688,2.22222222222222,6.92071086807929,3.5785288270377733
