Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,27/09/2022,215294,1078,12,7,0.0557377353758117,0.0,1.1131725417439702,34.48275862068966
ACEH BARAT DAYA,ACEH,27/09/2022,155966,777,7,0,0.0448815767539079,14.2857142857143,0.9009009009009009,13.333333333333334
ACEH BESAR,ACEH,27/09/2022,436212,4361,100,42,0.22924632976626,22.0,2.2930520522815865,31.967213114754102
ACEH JAYA,ACEH,27/09/2022,97338,490,11,16,0.113008280424911,9.09090909090909,2.2448979591836733,6.25
ACEH SELATAN,ACEH,27/09/2022,248511,1246,14,0,0.0563355344431434,21.4285714285714,1.1235955056179776,29.72972972972973
ACEH SINGKIL,ACEH,27/09/2022,127289,637,9,22,0.0707052455436055,0.0,1.4128728414442702,15.384615384615385
ACEH TAMIANG,ACEH,27/09/2022,304273,1519,61,21,0.200477860342521,0.0,4.0157998683344305,26.666666666666668
ACEH TENGAH,ACEH,27/09/2022,218036,1092,20,5,0.0917279715276376,5.0,1.8315018315018317,16.3265306122449
ACEH TENGGARA,ACEH,27/09/2022,222284,1113,22,1,0.0989724856489896,0.0,1.9766397124887691,20.0
ACEH TIMUR,ACEH,27/09/2022,448347,2240,14,4,0.0312258139342964,14.2857142857143,0.625,14.285714285714285
ACEH UTARA,ACEH,27/09/2022,636641,3185,43,25,0.0675419899126823,4.65116279069767,1.3500784929356358,5.813953488372093
AGAM,SUMATERA BARAT,27/09/2022,504126,2520,80,15,0.158690486108632,3.75,3.1746031746031744,17.36842105263158
ALOR,NTT,27/09/2022,209155,1043,20,14,0.0956228634266453,0.0,1.9175455417066156,2.2222222222222223
ASAHAN,SUMATERA UTARA,27/09/2022,747618,3738,117,89,0.156497034581832,1.70940170940171,3.1300160513643664,13.028169014084506
ASMAT,PAPUA,27/09/2022,103453,518,23,32,0.222323180574754,0.0,4.440154440154441,0.0
BADUNG,BALI,27/09/2022,727951,3640,2035,1828,2.79551783018362,3.0958230958231,55.90659340659341,2.4911868390129257
BALANGAN,KALIMANTAN SELATAN,27/09/2022,134576,672,79,186,0.587028890738319,5.06329113924051,11.755952380952381,66.35071090047393
BANDUNG,JAWA BARAT,27/09/2022,3810690,38108,1904,2530,0.499647045548182,6.09243697478992,4.996326230712711,14.111922141119221
BANDUNG BARAT,JAWA BARAT,27/09/2022,1698855,8491,937,712,0.551547954357494,5.44290288153682,11.035213755741372,11.152219873150106
BANGGAI,SULAWESI TENGAH,27/09/2022,390892,1953,63,56,0.161169837192882,0.0,3.225806451612903,3.278688524590164
BANGGAI KEPULAUAN,SULAWESI TENGAH,27/09/2022,119719,602,25,45,0.208822325612476,24.0,4.152823920265781,47.540983606557376
BANGGAI LAUT,SULAWESI TENGAH,27/09/2022,78681,392,15,48,0.190643230258894,26.6666666666667,3.826530612244898,66.66666666666666
BANGKA,KEP. BANGKA BELITUNG,27/09/2022,341430,1708,134,338,0.392466977125619,13.4328358208955,7.845433255269321,8.408408408408409
BANGKA BARAT,KEP. BANGKA BELITUNG,27/09/2022,215918,1078,59,37,0.273251882659158,8.47457627118644,5.4730983302411875,4.6875
BANGKA SELATAN,KEP. BANGKA BELITUNG,27/09/2022,212382,1064,31,12,0.145963405561677,25.8064516129032,2.913533834586466,26.923076923076923
BANGKA TENGAH,KEP. BANGKA BELITUNG,27/09/2022,198458,994,76,158,0.382952564270526,13.1578947368421,7.645875251509055,28.04232804232804
BANGKALAN,JAWA TIMUR,27/09/2022,1010737,5054,332,98,0.328473183429517,2.71084337349398,6.569054214483577,1.238938053097345
BANGLI,BALI,27/09/2022,231050,1155,228,263,0.986799394070548,3.07017543859649,19.74025974025974,8.288770053475936
BANJAR,KALIMANTAN SELATAN,27/09/2022,601268,3003,99,139,0.164652035365261,3.03030303030303,3.296703296703297,4.166666666666666
BANJARNEGARA,JAWA TENGAH,27/09/2022,929976,4648,246,794,0.264522955431108,5.28455284552846,5.292598967297763,6.465155331654072
BANTAENG,SULAWESI SELATAN,27/09/2022,190006,952,22,11,0.11578581728998,0.0,2.3109243697478994,2.380952380952381
BANTUL,DI YOGYAKARTA,27/09/2022,1064286,5320,740,852,0.69530182676461,5.40540540540541,13.909774436090224,6.919494344644045
BANYUASIN,SUMATERA SELATAN,27/09/2022,888470,4445,324,62,0.364671851610071,1.23456790123457,7.289088863892014,3.4108527131782944
BANYUMAS,JAWA TENGAH,27/09/2022,1719757,1722,1772,2864,1.03037812900311,2.65237020316027,102.90360046457607,3.5458964826994563
BANYUWANGI,JAWA TIMUR,27/09/2022,1626064,8127,500,717,0.30749097206506,3.0,6.152331733727082,3.9473684210526314
BARITO KUALA,KALIMANTAN SELATAN,27/09/2022,317818,1589,123,87,0.387013951380979,0.0,7.740717432347388,1.2
BARITO SELATAN,KALIMANTAN TENGAH,27/09/2022,140360,1407,25,23,0.178113422627529,0.0,1.7768301350390905,25.71428571428571
BARITO TIMUR,KALIMANTAN TENGAH,27/09/2022,128131,1925,20,7,0.15609025138335,0.0,1.0389610389610389,12.903225806451612
BARITO UTARA,KALIMANTAN TENGAH,27/09/2022,132857,665,96,255,0.722581422130561,5.20833333333333,14.43609022556391,8.808290155440414
BARRU,SULAWESI SELATAN,27/09/2022,175492,875,43,12,0.245025414263898,2.32558139534884,4.914285714285714,0.0
BATANG,JAWA TENGAH,27/09/2022,780328,3899,146,174,0.18710080889062,4.79452054794521,3.7445498845857914,4.563492063492063
BATANGHARI,JAMBI,27/09/2022,272878,1365,66,42,0.241866328542426,3.03030303030303,4.835164835164836,12.686567164179104
BATU BARA,SUMATERA UTARA,27/09/2022,429432,2149,221,424,0.514633283034334,2.26244343891403,10.283852954862727,12.645914396887159
BEKASI,JAWA BARAT,27/09/2022,4043491,20216,2889,5317,0.714481619966509,4.29214260989962,14.290660862683024,4.401019541206457
BELITUNG,KEP. BANGKA BELITUNG,27/09/2022,192079,189,167,207,0.869433930830544,3.59281437125748,88.35978835978835,7.547169811320755
BELITUNG TIMUR,KEP. BANGKA BELITUNG,27/09/2022,130987,658,44,14,0.335911197294388,0.0,6.68693009118541,1.2658227848101267
BELU,NTT,27/09/2022,229747,1148,79,162,0.34385650302289,8.86075949367089,6.881533101045297,12.435233160621761
BENER MERIAH,ACEH,27/09/2022,152369,763,12,0,0.0787561774376678,25.0,1.5727391874180863,28.57142857142857
BENGKALIS,RIAU,27/09/2022,570566,2856,230,163,0.40310849226908,2.60869565217391,8.053221288515406,7.081545064377683
BENGKAYANG,KALIMANTAN BARAT,27/09/2022,265967,1330,75,41,0.281989870923836,2.66666666666667,5.639097744360902,6.25
BENGKULU SELATAN,BENGKULU,27/09/2022,179186,896,78,140,0.435301865101068,0.0,8.705357142857142,1.2195121951219512
BENGKULU TENGAH,BENGKULU,27/09/2022,116293,581,16,8,0.137583517494604,0.0,2.753872633390706,4.761904761904762
BENGKULU UTARA,BENGKULU,27/09/2022,310069,308,258,561,0.832072861201862,6.58914728682171,83.76623376623377,10.214168039538714
BERAU,KALIMANTAN TIMUR,27/09/2022,236589,238,242,448,1.02287088579773,0.413223140495868,101.68067226890756,3.1372549019607843
BIAK NUMFOR,PAPUA,27/09/2022,150676,756,63,28,0.418115691948286,4.76190476190476,8.333333333333332,9.933774834437086
BIMA,NTB,27/09/2022,515007,2576,62,70,0.120386713190306,0.0,2.406832298136646,10.483870967741936
BINTAN,KEP. RIAU,27/09/2022,166137,833,129,131,0.776467614077539,6.2015503875969,15.486194477791116,8.455882352941178
BIREUEN,ACEH,27/09/2022,483716,2422,29,12,0.0599525341315979,10.3448275862069,1.1973575557390588,18.0
BLITAR,JAWA TIMUR,27/09/2022,1170647,5852,523,514,0.446761491722099,3.82409177820268,8.937115516062885,4.7180667433832
BLORA,JAWA TENGAH,27/09/2022,866144,4333,554,665,0.639616507185872,0.72202166064982,12.78559889222248,6.093906093906094
BOALEMO,GORONTALO,27/09/2022,171405,854,19,22,0.110848575012398,5.26315789473684,2.224824355971897,5.405405405405405
BOGOR,JAWA BARAT,27/09/2022,6165345,30828,4300,3597,0.697446777106553,5.34883720930233,13.948358635007136,9.279872785097682
BOJONEGORO,JAWA TIMUR,27/09/2022,1257262,6286,492,528,0.391326549279307,2.23577235772358,7.826916958320076,1.8181818181818181
BOLAANG MONGONDOW,SULAWESI UTARA,27/09/2022,255722,1281,35,25,0.136867379419839,14.2857142857143,2.73224043715847,5.333333333333334
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,27/09/2022,68167,343,11,6,0.161368404066484,0.0,3.206997084548105,0.0
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,27/09/2022,74026,371,91,197,1.22929781428147,1.0989010989011,24.528301886792452,6.5
BOLAANG MONGONDOW UTARA,SULAWESI UTARA,27/09/2022,82353,413,13,17,0.157857030102121,0.0,3.14769975786925,0.0
BOMBANA,SULAWESI TENGGARA,27/09/2022,188226,938,24,4,0.127506295623346,0.0,2.55863539445629,2.564102564102564
BONDOWOSO,JAWA TIMUR,27/09/2022,785692,3927,106,136,0.134912917530024,4.71698113207547,2.6992615227909345,12.442396313364055
BONE,SULAWESI SELATAN,27/09/2022,759504,3801,136,50,0.17906423139312,6.61764705882353,3.5780057879505396,1.6194331983805668
BONE BOLANGO,GORONTALO,27/09/2022,158877,791,12,2,0.0755301270794388,0.0,1.5170670037926675,0.0
BOVEN DIGOEL,PAPUA,27/09/2022,71134,357,29,62,0.407681277588776,0.0,8.123249299719888,55.88235294117647
BOYOLALI,JAWA TENGAH,27/09/2022,990845,4956,462,853,0.466268689855628,4.11255411255411,9.322033898305085,11.805026656511805
BREBES,JAWA TENGAH,27/09/2022,1811321,9058,202,755,0.111520818231556,6.43564356435644,2.2300728637668357,28.707330721880247
BULELENG,BALI,27/09/2022,672468,3360,474,521,0.70486625385892,2.74261603375527,14.107142857142858,16.466346153846153
BULUKUMBA,SULAWESI SELATAN,27/09/2022,423485,2114,75,4,0.177101904435812,6.66666666666667,3.5477767265846736,4.918032786885246
BULUNGAN,KALIMANTAN UTARA,27/09/2022,135158,1351,57,206,0.421728643513518,3.50877192982456,4.219096965210955,21.12676056338028
BUNGO,JAMBI,27/09/2022,386343,1932,85,124,0.220011751215888,4.70588235294118,4.399585921325052,4.624277456647398
BUOL,SULAWESI TENGAH,27/09/2022,170761,854,29,63,0.169828005223675,0.0,3.395784543325527,6.25
BURU,MALUKU,27/09/2022,149974,749,24,33,0.160027738141278,0.0,3.204272363150868,4.545454545454546
BURU SELATAN,MALUKU,27/09/2022,63531,315,5,0,0.0787017361602997,0.0,1.5873015873015872,0.0
BUTON,SULAWESI TENGGARA,27/09/2022,102629,511,87,136,0.84771360921377,3.44827586206897,17.025440313111545,13.145539906103288
BUTON SELATAN,SULAWESI TENGGARA,27/09/2022,80329,399,120,140,1.49385651508173,1.66666666666667,30.075187969924812,0.5291005291005291
BUTON TENGAH,SULAWESI TENGGARA,27/09/2022,93510,469,23,1,0.245962998609774,0.0,4.904051172707889,0.0
BUTON UTARA,SULAWESI TENGGARA,27/09/2022,64203,322,5,0,0.0778779807797143,0.0,1.5527950310559007,0.0
CIAMIS,JAWA BARAT,27/09/2022,1219236,6097,1306,1267,1.07116259690495,0.459418070444104,21.420370674102017,6.801007556675064
CIANJUR,JAWA BARAT,27/09/2022,2341228,11704,1269,1811,0.542023245920517,1.57604412923562,10.842447026657553,4.575416828227995
CILACAP,JAWA TENGAH,27/09/2022,1734138,8673,738,1501,0.425571667306754,3.11653116531165,8.509166378415774,11.021721641190668
CIREBON,JAWA BARAT,27/09/2022,2217596,2219,2775,2993,1.25135507098678,0.756756756756757,125.05633168093735,2.4420946626384694
DAIRI,SUMATERA UTARA,27/09/2022,286237,1428,76,55,0.265514241694819,6.57894736842105,5.322128851540616,31.46067415730337
DEIYAI,PAPUA,27/09/2022,77276,385,16,0,0.207050054350639,0.0,4.1558441558441555,0.0
DELI SERDANG,SUMATERA UTARA,27/09/2022,2366885,11837,1076,1417,0.454605948324486,3.15985130111524,9.09014108304469,8.145491803278688
DEMAK,JAWA TENGAH,27/09/2022,1185701,1183,1495,1430,1.26085750117441,0.668896321070234,126.37362637362637,10.95183486238532
DHARMASRAYA,SUMATERA BARAT,27/09/2022,273265,1365,21,17,0.0768484804127861,23.8095238095238,1.5384615384615385,44.642857142857146
DOGIYAI,PAPUA,27/09/2022,99702,497,18,0,0.180538003249684,0.0,3.6217303822937628,0.0
DOMPU,NTB,27/09/2022,269315,1344,100,210,0.371312403690845,0.0,7.440476190476191,1.9138755980861244
DONGGALA,SULAWESI TENGAH,27/09/2022,308606,1540,71,115,0.230066816588142,8.45070422535211,4.6103896103896105,23.595505617977526
EMPAT LAWANG,SUMATERA SELATAN,27/09/2022,258868,1295,33,1,0.127478096945161,3.03030303030303,2.5482625482625485,5.0
ENDE,NTT,27/09/2022,275722,1379,115,198,0.417086775810418,0.869565217391304,8.339376359680928,4.21455938697318
ENREKANG,SULAWESI SELATAN,27/09/2022,211464,1057,68,50,0.321567737298074,1.47058823529412,6.433301797540208,2.7777777777777777
FAK FAK,PAPUA BARAT,27/09/2022,82512,413,68,206,0.824122551871243,17.6470588235294,16.46489104116223,57.19844357976653
FLORES TIMUR,NTT,27/09/2022,261613,1309,70,108,0.267570801145203,0.0,5.347593582887701,16.580310880829018
GARUT,JAWA BARAT,27/09/2022,2658006,13293,2043,3728,0.768621289793928,2.15369554576603,15.368991198375085,7.448050431940229
GAYO LUES,ACEH,27/09/2022,96126,483,8,0,0.0832241016998523,12.5,1.6563146997929608,23.076923076923077
GIANYAR,BALI,27/09/2022,528067,2639,501,1061,0.948743246595602,3.1936127744511,18.98446381205002,2.711864406779661
GORONTALO,GORONTALO,27/09/2022,376359,1883,25,28,0.0664259390635005,8.0,1.327668613913967,8.333333333333332
GORONTALO UTARA,GORONTALO,27/09/2022,112439,560,20,19,0.177874225135407,0.0,3.571428571428571,4.545454545454546
GOWA,SULAWESI SELATAN,27/09/2022,789352,3948,246,94,0.311648035350515,5.28455284552846,6.231003039513678,6.356968215158925
GRESIK,JAWA TIMUR,27/09/2022,1356453,6783,1078,1804,0.79471975807492,4.82374768089054,15.892672858617132,3.6862003780718333
GROBOGAN,JAWA TENGAH,27/09/2022,1384168,6923,438,686,0.316435577184272,2.05479452054794,6.326736963744041,6.932409012131716
GUNUNG MAS,KALIMANTAN TENGAH,27/09/2022,119017,1785,27,1,0.226858347967097,7.40740740740741,1.5126050420168067,13.333333333333334
GUNUNGKIDUL,DI YOGYAKARTA,27/09/2022,776705,777,254,227,0.327022486014639,4.7244094488189,32.689832689832684,6.654343807763401
HALMAHERA BARAT,MALUKU UTARA,27/09/2022,119675,595,7,4,0.0584917484854815,0.0,1.1764705882352942,11.76470588235294
HALMAHERA SELATAN,MALUKU UTARA,27/09/2022,238714,1197,71,141,0.297427046591318,1.40845070422535,5.931495405179615,1.3986013986013985
HALMAHERA TENGAH,MALUKU UTARA,27/09/2022,58049,287,8,0,0.137814604902755,0.0,2.7874564459930316,12.0
HALMAHERA TIMUR,MALUKU UTARA,27/09/2022,99429,497,11,23,0.11063170704724,0.0,2.2132796780684103,3.7037037037037033
HALMAHERA UTARA,MALUKU UTARA,27/09/2022,197240,987,29,21,0.147029000202799,3.44827586206897,2.9381965552178317,7.246376811594203
HULU SUNGAI SELATAN,KALIMANTAN SELATAN,27/09/2022,238556,238,315,754,1.32044467546404,0.317460317460317,132.35294117647058,17.8117048346056
HULU SUNGAI TENGAH,KALIMANTAN SELATAN,27/09/2022,273263,1365,162,428,0.592835473518186,0.617283950617284,11.868131868131867,20.77294685990338
HULU SUNGAI UTARA,KALIMANTAN SELATAN,27/09/2022,239261,1197,64,118,0.267490313924961,1.5625,5.3467000835421885,1.6260162601626018
HUMBANG HASUNDUTAN,SUMATERA UTARA,27/09/2022,195989,980,41,54,0.209195414028338,4.8780487804878,4.183673469387755,4.0
INDRAGIRI HILIR,RIAU,27/09/2022,723394,3619,61,18,0.0843247248387462,0.0,1.6855484940591323,3.64963503649635
INDRAGIRI HULU,RIAU,27/09/2022,448630,2240,588,1149,1.3106568887502,0.510204081632653,26.25,0.8103727714748784
INDRAMAYU,JAWA BARAT,27/09/2022,1764423,8820,1324,2009,0.750386953695344,1.13293051359517,15.011337868480727,10.878962536023055
INTAN JAYA,PAPUA,27/09/2022,52232,259,8,44,0.15316281206923,0.0,3.088803088803089,6.25
JAYAPURA,PAPUA,27/09/2022,129453,126,146,507,1.12782245293659,0.0,115.87301587301589,5.263157894736842
JAYAWIJAYA,PAPUA,27/09/2022,211269,1057,39,24,0.184598781648041,0.0,3.6896877956480605,4.938271604938271
JEMBER,JAWA TIMUR,27/09/2022,2480477,12404,576,762,0.232213400890232,4.34027777777778,4.643663334408255,8.915054667788057
JEMBRANA,BALI,27/09/2022,283597,1421,242,325,0.853323554198387,1.2396694214876,17.030260380014077,3.0303030303030303
JENEPONTO,SULAWESI SELATAN,27/09/2022,368745,1841,57,10,0.154578367164301,1.75438596491228,3.09614340032591,6.0606060606060606
JEPARA,JAWA TENGAH,27/09/2022,1299609,6496,947,808,0.728680703196115,1.68954593453009,14.578201970443349,2.1395348837209305
JOMBANG,JAWA TIMUR,27/09/2022,1278825,6391,645,1013,0.50436924520556,3.41085271317829,10.092317321232985,15.589887640449437
KAIMANA,PAPUA BARAT,27/09/2022,66558,336,26,16,0.390636737882749,7.69230769230769,7.738095238095238,1.9230769230769231
KAMPAR,RIAU,27/09/2022,896680,4480,230,71,0.256501762055583,4.78260869565217,5.133928571428571,8.097165991902834
KAPUAS,KALIMANTAN TENGAH,27/09/2022,366360,3661,106,151,0.289332896604433,2.83018867924528,2.895383774924884,2.380952380952381
KAPUAS HULU,KALIMANTAN BARAT,27/09/2022,273884,1372,28,11,0.102233062172307,0.0,2.0408163265306123,8.695652173913043
KARANGANYAR,JAWA TENGAH,27/09/2022,900966,4508,711,477,0.789152975805968,3.65682137834037,15.771960958296363,12.078152753108348
KARANGASEM,BALI,27/09/2022,422596,2114,249,87,0.589215231568685,0.803212851405622,11.778618732261116,9.728506787330318
KARAWANG,JAWA BARAT,27/09/2022,2370819,11851,1011,1804,0.426434915529191,4.35212660731949,8.530925660281833,3.0912659470068693
KARIMUN,KEP. RIAU,27/09/2022,239735,1197,123,169,0.513066510939162,4.0650406504065,10.275689223057643,3.9840637450199203
KARO,SUMATERA UTARA,27/09/2022,441403,2205,87,21,0.19709879633804,1.14942528735632,3.9455782312925165,10.784313725490197
KATINGAN,KALIMANTAN TENGAH,27/09/2022,177358,889,37,30,0.208617598303995,5.40540540540541,4.161979752530934,8.641975308641975
KAUR,BENGKULU,27/09/2022,125000,623,29,0,0.232,0.0,4.654895666131622,1.9230769230769231
KAYONG UTARA,KALIMANTAN BARAT,27/09/2022,116842,581,7,5,0.0599099638828503,0.0,1.2048192771084338,7.6923076923076925
KEBUMEN,JAWA TENGAH,27/09/2022,1195392,5978,190,638,0.158943677053218,12.6315789473684,3.1783205085312813,4.186046511627907
KEDIRI,JAWA TIMUR,27/09/2022,1592699,7966,783,1127,0.49161831582741,3.57598978288633,9.829274416269145,10.568181818181818
KEEROM,PAPUA,27/09/2022,58962,588,59,78,1.00064448288728,1.69491525423729,10.034013605442176,2.631578947368421
KENDAL,JAWA TENGAH,27/09/2022,982997,4914,630,448,0.640897174660757,0.317460317460317,12.82051282051282,2.8125
KEPAHIANG,BENGKULU,27/09/2022,142963,714,15,0,0.104922252610815,0.0,2.100840336134454,3.0303030303030303
KEPULAUAN ANAMBAS,KEP. RIAU,27/09/2022,43949,217,30,4,0.682609388154452,0.0,13.82488479262673,0.0
KEPULAUAN ARU,MALUKU,27/09/2022,95226,476,13,13,0.136517337701888,0.0,2.73109243697479,0.0
KEPULAUAN MENTAWAI,SUMATERA BARAT,27/09/2022,98816,987,3,0,0.0303594559585492,33.3333333333333,0.303951367781155,26.666666666666668
KEPULAUAN MERANTI,RIAU,27/09/2022,190032,952,40,19,0.210490864696472,10.0,4.201680672268908,21.428571428571427
KEPULAUAN SANGIHE,SULAWESI UTARA,27/09/2022,132369,665,30,26,0.226639167780976,23.3333333333333,4.511278195488721,22.58064516129032
KEPULAUAN SELAYAR,SULAWESI SELATAN,27/09/2022,136996,686,39,62,0.284679844666998,0.0,5.685131195335277,9.195402298850574
