Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,29/06/2023,218171,1078,0,0,0.0,0.0,0.0,
ACEH BARAT DAYA,ACEH,29/06/2023,158019,777,1,0,0.00632835291958562,0.0,0.1287001287001287,0.0
ACEH BESAR,ACEH,29/06/2023,442065,2184,7,0,0.0158347754289528,0.0,0.3205128205128205,0.0
ACEH JAYA,ACEH,29/06/2023,98816,490,12,13,0.121437823834197,0.0,2.4489795918367347,
ACEH SELATAN,ACEH,29/06/2023,251633,2485,1,0,0.00397404156052664,0.0,0.04024144869215292,
ACEH SINGKIL,ACEH,29/06/2023,129001,637,1,0,0.00775187789241944,0.0,0.15698587127158556,0.0
ACEH TAMIANG,ACEH,29/06/2023,307662,1519,1,0,0.00325032015653542,0.0,0.06583278472679394,
ACEH TENGAH,ACEH,29/06/2023,220975,1092,0,0,0.0,0.0,0.0,
ACEH TENGGARA,ACEH,29/06/2023,225273,1113,4,0,0.0177562335477399,0.0,0.3593890386343217,20.0
ACEH TIMUR,ACEH,29/06/2023,454438,4480,1,0,0.00220052020297598,100.0,0.022321428571428572,100.0
ACEH UTARA,ACEH,29/06/2023,643469,3185,5,0,0.00777038210076942,0.0,0.15698587127158556,0.0
AGAM,SUMATERA BARAT,29/06/2023,507351,2520,10,0,0.0197102203405532,0.0,0.3968253968253968,9.090909090909092
ALOR,NTT,29/06/2023,210123,1043,11,2,0.0523502900681981,0.0,1.0546500479386385,
ASAHAN,SUMATERA UTARA,29/06/2023,752396,7476,16,60,0.0212653974768606,6.25,0.2140181915462814,69.64285714285714
ASMAT,PAPUA,29/06/2023,105558,518,0,0,0.0,0.0,0.0,
BADUNG,BALI,29/06/2023,744765,3640,405,284,0.543795693943727,0.987654320987654,11.126373626373626,2.771855010660981
BALANGAN,KALIMANTAN SELATAN,29/06/2023,135996,1344,27,8,0.198535251036795,0.0,2.0089285714285716,
BANDUNG,JAWA BARAT,29/06/2023,3847117,19054,934,661,0.242779203231927,0.214132762312634,4.9018578776110004,2.6732673267326734
BANDUNG BARAT,JAWA BARAT,29/06/2023,1706900,8491,384,398,0.224969242486379,1.04166666666667,4.522435519962313,10.893246187363834
BANGGAI,SULAWESI TENGAH,29/06/2023,395851,1953,5,0,0.0126310152052161,0.0,0.2560163850486431,
BANGGAI KEPULAUAN,SULAWESI TENGAH,29/06/2023,120257,602,1,21,0.00831552425222648,0.0,0.16611295681063123,
BANGGAI LAUT,SULAWESI TENGAH,29/06/2023,79976,392,0,0,0.0,0.0,0.0,
BANGKA,KEP. BANGKA BELITUNG,29/06/2023,345527,343,24,41,0.0694591160748654,0.0,6.997084548104956,10.344827586206897
BANGKA BARAT,KEP. BANGKA BELITUNG,29/06/2023,218524,1078,14,6,0.0640661895260932,7.14285714285714,1.2987012987012987,5.555555555555555
BANGKA SELATAN,KEP. BANGKA BELITUNG,29/06/2023,214921,1064,10,1,0.0465287245080751,0.0,0.9398496240601504,0.0
BANGKA TENGAH,KEP. BANGKA BELITUNG,29/06/2023,200830,994,13,4,0.0647313648359309,7.69230769230769,1.30784708249497,12.5
BANGKALAN,JAWA TIMUR,29/06/2023,1018075,5054,142,14,0.139478918547258,0.704225352112676,2.809655718242976,0.0
BANGLI,BALI,29/06/2023,232095,1155,59,38,0.254206251750361,0.0,5.108225108225108,3.076923076923077
BANJAR,KALIMANTAN SELATAN,29/06/2023,607164,3003,27,82,0.0444690396663834,0.0,0.8991008991008992,0.0
BANJARNEGARA,JAWA TENGAH,29/06/2023,933377,9303,17,0,0.0182134335857858,5.88235294117647,0.18273675158551006,13.725490196078432
BANTAENG,SULAWESI SELATAN,29/06/2023,190772,952,3,0,0.015725578177091,0.0,0.31512605042016806,
BANTUL,DI YOGYAKARTA,29/06/2023,1078404,5320,188,140,0.174331697582724,1.59574468085106,3.5338345864661656,2.525252525252525
BANYUASIN,SUMATERA SELATAN,29/06/2023,898649,4445,65,17,0.0723307987879584,0.0,1.4623172103487065,4.411764705882353
BANYUMAS,JAWA TENGAH,29/06/2023,1730767,8596,31,52,0.017911134196573,0.0,0.36063285248953003,6.289308176100629
BANYUWANGI,JAWA TIMUR,29/06/2023,1629172,8127,111,50,0.0681327692840289,0.900900900900901,1.3658176448874122,2.4390243902439024
BARITO KUALA,KALIMANTAN SELATAN,29/06/2023,320133,1589,70,32,0.218659119803332,0.0,4.405286343612335,
BARITO SELATAN,KALIMANTAN TENGAH,29/06/2023,141528,1407,14,0,0.0989203549827596,0.0,0.9950248756218906,0.0
BARITO TIMUR,KALIMANTAN TENGAH,29/06/2023,130007,1281,10,1,0.076918935134262,0.0,0.78064012490242,0.0
BARITO UTARA,KALIMANTAN TENGAH,29/06/2023,133586,133,44,47,0.32937583279685,0.0,33.08270676691729,7.6923076923076925
BARRU,SULAWESI SELATAN,29/06/2023,175924,875,16,0,0.0909483640663014,0.0,1.8285714285714287,
BATANG,JAWA TENGAH,29/06/2023,785195,3899,14,0,0.0178299658046727,0.0,0.3590664272890485,1.9230769230769231
BATANGHARI,JAMBI,29/06/2023,274117,1365,35,0,0.127682704830419,2.85714285714286,2.564102564102564,9.876543209876543
BATU BARA,SUMATERA UTARA,29/06/2023,432925,427,10,2,0.0230986891493908,10.0,2.3419203747072603,12.5
BEKASI,JAWA BARAT,29/06/2023,4166696,20216,575,491,0.137999028486839,0.869565217391304,2.8442817570241394,8.558558558558559
BELITUNG,KEP. BANGKA BELITUNG,29/06/2023,194384,959,27,1,0.138900321014075,0.0,2.815432742440042,3.3333333333333335
BELITUNG TIMUR,KEP. BANGKA BELITUNG,29/06/2023,132547,658,11,11,0.0829894301643945,0.0,1.6717325227963524,0.0
BELU,NTT,29/06/2023,232794,1148,15,1,0.064434650377587,0.0,1.3066202090592334,
BENER MERIAH,ACEH,29/06/2023,154463,763,0,0,0.0,0.0,0.0,
BENGKALIS,RIAU,29/06/2023,573164,2856,108,84,0.188427744938621,1.85185185185185,3.7815126050420167,1.7094017094017095
BENGKAYANG,KALIMANTAN BARAT,29/06/2023,269707,1330,31,11,0.114939545506791,0.0,2.330827067669173,
BENGKULU SELATAN,BENGKULU,29/06/2023,183088,896,22,0,0.120160796993795,0.0,2.455357142857143,0.0
BENGKULU TENGAH,BENGKULU,29/06/2023,117380,581,13,5,0.110751405690918,0.0,2.2375215146299485,0.0
BENGKULU UTARA,BENGKULU,29/06/2023,312967,308,35,24,0.111832876948688,0.0,11.363636363636363,7.6923076923076925
BERAU,KALIMANTAN TIMUR,29/06/2023,240424,238,103,98,0.428409809336838,0.0,43.27731092436975,2.7027027027027026
BIAK NUMFOR,PAPUA,29/06/2023,152123,154,3,0,0.0197208837585375,0.0,1.948051948051948,0.0
BIMA,NTB,29/06/2023,520986,2576,50,1,0.0959718687258391,0.0,1.9409937888198756,0.0
BINTAN,KEP. RIAU,29/06/2023,167625,833,26,12,0.155108128262491,0.0,3.12124849939976,0.0
BIREUEN,ACEH,29/06/2023,490248,2422,1,0,0.00203978394608443,0.0,0.041288191577208914,
BLITAR,JAWA TIMUR,29/06/2023,1173198,5852,236,224,0.201159565563528,1.27118644067797,4.032809295967191,1.532567049808429
BLORA,JAWA TENGAH,29/06/2023,867525,4333,67,12,0.0772312037117086,2.98507462686567,1.5462727902146318,4.2105263157894735
BOALEMO,GORONTALO,29/06/2023,174497,1715,1,0,0.00573075754884038,0.0,0.05830903790087463,
BOGOR,JAWA BARAT,29/06/2023,6262797,30828,1566,1564,0.250048021674661,0.893997445721584,5.079797586609576,17.319787131107887
BOJONEGORO,JAWA TIMUR,29/06/2023,1259078,6286,143,88,0.11357517167324,0.0,2.2748965956092904,8.383233532934131
BOLAANG MONGONDOW,SULAWESI UTARA,29/06/2023,258726,1281,5,0,0.0193254640043907,0.0,0.39032006245121,0.0
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,29/06/2023,74714,1022,0,0,0.0,0.0,0.0,
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,29/06/2023,68959,371,4,4,0.0580054815180035,0.0,1.078167115902965,
BOLAANG MONGONDOW UTARA,SULAWESI UTARA,29/06/2023,83129,413,1,0,0.0120294963249889,0.0,0.24213075060532688,
BOMBANA,SULAWESI TENGGARA,29/06/2023,192132,938,3,0,0.01561426519268,0.0,0.31982942430703626,
BONDOWOSO,JAWA TIMUR,29/06/2023,788512,7854,34,30,0.0431191915912504,0.0,0.4329004329004329,7.894736842105263
BONE,SULAWESI SELATAN,29/06/2023,761105,3801,16,0,0.0210220666005347,6.25,0.4209418574059458,5.555555555555555
