Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,07/09/2022,215294,1078,16,7,0.0743169805010822,12.5,1.4842300556586272,16.666666666666664
ACEH BARAT DAYA,ACEH,07/09/2022,155966,777,5,3,0.0320582691099342,0.0,0.6435006435006435,6.666666666666667
ACEH BESAR,ACEH,07/09/2022,436212,4361,101,40,0.231538793063923,17.8217821782178,2.3159825728044026,24.444444444444443
ACEH JAYA,ACEH,07/09/2022,97338,490,14,23,0.143828720540796,0.0,2.857142857142857,10.256410256410255
ACEH SELATAN,ACEH,07/09/2022,248511,1246,21,4,0.084503301664715,14.2857142857143,1.6853932584269662,21.052631578947366
ACEH SINGKIL,ACEH,07/09/2022,127289,637,6,36,0.0471368303624037,16.6666666666667,0.9419152276295133,20.0
ACEH TAMIANG,ACEH,07/09/2022,304273,1519,56,44,0.184045248839036,3.57142857142857,3.686635944700461,31.297709923664126
ACEH TENGAH,ACEH,07/09/2022,218036,1092,62,77,0.284356711735677,1.61290322580645,5.677655677655678,3.508771929824561
ACEH TENGGARA,ACEH,07/09/2022,222284,1113,26,0,0.116967483039715,3.84615384615385,2.336028751123091,6.25
ACEH TIMUR,ACEH,07/09/2022,448347,2240,20,6,0.0446083056204235,15.0,0.8928571428571428,9.090909090909092
ACEH UTARA,ACEH,07/09/2022,636641,3185,66,45,0.10366910079621,1.51515151515152,2.072213500784929,3.508771929824561
AGAM,SUMATERA BARAT,07/09/2022,504126,2520,102,17,0.202330369788505,1.96078431372549,4.0476190476190474,17.120622568093385
ALOR,NTT,07/09/2022,209155,1043,40,21,0.191245726853291,0.0,3.8350910834132312,2.1052631578947367
ASAHAN,SUMATERA UTARA,07/09/2022,747618,3738,111,182,0.148471545628917,8.10810810810811,2.9695024077046552,33.153638814016176
ASMAT,PAPUA,07/09/2022,103453,518,20,41,0.193324504847612,0.0,3.861003861003861,0.0
BADUNG,BALI,07/09/2022,727951,3640,2616,2437,3.59364847359232,4.96941896024465,71.86813186813187,3.381818181818182
BALANGAN,KALIMANTAN SELATAN,07/09/2022,134576,672,84,161,0.624182618000238,10.7142857142857,12.5,53.333333333333336
BANDUNG,JAWA BARAT,07/09/2022,3810690,38108,2204,3242,0.578372945582034,7.3049001814882,5.783562506560303,11.284421336414404
BANDUNG BARAT,JAWA BARAT,07/09/2022,1698855,8491,1040,1061,0.612177025113974,9.13461538461538,12.248262866564598,12.843642611683848
BANGGAI,SULAWESI TENGAH,07/09/2022,390892,1953,128,162,0.327456177153792,0.0,6.554019457245264,8.450704225352112
BANGGAI KEPULAUAN,SULAWESI TENGAH,07/09/2022,119719,602,14,45,0.116940502342986,21.4285714285714,2.3255813953488373,61.29032258064516
BANGGAI LAUT,SULAWESI TENGAH,07/09/2022,78681,392,25,68,0.317738717098156,28.0,6.377551020408164,62.65060240963856
BANGKA,KEP. BANGKA BELITUNG,07/09/2022,341430,1708,155,296,0.453972995928887,8.38709677419355,9.074941451990632,7.249999999999999
BANGKA BARAT,KEP. BANGKA BELITUNG,07/09/2022,215918,1078,52,38,0.240832167767393,11.5384615384615,4.823747680890538,9.219858156028367
BANGKA SELATAN,KEP. BANGKA BELITUNG,07/09/2022,212382,1064,26,1,0.122420920793664,0.0,2.443609022556391,27.631578947368425
BANGKA TENGAH,KEP. BANGKA BELITUNG,07/09/2022,198458,994,51,155,0.256981326023642,7.84313725490196,5.1307847082494975,26.595744680851062
BANGKALAN,JAWA TIMUR,07/09/2022,1010737,5054,330,131,0.326494429312472,2.72727272727273,6.529481598733676,2.471169686985173
BANGLI,BALI,07/09/2022,231050,1155,192,295,0.830988963427829,7.29166666666667,16.623376623376622,14.627659574468085
BANJAR,KALIMANTAN SELATAN,07/09/2022,601268,3003,130,293,0.216209743408929,5.38461538461539,4.329004329004329,7.662835249042145
BANJARNEGARA,JAWA TENGAH,07/09/2022,929976,4648,239,275,0.256995879463556,8.78661087866109,5.141996557659208,5.459387483355526
BANTAENG,SULAWESI SELATAN,07/09/2022,190006,952,28,21,0.147363767459975,0.0,2.941176470588235,0.0
BANTUL,DI YOGYAKARTA,07/09/2022,1064286,5320,760,1250,0.714093768028519,5.92105263157895,14.285714285714285,4.863387978142077
BANYUASIN,SUMATERA SELATAN,07/09/2022,888470,4445,315,93,0.354542077954236,4.12698412698413,7.086614173228346,4.496124031007752
BANYUMAS,JAWA TENGAH,07/09/2022,1719757,1722,1835,2570,1.06701121146767,2.23433242506812,106.56213704994192,4.018773833968906
BANYUWANGI,JAWA TIMUR,07/09/2022,1626064,8127,545,888,0.335165159550916,5.87155963302752,6.70604158976252,4.031551270815075
BARITO KUALA,KALIMANTAN SELATAN,07/09/2022,317818,1589,104,117,0.32723130848473,1.92307692307692,6.5449968533668965,3.524229074889868
BARITO SELATAN,KALIMANTAN TENGAH,07/09/2022,140360,1407,100,80,0.712453690510117,14.0,7.107320540156362,40.46242774566474
BARITO TIMUR,KALIMANTAN TENGAH,07/09/2022,128131,1925,36,36,0.28096245249003,33.3333333333333,1.87012987012987,38.961038961038966
BARITO UTARA,KALIMANTAN TENGAH,07/09/2022,132857,665,83,288,0.624731854550381,4.81927710843374,12.481203007518797,4.6875
BARRU,SULAWESI SELATAN,07/09/2022,175492,875,51,22,0.290611537847879,0.0,5.828571428571429,0.0
BATANG,JAWA TENGAH,07/09/2022,780328,3899,106,38,0.135840313304149,3.77358490566038,2.718645806617081,4.156479217603912
BATANGHARI,JAMBI,07/09/2022,272878,1365,117,176,0.428763036961573,5.98290598290598,8.571428571428571,8.914728682170542
BATU BARA,SUMATERA UTARA,07/09/2022,429432,2149,188,407,0.437787589187578,0.0,8.748255002326664,9.730848861283643
BEKASI,JAWA BARAT,07/09/2022,4043491,20216,3711,7609,0.91777130207536,8.86553489625438,18.356747130985358,6.699963454744792
BELITUNG,KEP. BANGKA BELITUNG,07/09/2022,192079,189,254,365,1.32237256545484,3.54330708661417,134.3915343915344,2.9038112522686026
BELITUNG TIMUR,KEP. BANGKA BELITUNG,07/09/2022,130987,658,88,19,0.671822394588776,0.0,13.37386018237082,3.289473684210526
BELU,NTT,07/09/2022,229747,1148,119,176,0.517961061515493,0.840336134453782,10.365853658536585,16.10486891385768
BENER MERIAH,ACEH,07/09/2022,152369,763,9,12,0.0590671330782508,0.0,1.1795543905635648,8.695652173913043
BENGKALIS,RIAU,07/09/2022,570566,2856,339,435,0.594146864692253,3.53982300884956,11.869747899159663,4.011065006915629
BENGKAYANG,KALIMANTAN BARAT,07/09/2022,265967,1330,62,53,0.233111626630371,6.45161290322581,4.661654135338346,3.3557046979865772
BENGKULU SELATAN,BENGKULU,07/09/2022,179186,896,81,175,0.452044244528032,0.0,9.040178571428571,1.8604651162790697
BENGKULU TENGAH,BENGKULU,07/09/2022,116293,581,20,11,0.171979396868255,0.0,3.4423407917383817,6.557377049180328
BENGKULU UTARA,BENGKULU,07/09/2022,310069,308,322,886,1.03847853219767,0.0,104.54545454545455,9.365244536940686
BERAU,KALIMANTAN TIMUR,07/09/2022,236589,238,267,552,1.12853936573552,2.62172284644195,112.18487394957984,8.116385911179174
BIAK NUMFOR,PAPUA,07/09/2022,150676,756,51,34,0.33847460776766,3.92156862745098,6.746031746031746,13.492063492063492
BIMA,NTB,07/09/2022,515007,2576,87,294,0.168929742702526,0.0,3.377329192546584,54.54545454545454
BINTAN,KEP. RIAU,07/09/2022,166137,833,148,164,0.890831061112215,12.1621621621622,17.767106842737096,14.627659574468085
BIREUEN,ACEH,07/09/2022,483716,2422,19,6,0.0392792465000124,5.26315789473684,0.7844756399669695,18.181818181818183
BLITAR,JAWA TIMUR,07/09/2022,1170647,5852,506,479,0.432239607669947,5.92885375494071,8.646616541353383,3.821656050955414
BLORA,JAWA TENGAH,07/09/2022,866144,4333,904,762,1.04370635829608,0.221238938053097,20.863143318716823,16.577540106951872
BOALEMO,GORONTALO,07/09/2022,171405,854,30,28,0.175024065809049,0.0,3.51288056206089,2.083333333333333
BOGOR,JAWA BARAT,07/09/2022,6165345,30828,4965,4437,0.805307732170706,9.02316213494461,16.10548851693266,9.180297739386143
BOJONEGORO,JAWA TIMUR,07/09/2022,1257262,6286,418,414,0.332468491054371,3.58851674641148,6.649697741011772,4.74537037037037
BOLAANG MONGONDOW,SULAWESI UTARA,07/09/2022,255722,1281,93,138,0.363676179601286,4.3010752688172,7.259953161592506,7.4866310160427805
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,07/09/2022,68167,343,9,4,0.132028694236214,0.0,2.623906705539359,
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,07/09/2022,74026,371,22,36,0.297192878177937,0.0,5.929919137466308,2.2222222222222223
BOLAANG MONGONDOW UTARA,SULAWESI UTARA,07/09/2022,82353,413,11,11,0.133571333163333,9.09090909090909,2.663438256658596,15.151515151515152
BOMBANA,SULAWESI TENGGARA,07/09/2022,188226,938,16,3,0.0850041970822309,0.0,1.7057569296375266,7.142857142857142
BONDOWOSO,JAWA TIMUR,07/09/2022,785692,3927,144,151,0.183277925701165,6.25,3.6669213139801378,6.83453237410072
BONE,SULAWESI SELATAN,07/09/2022,759504,3801,210,239,0.276496239651141,1.9047619047619,5.524861878453039,1.707317073170732
BONE BOLANGO,GORONTALO,07/09/2022,158877,791,39,14,0.245472913008176,0.0,4.9304677623261695,0.0
BOVEN DIGOEL,PAPUA,07/09/2022,71134,357,24,74,0.337391402142435,4.16666666666667,6.722689075630252,56.84210526315789
BOYOLALI,JAWA TENGAH,07/09/2022,990845,4956,482,401,0.48645348162427,1.03734439834025,9.725585149313963,7.717041800643088
BREBES,JAWA TENGAH,07/09/2022,1811321,9058,199,116,0.10986456845584,9.54773869346734,2.196952969750497,7.233407904548844
BULELENG,BALI,07/09/2022,672468,3360,471,485,0.700405075037028,7.00636942675159,14.017857142857142,13.498312710911136
BULUKUMBA,SULAWESI SELATAN,07/09/2022,423485,2114,78,20,0.184185980613245,0.0,3.6896877956480605,0.7352941176470588
BULUNGAN,KALIMANTAN UTARA,07/09/2022,135158,1351,69,193,0.510513621095311,13.0434782608696,5.107327905255366,54.310344827586206
