Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,19/08/2022,215294,1078,36,7,0.167213206127435,2.77777777777778,3.339517625231911,9.333333333333334
ACEH BARAT DAYA,ACEH,19/08/2022,155966,777,22,4,0.141056384083711,0.0,2.8314028314028317,0.0
ACEH BESAR,ACEH,19/08/2022,436212,2184,118,53,0.270510669124187,11.864406779661,5.402930402930403,11.62079510703364
ACEH JAYA,ACEH,19/08/2022,97338,490,10,12,0.102734800386283,0.0,2.0408163265306123,0.0
ACEH SELATAN,ACEH,19/08/2022,248511,1246,15,0,0.0603595011890822,0.0,1.2038523274478332,12.5
ACEH SINGKIL,ACEH,19/08/2022,127289,637,10,51,0.0785613839373394,0.0,1.5698587127158554,9.090909090909092
ACEH TAMIANG,ACEH,19/08/2022,304273,1519,120,48,0.394382676083649,0.833333333333333,7.899934167215274,14.507772020725387
ACEH TENGAH,ACEH,19/08/2022,218036,1092,59,145,0.270597516006531,1.69491525423729,5.402930402930403,3.2467532467532463
ACEH TENGGARA,ACEH,19/08/2022,222284,1113,42,15,0.188947472602616,0.0,3.7735849056603774,8.235294117647058
ACEH TIMUR,ACEH,19/08/2022,448347,2240,36,41,0.0802949501167622,0.0,1.607142857142857,8.108108108108109
ACEH UTARA,ACEH,19/08/2022,636641,3185,82,129,0.128801004019534,1.21951219512195,2.574568288854003,3.35195530726257
AGAM,SUMATERA BARAT,19/08/2022,504126,2520,167,66,0.331266389751768,4.19161676646707,6.626984126984127,7.2992700729927
ALOR,NTT,19/08/2022,209155,1043,163,34,0.779326336927159,0.613496932515337,15.627996164908916,0.9202453987730062
ASAHAN,SUMATERA UTARA,19/08/2022,747618,3738,154,187,0.205987549791471,2.5974025974026,4.119850187265917,20.3781512605042
ASMAT,PAPUA,19/08/2022,103453,518,27,40,0.260988081544276,0.0,5.212355212355212,0.0
BADUNG,BALI,19/08/2022,727951,3640,3528,4015,4.84648005154193,7.11451247165533,96.92307692307692,3.3062562348582016
BALANGAN,KALIMANTAN SELATAN,19/08/2022,134576,672,72,176,0.535013672571632,8.33333333333333,10.714285714285714,60.78431372549019
BANDUNG,JAWA BARAT,19/08/2022,3810690,19054,2118,2775,0.555804854238996,8.35694050991501,11.115776214967985,10.530361260568794
BANDUNG BARAT,JAWA BARAT,19/08/2022,1698855,8491,1106,983,0.651026720938514,8.04701627486438,13.025556471558119,9.789096697174692
BANGGAI,SULAWESI TENGAH,19/08/2022,390892,1953,96,130,0.245592132865344,0.0,4.915514592933948,2.9661016949152543
BANGGAI KEPULAUAN,SULAWESI TENGAH,19/08/2022,119719,602,31,48,0.25893968375947,12.9032258064516,5.149501661129568,35.51401869158878
BANGGAI LAUT,SULAWESI TENGAH,19/08/2022,78681,392,34,113,0.432124655253492,0.0,8.673469387755102,14.942528735632186
BANGKA,KEP. BANGKA BELITUNG,19/08/2022,341430,1708,226,368,0.6619219166447,1.76991150442478,13.23185011709602,1.8867924528301887
BANGKA BARAT,KEP. BANGKA BELITUNG,19/08/2022,215918,1078,80,90,0.370511027334451,1.25,7.421150278293136,2.9914529914529915
