Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,18/12/2022,215294,1078,13,4,0.060383,7.692308,1.2059369202226344,6.25
ACEH BARAT DAYA,ACEH,18/12/2022,155966,777,6,3,0.03847,0.0,0.7722007722007722,35.714285714285715
ACEH BESAR,ACEH,18/12/2022,436212,2184,79,9,0.181105,1.265823,3.6172161172161177,5.1020408163265305
ACEH JAYA,ACEH,18/12/2022,97338,490,25,17,0.256837,0.0,5.1020408163265305,0.0
ACEH SELATAN,ACEH,18/12/2022,248511,2485,11,0,0.044264,0.0,0.44265593561368205,5.555555555555555
ACEH SINGKIL,ACEH,18/12/2022,127289,637,8,3,0.062849,25.0,1.2558869701726845,36.36363636363637
ACEH TAMIANG,ACEH,18/12/2022,304273,1519,38,17,0.124888,0.0,2.5016458196181697,21.311475409836063
ACEH TENGAH,ACEH,18/12/2022,218036,1092,16,2,0.073382,6.25,1.465201465201465,27.27272727272727
ACEH TENGGARA,ACEH,18/12/2022,222284,1113,21,2,0.094474,9.52381,1.8867924528301887,3.8461538461538463
ACEH TIMUR,ACEH,18/12/2022,448347,4480,19,8,0.042378,5.263158,0.42410714285714285,4.3478260869565215
ACEH UTARA,ACEH,18/12/2022,636641,3185,56,83,0.087962,1.785714,1.7582417582417582,8.333333333333332
AGAM,SUMATERA BARAT,18/12/2022,504126,2520,103,4,0.204314,1.941748,4.087301587301587,6.870229007633588
ALOR,NTT,18/12/2022,209155,1043,30,19,0.143434,10.0,2.876318312559923,13.88888888888889
ASAHAN,SUMATERA UTARA,18/12/2022,747618,7476,188,130,0.251465,2.12766,2.514713750668807,25.589225589225588
ASMAT,PAPUA,18/12/2022,103453,518,7,7,0.067664,0.0,1.3513513513513513,0.0
BADUNG,BALI,18/12/2022,727951,3640,2268,1240,3.115594,1.940035,62.30769230769231,2.3712737127371275
BALANGAN,KALIMANTAN SELATAN,18/12/2022,134576,1344,106,151,0.787659,20.754717,7.886904761904762,58.08383233532935
BANDUNG,JAWA BARAT,18/12/2022,3810690,19054,2874,2455,0.754194,8.072373,15.083447045239845,11.076280041797283
BANDUNG BARAT,JAWA BARAT,18/12/2022,1698855,8491,1425,743,0.8388,9.614035,16.782475562360148,8.952603861907548
BANGGAI,SULAWESI TENGAH,18/12/2022,390892,1953,70,32,0.179078,0.0,3.584229390681003,2.1052631578947367
BANGGAI KEPULAUAN,SULAWESI TENGAH,18/12/2022,119719,602,19,50,0.158705,42.105263,3.1561461794019934,
BANGGAI LAUT,SULAWESI TENGAH,18/12/2022,78681,392,7,20,0.088967,0.0,1.7857142857142856,76.0
BANGKA,KEP. BANGKA BELITUNG,18/12/2022,341430,343,429,437,1.25648,2.564103,125.0728862973761,2.4390243902439024
BANGKA BARAT,KEP. BANGKA BELITUNG,18/12/2022,215918,1078,83,18,0.384405,3.614458,7.699443413729128,4.3478260869565215
BANGKA SELATAN,KEP. BANGKA BELITUNG,18/12/2022,212382,1064,36,10,0.169506,16.666667,3.3834586466165413,34.54545454545455
BANGKA TENGAH,KEP. BANGKA BELITUNG,18/12/2022,198458,994,83,198,0.418225,9.638554,8.350100603621732,31.506849315068493
BANGKALAN,JAWA TIMUR,18/12/2022,1010737,5054,350,47,0.346282,3.428571,6.9252077562326875,2.2222222222222223
BANGLI,BALI,18/12/2022,231050,1155,276,221,1.194547,1.811594,23.896103896103895,8.181818181818182
BANJAR,KALIMANTAN SELATAN,18/12/2022,601268,3003,122,132,0.202905,4.918033,4.062604062604063,9.395973154362416
BANJARNEGARA,JAWA TENGAH,18/12/2022,929976,9303,112,66,0.120433,20.535714,1.203912716328066,11.060948081264108
BANTAENG,SULAWESI SELATAN,18/12/2022,190006,952,24,7,0.126312,0.0,2.5210084033613445,3.225806451612903
BANTUL,DI YOGYAKARTA,18/12/2022,1064286,5320,1123,599,1.055168,2.671416,21.109022556390975,5.29287226534933
BANYUASIN,SUMATERA SELATAN,18/12/2022,888470,4445,354,38,0.398438,1.977401,7.96400449943757,2.386634844868735
BANYUMAS,JAWA TENGAH,18/12/2022,1719757,8596,1288,500,0.748943,3.416149,14.983713355048861,3.688933200398804
BANYUWANGI,JAWA TIMUR,18/12/2022,1626064,8127,553,456,0.340085,4.339964,6.804478897502153,3.770739064856712
BARITO KUALA,KALIMANTAN SELATAN,18/12/2022,317818,1589,166,62,0.522312,1.807229,10.446821900566395,1.0416666666666665
BARITO SELATAN,KALIMANTAN TENGAH,18/12/2022,140360,1407,29,11,0.206612,3.448276,2.061122956645345,0.0
BARITO TIMUR,KALIMANTAN TENGAH,18/12/2022,128131,1281,36,22,0.280962,19.444444,2.810304449648712,32.78688524590164
BARITO UTARA,KALIMANTAN TENGAH,18/12/2022,132857,133,171,380,1.287098,1.754386,128.57142857142858,5.164319248826291
BARRU,SULAWESI SELATAN,18/12/2022,175492,875,30,9,0.170948,3.333333,3.428571428571429,13.953488372093023
BATANG,JAWA TENGAH,18/12/2022,780328,3899,70,6,0.089706,2.857143,1.7953321364452424,1.968503937007874
BATANGHARI,JAMBI,18/12/2022,272878,1365,40,9,0.146586,2.5,2.93040293040293,5.0
BATU BARA,SUMATERA UTARA,18/12/2022,429432,427,356,467,0.829002,1.685393,83.37236533957847,21.092278719397363
BEKASI,JAWA BARAT,18/12/2022,4043491,20216,3707,5503,0.916782,4.693822,18.336960823110406,5.132850241545894
BELITUNG,KEP. BANGKA BELITUNG,18/12/2022,192079,959,277,238,1.442115,18.050542,28.884254431699684,17.403314917127073
BELITUNG TIMUR,KEP. BANGKA BELITUNG,18/12/2022,130987,658,48,15,0.366449,6.25,7.29483282674772,1.694915254237288
BELU,NTT,18/12/2022,229747,1148,107,101,0.46573,2.803738,9.320557491289199,3.937007874015748
BENER MERIAH,ACEH,18/12/2022,152369,763,3,1,0.019689,0.0,0.39318479685452157,16.666666666666664
BENGKALIS,RIAU,18/12/2022,570566,2856,360,236,0.630952,1.111111,12.605042016806722,3.68763557483731
BENGKAYANG,KALIMANTAN BARAT,18/12/2022,265967,1330,96,34,0.360947,8.333333,7.218045112781955,5.454545454545454
BENGKULU SELATAN,BENGKULU,18/12/2022,179186,896,75,14,0.418559,5.333333,8.370535714285714,7.291666666666667
BENGKULU TENGAH,BENGKULU,18/12/2022,116293,581,45,19,0.386954,13.333333,7.74526678141136,31.944444444444443
BENGKULU UTARA,BENGKULU,18/12/2022,310069,308,707,777,2.280138,1.414427,229.54545454545453,7.655502392344498
BERAU,KALIMANTAN TIMUR,18/12/2022,236589,238,360,322,1.521626,1.111111,151.26050420168067,3.827751196172249
BIAK NUMFOR,PAPUA,18/12/2022,150676,154,114,6,0.75659,0.877193,74.02597402597402,0.7299270072992701
BIMA,NTB,18/12/2022,515007,2576,81,129,0.157279,2.469136,3.1444099378881987,54.24528301886793
BINTAN,KEP. RIAU,18/12/2022,166137,833,157,81,0.945003,3.184713,18.847539015606245,6.63265306122449
BIREUEN,ACEH,18/12/2022,483716,2422,22,7,0.045481,13.636364,0.9083402146985963,26.666666666666668
BLITAR,JAWA TIMUR,18/12/2022,1170647,5852,649,496,0.554394,3.389831,11.090225563909774,4.3927648578811365
BLORA,JAWA TENGAH,18/12/2022,866144,4333,196,38,0.22629,1.530612,4.523424878836833,2.111324376199616
BOALEMO,GORONTALO,18/12/2022,171405,1715,16,10,0.093346,18.75,0.9329446064139941,9.090909090909092
BOGOR,JAWA BARAT,18/12/2022,6165345,30828,5189,3250,0.84164,5.492388,16.83210068768652,9.263331500824629
BOJONEGORO,JAWA TIMUR,18/12/2022,1257262,6286,485,374,0.385759,3.71134,7.715558383709831,7.751937984496124
BOLAANG MONGONDOW,SULAWESI UTARA,18/12/2022,255722,1281,19,1,0.074299,5.263158,1.483216237314598,5.0
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,18/12/2022,68167,1022,18,24,0.264057,5.555556,1.761252446183953,8.695652173913043
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,18/12/2022,74026,371,53,61,0.715965,1.886792,14.285714285714285,3.0303030303030303
BOLAANG MONGONDOW UTARA,SULAWESI UTARA,18/12/2022,82353,413,10,7,0.121428,0.0,2.4213075060532687,7.142857142857142
BOMBANA,SULAWESI TENGGARA,18/12/2022,188226,938,17,2,0.090317,0.0,1.812366737739872,4.3478260869565215
BONDOWOSO,JAWA TIMUR,18/12/2022,785692,7854,143,102,0.182005,4.895105,1.8207282913165268,7.55813953488372
BONE,SULAWESI SELATAN,18/12/2022,759504,3801,125,29,0.164581,4.0,3.2886082609839518,3.79746835443038
BONE BOLANGO,GORONTALO,18/12/2022,158877,791,18,3,0.113295,5.555556,2.275600505689001,4.761904761904762
BOVEN DIGOEL,PAPUA,18/12/2022,71134,1064,10,31,0.14058,10.0,0.9398496240601504,72.09302325581395
BOYOLALI,JAWA TENGAH,18/12/2022,990845,4956,409,31,0.412779,4.889976,8.252623083131558,7.68277571251549
BREBES,JAWA TENGAH,18/12/2022,1811321,9058,119,11,0.065698,13.445378,1.313755795981453,4.383561643835616
BULELENG,BALI,18/12/2022,672468,3360,622,445,0.924951,2.733119,18.511904761904763,10.317460317460316
BULUKUMBA,SULAWESI SELATAN,18/12/2022,423485,2114,75,11,0.177102,1.333333,3.5477767265846736,6.862745098039216
BULUNGAN,KALIMANTAN UTARA,18/12/2022,135158,679,47,35,0.347741,6.382979,6.9219440353460975,15.625
BUNGO,JAMBI,18/12/2022,386343,1932,91,82,0.235542,1.098901,4.710144927536232,4.424778761061947
BUOL,SULAWESI TENGAH,18/12/2022,170761,854,23,17,0.134691,8.695652,2.693208430913349,3.571428571428571
BURU,MALUKU,18/12/2022,149974,749,14,0,0.09335,0.0,1.8691588785046727,0.0
BURU SELATAN,MALUKU,18/12/2022,63531,315,7,0,0.110182,0.0,2.2222222222222223,0.0
BUTON,SULAWESI TENGGARA,18/12/2022,102629,511,26,1,0.25334,7.692308,5.088062622309197,0.0
BUTON SELATAN,SULAWESI TENGGARA,18/12/2022,80329,399,12,0,0.149386,0.0,3.007518796992481,
BUTON TENGAH,SULAWESI TENGGARA,18/12/2022,93510,469,19,7,0.203187,0.0,4.051172707889126,4.545454545454546
BUTON UTARA,SULAWESI TENGGARA,18/12/2022,64203,322,13,3,0.202483,0.0,4.037267080745342,0.0
CIAMIS,JAWA BARAT,18/12/2022,1219236,1218,310,49,0.254258,2.580645,25.451559934318556,5.301204819277109
CIANJUR,JAWA BARAT,18/12/2022,2341228,11704,746,412,0.318636,4.155496,6.373889268626111,9.819639278557114
CILACAP,JAWA TENGAH,18/12/2022,1734138,17339,223,220,0.128594,10.762332,1.286117999884653,8.333333333333332
CIREBON,JAWA BARAT,18/12/2022,2217596,2219,2047,1708,0.923072,1.367855,92.24876070301939,4.1633306645316255
DAIRI,SUMATERA UTARA,18/12/2022,286237,1428,103,59,0.359842,3.883495,7.212885154061624,19.642857142857142
DEIYAI,PAPUA,18/12/2022,77276,385,28,0,0.362338,0.0,7.2727272727272725,
DELI SERDANG,SUMATERA UTARA,18/12/2022,2366885,11837,933,870,0.394189,4.072883,7.882064712342654,14.893617021276595
DEMAK,JAWA TENGAH,18/12/2022,1185701,5929,450,35,0.379522,2.666667,7.589812784617979,3.1315240083507305
DHARMASRAYA,SUMATERA BARAT,18/12/2022,273265,1365,24,15,0.087827,0.0,1.7582417582417582,14.285714285714285
DOGIYAI,PAPUA,18/12/2022,99702,497,51,0,0.511524,0.0,10.261569416498995,0.0
DOMPU,NTB,18/12/2022,269315,1344,44,25,0.163377,0.0,3.273809523809524,11.538461538461538
DONGGALA,SULAWESI TENGAH,18/12/2022,308606,3087,109,144,0.353201,18.348624,3.530936183997409,36.84210526315789
EMPAT LAWANG,SUMATERA SELATAN,18/12/2022,258868,1295,53,1,0.204738,0.0,4.0926640926640925,4.285714285714286
ENDE,NTT,18/12/2022,275722,1379,180,164,0.652831,1.111111,13.05293691080493,6.578947368421052
ENREKANG,SULAWESI SELATAN,18/12/2022,211464,1057,67,19,0.316839,1.492537,6.338694418164617,0.0
FAK FAK,PAPUA BARAT,18/12/2022,82512,84,81,125,0.981675,4.938272,96.42857142857143,53.25443786982249
FLORES TIMUR,NTT,18/12/2022,261613,1309,139,121,0.531319,0.719424,10.618792971734148,14.659685863874344
GARUT,JAWA BARAT,18/12/2022,2658006,2660,4753,5935,1.788183,1.304439,178.68421052631578,13.590361445783133
GAYO LUES,ACEH,18/12/2022,96126,1442,5,0,0.052015,0.0,0.34674063800277394,0.0
GIANYAR,BALI,18/12/2022,528067,2639,578,657,1.094558,1.557093,21.902235695339144,5.089408528198074
GORONTALO,GORONTALO,18/12/2022,376359,1883,82,66,0.217877,2.439024,4.354753053637812,7.216494845360824
GORONTALO UTARA,GORONTALO,18/12/2022,112439,560,23,10,0.204555,4.347826,4.107142857142857,10.344827586206897
GOWA,SULAWESI SELATAN,18/12/2022,789352,3948,282,54,0.357255,1.06383,7.142857142857142,4.477611940298507
GRESIK,JAWA TIMUR,18/12/2022,1356453,6783,1211,1442,0.89277,3.385632,17.853457172342623,5.266622778143516
GROBOGAN,JAWA TENGAH,18/12/2022,1384168,6923,290,45,0.209512,1.034483,4.188935432615918,8.150470219435736
GUNUNG MAS,KALIMANTAN TENGAH,18/12/2022,119017,595,46,3,0.386499,6.521739,7.73109243697479,21.875
GUNUNGKIDUL,DI YOGYAKARTA,18/12/2022,776705,3885,370,165,0.476371,5.945946,9.523809523809524,7.564575645756458
HALMAHERA BARAT,MALUKU UTARA,18/12/2022,119675,595,6,0,0.050136,16.666667,1.0084033613445378,0.0
HALMAHERA SELATAN,MALUKU UTARA,18/12/2022,238714,1197,8,0,0.033513,0.0,0.6683375104427736,0.0
HALMAHERA TENGAH,MALUKU UTARA,18/12/2022,58049,287,8,0,0.137815,0.0,2.7874564459930316,20.0
HALMAHERA TIMUR,MALUKU UTARA,18/12/2022,99429,497,7,3,0.070402,0.0,1.4084507042253522,
HALMAHERA UTARA,MALUKU UTARA,18/12/2022,197240,1974,15,16,0.076049,20.0,0.7598784194528876,29.166666666666668
HULU SUNGAI SELATAN,KALIMANTAN SELATAN,18/12/2022,238556,238,316,374,1.324637,0.316456,132.77310924369746,12.5
HULU SUNGAI TENGAH,KALIMANTAN SELATAN,18/12/2022,273263,1365,291,431,1.064908,2.749141,21.318681318681318,15.025906735751295
HULU SUNGAI UTARA,KALIMANTAN SELATAN,18/12/2022,239261,1197,83,84,0.346902,1.204819,6.9340016708437755,5.263157894736842
HUMBANG HASUNDUTAN,SUMATERA UTARA,18/12/2022,195989,980,49,3,0.250014,0.0,5.0,4.477611940298507
INDRAGIRI HILIR,RIAU,18/12/2022,723394,3619,68,20,0.094001,0.0,1.878972091738049,7.368421052631578
INDRAGIRI HULU,RIAU,18/12/2022,448630,448,294,256,0.655328,0.680272,65.625,4.285714285714286
INDRAMAYU,JAWA BARAT,18/12/2022,1764423,8820,1171,1264,0.663673,3.415884,13.276643990929704,17.35345327916425
INTAN JAYA,PAPUA,18/12/2022,52232,259,12,7,0.229744,0.0,4.633204633204633,0.0
