Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,15/08/2022,215294,1078,28,12,0.130054715876894,0.0,2.5974025974025974,11.538461538461538
ACEH BARAT DAYA,ACEH,15/08/2022,155966,777,13,4,0.083351499685829,0.0,1.673101673101673,6.896551724137931
ACEH BESAR,ACEH,15/08/2022,436212,2184,135,52,0.309482545184452,8.88888888888889,6.181318681318682,11.824324324324325
ACEH JAYA,ACEH,15/08/2022,97338,490,10,14,0.102734800386283,10.0,2.0408163265306123,12.0
ACEH SELATAN,ACEH,15/08/2022,248511,1246,26,0,0.104623135394409,0.0,2.086677367576244,12.76595744680851
ACEH SINGKIL,ACEH,15/08/2022,127289,637,12,42,0.0942736607248073,0.0,1.8838304552590266,7.6923076923076925
ACEH TAMIANG,ACEH,15/08/2022,304273,1519,84,62,0.276067873258554,1.19047619047619,5.529953917050691,11.515151515151516
ACEH TENGAH,ACEH,15/08/2022,218036,1092,82,200,0.376084683263314,1.21951219512195,7.509157509157509,3.4653465346534658
ACEH TENGGARA,ACEH,15/08/2022,222284,1113,44,18,0.197944971297979,0.0,3.9532794249775383,5.4945054945054945
ACEH TIMUR,ACEH,15/08/2022,448347,2240,32,61,0.0713732889926775,0.0,1.4285714285714286,4.705882352941177
ACEH UTARA,ACEH,15/08/2022,636641,3185,101,122,0.158645139097231,0.0,3.1711145996860286,2.3923444976076556
AGAM,SUMATERA BARAT,15/08/2022,504126,2520,193,93,0.382840797737074,3.62694300518135,7.658730158730159,8.189655172413794
ALOR,NTT,15/08/2022,209155,1043,96,21,0.458989744447898,1.04166666666667,9.204218600191755,0.4524886877828055
ASAHAN,SUMATERA UTARA,15/08/2022,747618,3738,163,211,0.218025783220843,3.68098159509202,4.360620652755484,24.32950191570881
ASMAT,PAPUA,15/08/2022,103453,518,35,34,0.338317883483321,2.85714285714286,6.756756756756757,1.1494252873563218
BADUNG,BALI,15/08/2022,727951,3640,3800,4278,5.22013157479006,7.5,104.39560439560441,3.1414994720168954
BALANGAN,KALIMANTAN SELATAN,15/08/2022,134576,672,86,160,0.639044108905005,12.7906976744186,12.797619047619047,49.28909952606635
BANDUNG,JAWA BARAT,15/08/2022,3810690,19054,2434,3127,0.63872946894132,7.51848808545604,12.77422063608691,10.837107867807415
BANDUNG BARAT,JAWA BARAT,15/08/2022,1698855,8491,1280,1148,0.753448646294122,9.375,15.074785066541043,9.056603773584905
BANGGAI,SULAWESI TENGAH,15/08/2022,390892,1953,140,161,0.35815519376196,0.0,7.168458781362006,4.777070063694268
BANGGAI KEPULAUAN,SULAWESI TENGAH,15/08/2022,119719,602,32,41,0.267292576783969,0.0,5.3156146179401995,31.428571428571427
