Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,21/05/2022,215294,1078,121,39.0,0.562022165039434,0.0,11.2244897959184,3.06748466257669
ACEH BARAT DAYA,ACEH,21/05/2022,155966,7778,751,13.0,0.480874036649013,0.0,9.65250965250965,9.48275862068966
ACEH BESAR,ACEH,21/05/2022,436212,2184,504,265.0,1.15540150202195,0.0,23.0769230769231,6.04651162790698
ACEH JAYA,ACEH,21/05/2022,97338,490,43,9.0,0.441759641661016,0.0,8.77551020408163,3.27868852459016
ACEH SELATAN,ACEH,21/05/2022,248511,1246,93,1.0,0.37422890737231,0.0,7.46388443017657,2.12765957446808
ACEH SINGKIL,ACEH,21/05/2022,127289,637,89,37.0,0.699196317042321,0.0,13.9717425431711,3.07692307692308
ACEH TAMIANG,ACEH,21/05/2022,304273,1519,234,166.0,0.769046218363115,0.0,15.4048716260698,9.52380952380952
ACEH TENGAH,ACEH,21/05/2022,218036,1092,266,210.0,1.21998202131758,0.0,24.3589743589744,0.806451612903226
ACEH TENGGARA,ACEH,21/05/2022,222284,1113,161,35.0,0.724298644976696,0.0,14.4654088050314,1.31578947368421
ACEH TIMUR,ACEH,21/05/2022,448347,2240,115,23.0,0.256497757317435,0.0,5.13392857142857,2.5974025974026
ACEH UTARA,ACEH,21/05/2022,636641,3185,404,242.0,0.634580556388923,0.0,12.6844583987441,3.06122448979592
AGAM,SUMATERA BARAT,21/05/2022,504126,2520,597,246.0,1.18422775258566,0.50251256281407,23.6904761904762,6.19718309859155
ALOR,NTT,21/05/2022,209155,1043,203,112.0,0.97057206378045,0.0,19.4630872483221,11.5254237288136
ASAHAN,SUMATERA UTARA,21/05/2022,747618,3738,598,615.0,0.799873732307141,0.0,15.9978598180845,11.3022113022113
ASMAT,PAPUA,21/05/2022,103453,518,180,190.0,1.73992054362851,0.0,34.7490347490347,0.471698113207547
BADUNG,BALI,21/05/2022,727951,728,6730,7655.0,9.24512776272029,0.549777117384844,924.450549450549,0.932739143952741
BALANGAN,KALIMANTAN SELATAN,21/05/2022,134576,672,191,199.0,1.4192723814053,1.04712041884817,28.422619047619,41.9243986254296
BANDUNG,JAWA BARAT,21/05/2022,3810690,19054,4748,3153.0,1.2459685778691,0.16849199663016,24.9186522514958,3.55914718019257
BANDUNG BARAT,JAWA BARAT,21/05/2022,1698855,8491,2317,1200.0,1.36385977614334,0.431592576607682,27.2877164056059,3.63565285379202
BANGGAI,SULAWESI TENGAH,21/05/2022,390892,1953,408,407.0,1.04376656467771,0.0,20.8909370199693,1.0
BANGGAI KEPULAUAN,SULAWESI TENGAH,21/05/2022,119719,602,83,50.0,0.69329012103342,1.20481927710843,13.7873754152824,30.7692307692308
BANGGAI LAUT,SULAWESI TENGAH,21/05/2022,78681,77,160,247.0,2.0335277894282,0.0,207.792207792208,16.9421487603306
BANGKA,KEP. BANGKA BELITUNG,21/05/2022,341430,343,971,793.0,2.84392115514161,0.0,283.090379008746,0.263852242744063
BANGKA BARAT,KEP. BANGKA BELITUNG,21/05/2022,215918,217,476,328.0,2.20454061263998,0.210084033613445,219.354838709677,16.0246533127889
BANGKA SELATAN,KEP. BANGKA BELITUNG,21/05/2022,212382,1064,248,71.0,1.16770724449341,0.0,23.3082706766917,9.61538461538462
BANGKA TENGAH,KEP. BANGKA BELITUNG,21/05/2022,198458,196,434,292.0,2.1868606959659,0.0,221.428571428571,6.77361853832442
BANGKALAN,JAWA TIMUR,21/05/2022,1010737,5054,1151,766.0,1.13877299435956,0.173761946133797,22.7740403640681,1.40944326990839
BANGLI,BALI,21/05/2022,231050,231,477,271.0,2.06448820601601,0.628930817610063,206.493506493506,6.04395604395604
BANJAR,KALIMANTAN SELATAN,21/05/2022,601268,3003,678,586.0,1.12761696947118,0.0,22.5774225774226,3.85925085130533
BANJARNEGARA,JAWA TENGAH,21/05/2022,929976,4648,465,624.0,0.500012903558802,0.43010752688172,10.0043029259897,3.78090159961221
BANTAENG,SULAWESI SELATAN,21/05/2022,190006,952,236,103.0,1.24206604001979,0.0,24.7899159663866,0.68259385665529
BANTUL,DI YOGYAKARTA,21/05/2022,1064286,1064,3097,3571.0,2.90993210471621,0.0322893122376493,291.071428571429,3.04313310399577
BANYUASIN,SUMATERA SELATAN,21/05/2022,888470,4445,926,337.0,1.04224115614483,0.0,20.8323959505062,2.71493212669683
BANYUMAS,JAWA TENGAH,21/05/2022,1719757,1722,1883,2462.0,1.09492213144066,0.79660116834838,109.349593495935,2.88592431255105
BANYUWANGI,JAWA TIMUR,21/05/2022,1626064,1624,3367,4750.0,2.07064420588611,0.0891000891000891,207.327586206897,0.877412885434946
BARITO KUALA,KALIMANTAN SELATAN,21/05/2022,317818,1589,441,100.0,1.38758660617083,0.0,27.7533039647577,1.77165354330709
BARITO SELATAN,KALIMANTAN TENGAH,21/05/2022,140360,700,160,12.0,1.13992590481619,0.0,22.8571428571429,5.0
BARITO TIMUR,KALIMANTAN TENGAH,21/05/2022,128131,644,95,49.0,0.741428694070912,1.05263157894737,14.7515527950311,1.92307692307692
BARITO UTARA,KALIMANTAN TENGAH,21/05/2022,132857,133,317,349.0,2.38602407099362,0.0,238.345864661654,2.33766233766234
BARRU,SULAWESI SELATAN,21/05/2022,175492,175,359,163.0,2.04567729583115,0.0,205.142857142857,0.469483568075117
BATANG,JAWA TENGAH,21/05/2022,780328,3899,700,620.0,0.897058672763248,0.714285714285714,17.9533213644524,4.41075120606478
BATANGHARI,JAMBI,21/05/2022,272878,1365,195,63.0,0.714605061602621,0.0,14.2857142857143,2.55905511811024
BATU BARA,SUMATERA UTARA,21/05/2022,429432,2149,462,202.0,1.07583971385458,0.216450216450216,21.4983713355049,8.02792321116928
BEKASI,JAWA BARAT,21/05/2022,4043491,4046,7544,9141.0,1.86571455210362,0.291622481442206,186.455758774098,2.99613738386053
BELITUNG,KEP. BANGKA BELITUNG,21/05/2022,192079,189,976,1008.0,5.08124261371623,0.204918032786885,516.402116402116,2.71158586688578
BELITUNG TIMUR,KEP. BANGKA BELITUNG,21/05/2022,130987,133,363,101.0,2.7712673776787,0.0,272.932330827068,0.426439232409382
BELU,NTT,21/05/2022,229747,231,360,188.0,1.56694102643342,0.277777777777778,155.844155844156,1.12866817155756
BENER MERIAH,ACEH,21/05/2022,152369,763,75,19.0,0.492226108985424,0.0,9.82961992136304,2.72727272727273
BENGKALIS,RIAU,21/05/2022,570566,574,1139,743.0,1.99626335954123,0.0,198.432055749129,1.86781609195402
BENGKAYANG,KALIMANTAN BARAT,21/05/2022,265967,1330,290,209.0,1.09036083423883,0.0,21.8045112781955,2.80112044817927
BENGKULU SELATAN,BENGKULU,21/05/2022,179186,896,334,203.0,1.86398490953534,0.0,37.2767857142857,3.66379310344828
BENGKULU TENGAH,BENGKULU,21/05/2022,116293,581,100,29.0,0.859896984341276,0.0,17.2117039586919,1.86335403726708
BENGKULU UTARA,BENGKULU,21/05/2022,310069,1547,313,192.0,1.00945273471389,0.319488817891374,20.2327084680026,2.14592274678112
BERAU,KALIMANTAN TIMUR,21/05/2022,236589,238,2033,2648.0,8.59296078854046,0.0,854.201680672269,0.539915156189742
BIAK NUMFOR,PAPUA,21/05/2022,150676,154,706,729.0,4.68555045262683,0.141643059490085,458.441558441558,9.83240223463687
BIMA,NTB,21/05/2022,515007,2576,699,657.0,1.35726310516168,0.286123032904149,27.1350931677019,7.77027027027027
BINTAN,KEP. RIAU,21/05/2022,166137,168,481,277.0,2.8952009486147,0.207900207900208,286.309523809524,6.77165354330709
BIREUEN,ACEH,21/05/2022,483716,2422,193,60.0,0.3989944512896,0.0,7.96862097440132,4.04858299595142
BLITAR,JAWA TIMUR,21/05/2022,1170647,5852,1702,1161.0,1.45389686216255,0.293772032902468,29.0840738209159,2.08030962747944
BLORA,JAWA TENGAH,21/05/2022,866144,4333,851,695.0,0.982515609413677,0.117508813160987,19.639972305562,2.25
BOALEMO,GORONTALO,21/05/2022,171405,854,73,32.0,0.425891893468685,0.0,8.5480093676815,0.0
BOGOR,JAWA BARAT,21/05/2022,6165345,30828,9899,7340.0,1.60558735966925,0.171734518638246,32.1104190995199,4.15525471476641
BOJONEGORO,JAWA TIMUR,21/05/2022,1257262,6286,2155,1632.0,1.71404210100997,0.139211136890951,34.282532612154,3.7714712471994
BOLAANG MONGONDOW,SULAWESI UTARA,21/05/2022,255722,1281,210,62.0,0.821204276519032,0.0,16.3934426229508,1.17647058823529
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,21/05/2022,68167,343,38,18.0,0.557454486775126,0.0,11.0787172011662,2.27272727272727
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,21/05/2022,74026,371,55,2.0,0.742982195444844,0.0,14.8247978436658,1.61290322580645
BOLAANG MONGONDOW UTARA,SULAWESI UTARA,21/05/2022,82353,413,45,8.0,0.546428181122728,0.0,10.8958837772397,0.0
BOMBANA,SULAWESI TENGGARA,21/05/2022,188226,938,233,54.0,1.23787362000999,0.0,24.8400852878465,0.346020761245675
BONDOWOSO,JAWA TIMUR,21/05/2022,785692,3927,549,275.0,0.698747091735693,0.364298724954463,13.9801375095493,2.89634146341463
BONE,SULAWESI SELATAN,21/05/2022,759504,3801,918,205.0,1.20868356190356,0.108932461873638,24.1515390686661,0.372786579683131
BONE BOLANGO,GORONTALO,21/05/2022,158877,791,125,21.0,0.786772157077488,0.0,15.802781289507,0.625
BOVEN DIGOEL,PAPUA,21/05/2022,71134,70,67,10.0,0.941884330980966,0.0,95.7142857142857,11.9047619047619
BOYOLALI,JAWA TENGAH,21/05/2022,990845,4956,1172,984.0,1.18282879764242,0.0,23.6481033091203,2.28384991843393
BREBES,JAWA TENGAH,21/05/2022,1811321,9058,631,530.0,0.348364536158969,1.58478605388273,6.96621770810333,5.0852912777599
BULELENG,BALI,21/05/2022,672468,672,1302,701.0,1.93615160870108,0.307219662058372,193.75,2.24570673712021
BULUKUMBA,SULAWESI SELATAN,21/05/2022,423485,2114,706,58.0,1.66711926042245,0.141643059490085,33.3964049195837,1.48514851485149
BULUNGAN,KALIMANTAN UTARA,21/05/2022,135158,133,488,467.0,3.61058908832626,0.409836065573771,366.917293233083,9.35960591133005
BUNGO,JAMBI,21/05/2022,386343,1932,261,169.0,0.675565494909963,0.383141762452107,13.5093167701863,1.143583227446
BUOL,SULAWESI TENGAH,21/05/2022,170761,854,192,222.0,1.12437851734295,0.0,22.4824355971897,30.5841924398625
BURU,MALUKU,21/05/2022,149974,147,554,682.0,3.6939736220945,0.0,376.87074829932,0.292825768667643
BURU SELATAN,MALUKU,21/05/2022,63531,63,211,2.0,3.32121326596465,0.0,334.920634920635,0.843881856540084
BUTON,SULAWESI TENGGARA,21/05/2022,102629,105,508,159.0,4.94986797104132,0.0,483.809523809524,0.342465753424657
BUTON SELATAN,SULAWESI TENGGARA,21/05/2022,80329,77,417,31.0,5.191151389909,0.0,541.558441558442,0.422832980972516
BUTON TENGAH,SULAWESI TENGGARA,21/05/2022,93510,91,793,580.0,8.48037643032831,0.0,871.428571428571,0.0
