Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,15/10/2023,218171,1078,0,0,0.0,0.0,0.0,
ACEH BARAT DAYA,ACEH,15/10/2023,158019,777,0,0,0.0,0.0,0.0,
ACEH BESAR,ACEH,15/10/2023,442065,2184,3,0,0.00678633232669404,0.0,0.13736263736263737,
ACEH JAYA,ACEH,15/10/2023,98816,490,5,0,0.0505990932642487,0.0,1.0204081632653061,
ACEH SELATAN,ACEH,15/10/2023,251633,2485,0,0,0.0,0.0,0.0,
ACEH SINGKIL,ACEH,15/10/2023,129001,637,1,0,0.00775187789241944,0.0,0.15698587127158556,
ACEH TAMIANG,ACEH,15/10/2023,307662,1519,1,0,0.00325032015653542,0.0,0.06583278472679394,
ACEH TENGAH,ACEH,15/10/2023,220975,1092,1,0,0.00452539880076932,0.0,0.09157509157509157,
ACEH TENGGARA,ACEH,15/10/2023,225273,1113,1,0,0.00443905838693496,0.0,0.08984725965858043,
ACEH TIMUR,ACEH,15/10/2023,454438,4480,0,0,0.0,0.0,0.0,
ACEH UTARA,ACEH,15/10/2023,643469,3185,2,0,0.00310815284030777,0.0,0.06279434850863422,
AGAM,SUMATERA BARAT,15/10/2023,507351,2520,3,0,0.00591306610216596,0.0,0.11904761904761905,
ALOR,NTT,15/10/2023,210123,1043,10,0,0.0475911727892711,0.0,0.9587727708533078,
ASAHAN,SUMATERA UTARA,15/10/2023,752396,7476,5,0,0.00664543671151893,0.0,0.06688068485821294,
ASMAT,PAPUA,15/10/2023,105558,518,0,0,0.0,0.0,0.0,
BADUNG,BALI,15/10/2023,744765,3640,73,0,0.0980174954515854,1.36986301369863,2.0054945054945055,
BALANGAN,KALIMANTAN SELATAN,15/10/2023,135996,1344,24,0,0.176475778699374,0.0,1.7857142857142856,
BANDUNG,JAWA BARAT,15/10/2023,3847117,19054,63,0,0.0163758991473355,0.0,0.33063923585598826,
BANDUNG BARAT,JAWA BARAT,15/10/2023,1706900,8491,28,0,0.0164040072646318,0.0,0.3297609233305853,
BANGGAI,SULAWESI TENGAH,15/10/2023,395851,1953,1,0,0.00252620304104322,0.0,0.051203277009728626,
BANGGAI KEPULAUAN,SULAWESI TENGAH,15/10/2023,120257,602,0,0,0.0,0.0,0.0,
BANGGAI LAUT,SULAWESI TENGAH,15/10/2023,79976,392,0,0,0.0,0.0,0.0,
BANGKA,KEP. BANGKA BELITUNG,15/10/2023,345527,343,12,0,0.0347295580374327,0.0,3.498542274052478,
BANGKA BARAT,KEP. BANGKA BELITUNG,15/10/2023,218524,1078,3,0,0.0137284691841628,0.0,0.27829313543599254,
BANGKA SELATAN,KEP. BANGKA BELITUNG,15/10/2023,214921,1064,11,0,0.0511815969588826,0.0,1.0338345864661653,
BANGKA TENGAH,KEP. BANGKA BELITUNG,15/10/2023,200830,994,15,0,0.074690036349151,0.0,1.5090543259557343,
BANGKALAN,JAWA TIMUR,15/10/2023,1018075,5054,51,0,0.0500945411683815,0.0,1.0091017016224773,
BANGLI,BALI,15/10/2023,232095,1155,18,0,0.0775544496865508,0.0,1.5584415584415585,
BANJAR,KALIMANTAN SELATAN,15/10/2023,607164,3003,4,0,0.00658800587650124,0.0,0.1332001332001332,
BANJARNEGARA,JAWA TENGAH,15/10/2023,933377,9303,1,0,0.00107137844622269,0.0,0.01074922068150059,
BANTAENG,SULAWESI SELATAN,15/10/2023,190772,952,5,0,0.0262092969618183,0.0,0.5252100840336135,
BANTUL,DI YOGYAKARTA,15/10/2023,1078404,5320,137,0,0.127039588132091,0.0,2.575187969924812,
BANYUASIN,SUMATERA SELATAN,15/10/2023,898649,4445,42,0,0.0467368238322193,0.0,0.9448818897637795,
BANYUMAS,JAWA TENGAH,15/10/2023,1730767,8596,0,0,0.0,0.0,0.0,
BANYUWANGI,JAWA TIMUR,15/10/2023,1629172,8127,62,0,0.03805614140189,0.0,0.7628891349821583,
BARITO KUALA,KALIMANTAN SELATAN,15/10/2023,320133,1589,6,0,0.018742210268857,0.0,0.3775959723096287,
BARITO SELATAN,KALIMANTAN TENGAH,15/10/2023,141528,1407,5,0,0.0353286982081284,0.0,0.35536602700781805,
BARITO TIMUR,KALIMANTAN TENGAH,15/10/2023,130007,1281,2,0,0.0153837870268524,0.0,0.156128024980484,
BARITO UTARA,KALIMANTAN TENGAH,15/10/2023,133586,133,0,0,0.0,0.0,0.0,
BARRU,SULAWESI SELATAN,15/10/2023,175924,875,2,0,0.0113685455082877,0.0,0.2285714285714286,
BATANG,JAWA TENGAH,15/10/2023,785195,3899,1,0,0.00127356898604805,0.0,0.025647601949217745,
BATANGHARI,JAMBI,15/10/2023,274117,1365,4,0,0.0145923091234765,0.0,0.29304029304029305,
BATU BARA,SUMATERA UTARA,15/10/2023,432925,427,4,0,0.00923947565975631,0.0,0.936768149882904,
BEKASI,JAWA BARAT,15/10/2023,4166696,20216,106,0,0.0254398209036608,0.943396226415094,0.5243371586861891,
BELITUNG,KEP. BANGKA BELITUNG,15/10/2023,194384,959,2,0,0.0102889126677093,0.0,0.20855057351407716,
BELITUNG TIMUR,KEP. BANGKA BELITUNG,15/10/2023,132547,658,1,0,0.00754449365130859,0.0,0.1519756838905775,
BELU,NTT,15/10/2023,232794,1148,5,0,0.021478216792529,0.0,0.4355400696864111,
BENER MERIAH,ACEH,15/10/2023,154463,763,0,0,0.0,0.0,0.0,
BENGKALIS,RIAU,15/10/2023,573164,2856,29,0,0.0505963389187039,0.0,1.015406162464986,
BENGKAYANG,KALIMANTAN BARAT,15/10/2023,269707,1330,1,0,0.0037077272744126,0.0,0.07518796992481204,
BENGKULU SELATAN,BENGKULU,15/10/2023,183088,896,2,0,0.0109237088176178,0.0,0.2232142857142857,
BENGKULU TENGAH,BENGKULU,15/10/2023,117380,581,0,0,0.0,0.0,0.0,
BENGKULU UTARA,BENGKULU,15/10/2023,312967,308,1,0,0.0031952250556768,0.0,0.3246753246753247,
BERAU,KALIMANTAN TIMUR,15/10/2023,240424,238,12,0,0.0499118224470103,8.33333333333333,5.042016806722689,
BIAK NUMFOR,PAPUA,15/10/2023,152123,154,1,0,0.0065736279195125,0.0,0.6493506493506493,
BIMA,NTB,15/10/2023,520986,2576,3,0,0.00575831212355035,0.0,0.11645962732919254,
BINTAN,KEP. RIAU,15/10/2023,167625,833,25,0,0.149142431021626,0.0,3.0012004801920766,
BIREUEN,ACEH,15/10/2023,490248,2422,1,0,0.00203978394608443,0.0,0.041288191577208914,
BLITAR,JAWA TIMUR,15/10/2023,1173198,5852,36,0,0.0306853574588433,0.0,0.6151742993848257,
BLORA,JAWA TENGAH,15/10/2023,867525,4333,1,0,0.00115270453301058,0.0,0.02307869836141242,
BOALEMO,GORONTALO,15/10/2023,174497,1715,0,0,0.0,0.0,0.0,
BOGOR,JAWA BARAT,15/10/2023,6262797,30828,499,0,0.07967686003554,0.400801603206413,1.6186583625275723,
BOJONEGORO,JAWA TIMUR,15/10/2023,1259078,6286,30,0,0.0238269590922882,0.0,0.47725103404390706,
