Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,13/12/2021,212402,210,789,733,3.714654,0.0,375.7142857142857,3.0033370411568407
ACEH BARAT DAYA,ACEH,13/12/2021,153902,154,890,833,5.782901,0.0,577.922077922078,4.8582995951417
ACEH BESAR,ACEH,13/12/2021,430328,427,1653,819,3.841256,0.0,387.11943793911007,5.616983635559487
ACEH JAYA,ACEH,13/12/2021,95858,1435,495,430,5.163888,0.0,34.494773519163765,3.1835205992509366
ACEH SELATAN,ACEH,13/12/2021,245364,3682,536,342,2.18451,0.0,14.557305812058663,4.49438202247191
ACEH SINGKIL,ACEH,13/12/2021,125569,1883,194,187,1.544967,0.0,10.302708443972385,5.691056910569105
ACEH TAMIANG,ACEH,13/12/2021,300846,301,434,212,1.442599,0.691244,144.1860465116279,7.167235494880546
ACEH TENGAH,ACEH,13/12/2021,215083,3227,936,901,4.351808,0.0,29.005268050821197,1.8885741265344664
ACEH TENGGARA,ACEH,13/12/2021,219279,3290,313,200,1.427405,0.0,9.513677811550151,25.38167938931298
ACEH TIMUR,ACEH,13/12/2021,442226,441,566,404,1.279889,0.0,128.34467120181407,4.694167852062589
ACEH UTARA,ACEH,13/12/2021,629735,630,977,890,1.551446,0.0,155.0793650793651,10.9204368174727
AGAM,SUMATERA BARAT,13/12/2021,500774,504,1962,1012,3.917935,0.0,389.2857142857143,2.9893529893529895
ALOR,NTT,13/12/2021,208098,210,977,608,4.694903,0.0,465.2380952380953,0.17391304347826086
ASAHAN,SUMATERA UTARA,13/12/2021,742634,742,1277,876,1.719555,0.0,172.10242587601078,4.56973293768546
ASMAT,PAPUA,13/12/2021,101354,98,535,575,5.278529,0.0,545.9183673469388,0.15698587127158556
BADUNG,BALI,13/12/2021,711365,714,19155,38197,26.927105,0.062647,2682.7731092436975,0.6053949800433955
BALANGAN,KALIMANTAN SELATAN,13/12/2021,133129,133,589,667,4.42428,0.169779,442.8571428571429,15.621301775147927
BANDUNG,JAWA BARAT,13/12/2021,3773706,3773,16928,12185,4.485776,0.22448,448.66154253909355,5.2667829920102855
BANDUNG BARAT,JAWA BARAT,13/12/2021,1690441,25354,6191,2702,3.662358,0.048457,24.418237753411688,2.118171683389075
