Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,02/11/2022,215294,2156,15,6,0.0696721692197646,20.0,0.6957328385899815,9.523809523809524
ACEH BARAT DAYA,ACEH,02/11/2022,155966,777,8,0,0.0512932305758947,12.5,1.0296010296010296,5.263157894736842
ACEH BESAR,ACEH,02/11/2022,436212,4361,80,9,0.183397063813008,13.75,1.8344416418252696,16.75977653631285
ACEH JAYA,ACEH,02/11/2022,97338,1463,6,12,0.0616408802317697,50.0,0.4101161995898838,11.76470588235294
ACEH SELATAN,ACEH,02/11/2022,248511,3731,14,0,0.0563355344431434,28.5714285714286,0.37523452157598497,29.166666666666668
ACEH SINGKIL,ACEH,02/11/2022,127289,637,12,18,0.0942736607248073,8.33333333333333,1.8838304552590266,5.555555555555555
ACEH TAMIANG,ACEH,02/11/2022,304273,1519,26,39,0.0854495798181239,0.0,1.7116524028966424,16.666666666666664
ACEH TENGAH,ACEH,02/11/2022,218036,1092,12,3,0.0550367829165826,8.33333333333333,1.098901098901099,7.142857142857142
ACEH TENGGARA,ACEH,02/11/2022,222284,1113,25,4,0.112468733692034,0.0,2.2461814914645104,3.278688524590164
ACEH TIMUR,ACEH,02/11/2022,448347,2240,13,13,0.0289953986532753,7.69230769230769,0.5803571428571429,3.4482758620689653
ACEH UTARA,ACEH,02/11/2022,636641,3185,35,42,0.0549760383010205,2.85714285714286,1.098901098901099,4.615384615384616
AGAM,SUMATERA BARAT,02/11/2022,504126,2520,64,15,0.126952388886905,17.1875,2.5396825396825395,25.899280575539567
ALOR,NTT,02/11/2022,209155,1043,50,18,0.239057158566613,18.0,4.793863854266539,5.063291139240507
ASAHAN,SUMATERA UTARA,02/11/2022,747618,3738,79,119,0.10566893788004,10.126582278481,2.113429641519529,31.92307692307692
ASMAT,PAPUA,02/11/2022,103453,1036,12,10,0.115994702908567,8.33333333333333,1.1583011583011582,0.0
BADUNG,BALI,02/11/2022,727951,3640,1798,1665,2.46994646617698,7.06340378197998,49.395604395604394,2.980743867053548
BALANGAN,KALIMANTAN SELATAN,02/11/2022,134576,672,83,175,0.616751872547854,9.63855421686747,12.351190476190476,73.65853658536585
BANDUNG,JAWA BARAT,02/11/2022,3810690,19054,1668,2421,0.437716004188218,8.03357314148681,8.754067387425213,13.233393641767899
BANDUNG BARAT,JAWA BARAT,02/11/2022,1698855,8491,867,672,0.510343731513284,9.45790080738178,10.21081144741491,12.940528634361234
BANGGAI,SULAWESI TENGAH,02/11/2022,390892,1953,48,20,0.122796066432672,0.0,2.457757296466974,6.796116504854369
BANGGAI KEPULAUAN,SULAWESI TENGAH,02/11/2022,119719,1197,5,16,0.0417644651224952,20.0,0.4177109440267335,62.06896551724138
BANGGAI LAUT,SULAWESI TENGAH,02/11/2022,78681,1183,11,37,0.139805035523189,45.4545454545455,0.9298393913778529,74.35897435897436
BANGKA,KEP. BANGKA BELITUNG,02/11/2022,341430,1708,133,248,0.389538119087368,10.5263157894737,7.786885245901639,5.459770114942529
BANGKA BARAT,KEP. BANGKA BELITUNG,02/11/2022,215918,2156,51,27,0.236200779925713,17.6470588235294,2.3654916512059367,15.0
BANGKA SELATAN,KEP. BANGKA BELITUNG,02/11/2022,212382,1064,27,9,0.127129417747267,14.8148148148148,2.537593984962406,32.58426966292135
BANGKA TENGAH,KEP. BANGKA BELITUNG,02/11/2022,198458,994,61,139,0.307369821322396,9.83606557377049,6.1368209255533195,33.52941176470588
BANGKALAN,JAWA TIMUR,02/11/2022,1010737,5054,245,77,0.242397379338047,7.75510204081633,4.847645429362881,1.6166281755196306
BANGLI,BALI,02/11/2022,231050,1155,173,233,0.748755680588617,6.35838150289017,14.978354978354979,3.6363636363636362
BANJAR,KALIMANTAN SELATAN,02/11/2022,601268,3003,65,158,0.108104871704465,3.07692307692308,2.1645021645021645,3.9473684210526314
BANJARNEGARA,JAWA TENGAH,02/11/2022,929976,4648,157,527,0.16882156098652,10.1910828025478,3.377796901893287,5.054945054945055
BANTAENG,SULAWESI SELATAN,02/11/2022,190006,1897,25,11,0.131574792374978,16.0,1.3178703215603584,3.7735849056603774
BANTUL,DI YOGYAKARTA,02/11/2022,1064286,5320,666,670,0.625771644088149,17.4174174174174,12.518796992481205,9.63210702341137
BANYUASIN,SUMATERA SELATAN,02/11/2022,888470,4445,213,71,0.239737976521436,7.04225352112676,4.791901012373454,6.4646464646464645
BANYUMAS,JAWA TENGAH,02/11/2022,1719757,1722,1759,2426,1.02281892151042,3.75213189312109,102.1486643437863,7.375643224699828
BANYUWANGI,JAWA TIMUR,02/11/2022,1626064,8127,418,507,0.25706245264639,8.13397129186603,5.143349329395841,3.308823529411765
BARITO KUALA,KALIMANTAN SELATAN,02/11/2022,317818,1589,94,93,0.295766759591968,0.0,5.915670232850849,0.8771929824561403
BARITO SELATAN,KALIMANTAN TENGAH,02/11/2022,140360,700,19,10,0.135366201196922,5.26315789473684,2.7142857142857144,0.0
BARITO TIMUR,KALIMANTAN TENGAH,02/11/2022,128131,644,20,4,0.15609025138335,0.0,3.1055900621118013,0.0
BARITO UTARA,KALIMANTAN TENGAH,02/11/2022,132857,665,77,196,0.579570515667221,5.19480519480519,11.578947368421053,10.582010582010582
BARRU,SULAWESI SELATAN,02/11/2022,175492,875,27,10,0.153853167095936,14.8148148148148,3.085714285714286,14.545454545454545
BATANG,JAWA TENGAH,02/11/2022,780328,11704,147,120,0.188382321280282,29.2517006802721,1.255980861244019,8.083140877598153
BATANGHARI,JAMBI,02/11/2022,272878,1365,35,21,0.128262446954317,0.0,2.564102564102564,2.7777777777777777
BATU BARA,SUMATERA UTARA,02/11/2022,429432,2149,166,334,0.386557126623074,3.6144578313253,7.724523033969288,10.411622276029057
BEKASI,JAWA BARAT,02/11/2022,4043491,20216,2371,5338,0.586374496691102,9.23660902572754,11.72833399287693,5.863770977295163
BELITUNG,KEP. BANGKA BELITUNG,02/11/2022,192079,959,168,247,0.874640122033122,7.14285714285714,17.51824817518248,6.068601583113456
BELITUNG TIMUR,KEP. BANGKA BELITUNG,02/11/2022,130987,658,32,7,0.244299052577737,0.0,4.86322188449848,1.282051282051282
BELU,NTT,02/11/2022,229747,3444,154,386,0.670302550196521,28.5714285714286,4.471544715447155,28.04878048780488
BENER MERIAH,ACEH,02/11/2022,152369,763,1,0,0.00656301478647231,0.0,0.1310615989515072,14.285714285714285
BENGKALIS,RIAU,02/11/2022,570566,2856,218,185,0.382076744846346,6.42201834862385,7.633053221288516,3.5650623885918007
BENGKAYANG,KALIMANTAN BARAT,02/11/2022,265967,1330,41,28,0.154154462771697,4.8780487804878,3.082706766917293,7.608695652173914
BENGKULU SELATAN,BENGKULU,02/11/2022,179186,896,66,126,0.368332347393212,4.54545454545455,7.366071428571429,4.375
BENGKULU TENGAH,BENGKULU,02/11/2022,116293,581,24,15,0.206375276241906,16.6666666666667,4.130808950086059,16.417910447761194
BENGKULU UTARA,BENGKULU,02/11/2022,310069,1547,372,856,1.19973296266315,4.83870967741935,24.046541693600517,6.695464362850973
BERAU,KALIMANTAN TIMUR,02/11/2022,236589,1183,262,505,1.10740566974796,15.6488549618321,22.147083685545223,6.937394247038917
BIAK NUMFOR,PAPUA,02/11/2022,150676,756,25,15,0.165918925376304,4.0,3.3068783068783065,2.941176470588235
BIMA,NTB,02/11/2022,515007,2576,57,91,0.110678107287862,19.2982456140351,2.2127329192546585,40.243902439024396
BINTAN,KEP. RIAU,02/11/2022,166137,833,110,77,0.662104167042862,8.18181818181818,13.205282112845138,5.017921146953405
BIREUEN,ACEH,02/11/2022,483716,2422,14,5,0.0289426026842197,7.14285714285714,0.5780346820809248,16.129032258064516
BLITAR,JAWA TIMUR,02/11/2022,1170647,5852,774,1146,0.66117283860976,4.52196382428941,13.226247436773752,2.0763563295378433
