Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,13/03/2023,218171,1078,5,0,0.0229178030077325,0.0,0.463821892393321,0.0
ACEH BARAT DAYA,ACEH,13/03/2023,158019,777,7,0,0.0442984704370993,0.0,0.9009009009009009,0.0
ACEH BESAR,ACEH,13/03/2023,442065,2184,64,1,0.144775089636139,3.125,2.93040293040293,7.246376811594203
ACEH JAYA,ACEH,13/03/2023,98816,490,10,10,0.101198186528497,0.0,2.0408163265306123,
ACEH SELATAN,ACEH,13/03/2023,251633,2485,11,2,0.043714457165793,9.09090909090909,0.44265593561368205,9.090909090909092
ACEH SINGKIL,ACEH,13/03/2023,129001,637,2,2,0.0155037557848389,0.0,0.3139717425431711,
ACEH TAMIANG,ACEH,13/03/2023,307662,1519,13,23,0.0422541620349604,0.0,0.8558262014483212,13.333333333333334
ACEH TENGAH,ACEH,13/03/2023,220975,1092,8,1,0.0362031904061545,0.0,0.7326007326007326,9.090909090909092
ACEH TENGGARA,ACEH,13/03/2023,225273,1113,7,0,0.0310734087085447,0.0,0.628930817610063,0.0
ACEH TIMUR,ACEH,13/03/2023,454438,4480,2,2,0.00440104040595197,0.0,0.044642857142857144,
ACEH UTARA,ACEH,13/03/2023,643469,3185,10,1,0.0155407642015388,0.0,0.3139717425431711,0.0
AGAM,SUMATERA BARAT,13/03/2023,507351,2520,34,1,0.0670147491578808,0.0,1.3492063492063493,9.75609756097561
ALOR,NTT,13/03/2023,210123,1043,22,4,0.104700580136396,9.09090909090909,2.109300095877277,24.0
ASAHAN,SUMATERA UTARA,13/03/2023,752396,7476,73,120,0.0970233759881764,0.0,0.9764579989299091,51.369863013698634
ASMAT,PAPUA,13/03/2023,105558,518,6,6,0.0568407889501506,0.0,1.1583011583011582,
BADUNG,BALI,13/03/2023,744765,3640,1056,666,1.41789692050513,0.568181818181818,29.010989010989015,2.029664324746292
BALANGAN,KALIMANTAN SELATAN,13/03/2023,135996,1344,25,7,0.183828936145181,0.0,1.8601190476190477,10.714285714285714
BANDUNG,JAWA BARAT,13/03/2023,3847117,19054,1672,1381,0.434611164672143,2.15311004784689,8.775060354781148,6.64488017429194
BANDUNG BARAT,JAWA BARAT,13/03/2023,1706900,8491,877,418,0.51379694182436,4.67502850627138,10.328583205747261,7.587064676616915
BANGGAI,SULAWESI TENGAH,13/03/2023,395851,1953,33,16,0.0833647003544263,0.0,1.6897081413210446,5.714285714285714
BANGGAI KEPULAUAN,SULAWESI TENGAH,13/03/2023,120257,602,1,29,0.00831552425222648,0.0,0.16611295681063123,
BANGGAI LAUT,SULAWESI TENGAH,13/03/2023,79976,392,2,0,0.0250075022506752,0.0,0.5102040816326531,0.0
BANGKA,KEP. BANGKA BELITUNG,13/03/2023,345527,343,172,184,0.497790331869868,1.74418604651163,50.14577259475219,0.546448087431694
BANGKA BARAT,KEP. BANGKA BELITUNG,13/03/2023,218524,1078,55,10,0.251688601709652,0.0,5.1020408163265305,0.0
BANGKA SELATAN,KEP. BANGKA BELITUNG,13/03/2023,214921,1064,29,7,0.134933301073418,10.3448275862069,2.725563909774436,31.57894736842105
BANGKA TENGAH,KEP. BANGKA BELITUNG,13/03/2023,200830,994,59,82,0.293780809639994,0.0,5.935613682092555,29.411764705882355
BANGKALAN,JAWA TIMUR,13/03/2023,1018075,5054,215,42,0.211182869631412,0.930232558139535,4.254056193114365,2.4896265560165975
BANGLI,BALI,13/03/2023,232095,1155,191,172,0.822938882785066,0.523560209424084,16.536796536796537,3.015075376884422
BANJAR,KALIMANTAN SELATAN,13/03/2023,607164,3003,65,89,0.107055095493145,0.0,2.1645021645021645,4.0
BANJARNEGARA,JAWA TENGAH,13/03/2023,933377,9303,25,1,0.0267844611555674,8.0,0.26873051703751477,7.2992700729927
BANTAENG,SULAWESI SELATAN,13/03/2023,190772,952,6,3,0.031451156354182,0.0,0.6302521008403361,0.0
BANTUL,DI YOGYAKARTA,13/03/2023,1078404,5320,397,231,0.368136616703944,3.27455919395466,7.462406015037594,3.4324942791762014
BANYUASIN,SUMATERA SELATAN,13/03/2023,898649,4445,293,39,0.32604498530572,0.0,6.591676040494939,0.967741935483871
BANYUMAS,JAWA TENGAH,13/03/2023,1730767,8596,250,176,0.144444630617524,2.0,2.908329455560726,5.714285714285714
BANYUWANGI,JAWA TIMUR,13/03/2023,1629172,8127,328,258,0.201329264190644,0.304878048780488,4.035929617324966,3.6619718309859155
BARITO KUALA,KALIMANTAN SELATAN,13/03/2023,320133,1589,145,64,0.452936748164044,0.0,9.125235997482694,0.0
BARITO SELATAN,KALIMANTAN TENGAH,13/03/2023,141528,1407,37,6,0.26143236674015,0.0,2.6297085998578535,2.631578947368421
BARITO TIMUR,KALIMANTAN TENGAH,13/03/2023,130007,1281,23,8,0.176913550808803,0.0,1.795472287275566,0.0
BARITO UTARA,KALIMANTAN TENGAH,13/03/2023,133586,133,96,130,0.718638180647673,0.0,72.18045112781954,1.0204081632653061
BARRU,SULAWESI SELATAN,13/03/2023,175924,875,18,2,0.102316909574589,0.0,2.057142857142857,5.0
BATANG,JAWA TENGAH,13/03/2023,785195,3899,12,1,0.0152828278325766,0.0,0.30777122339061297,4.615384615384616
BATANGHARI,JAMBI,13/03/2023,274117,1365,39,0,0.142275013953896,0.0,2.857142857142857,2.272727272727273
BATU BARA,SUMATERA UTARA,13/03/2023,432925,427,30,13,0.0692960674481723,0.0,7.02576112412178,32.55813953488372
BEKASI,JAWA BARAT,13/03/2023,4166696,20216,1353,1176,0.324717713987294,1.92165558019217,6.692718638702018,4.654169360051713
BELITUNG,KEP. BANGKA BELITUNG,13/03/2023,194384,959,55,3,0.282945098362005,0.0,5.735140771637122,7.6923076923076925
BELITUNG TIMUR,KEP. BANGKA BELITUNG,13/03/2023,132547,658,17,3,0.128256392072246,0.0,2.5835866261398177,0.0
BELU,NTT,13/03/2023,232794,1148,40,19,0.171825734340232,2.5,3.484320557491289,4.651162790697675
BENER MERIAH,ACEH,13/03/2023,154463,763,1,0,0.00647404232728874,0.0,0.1310615989515072,
BENGKALIS,RIAU,13/03/2023,573164,2856,240,165,0.418728322085825,0.0,8.403361344537815,2.9962546816479403
BENGKAYANG,KALIMANTAN BARAT,13/03/2023,269707,1330,62,29,0.229879091013581,0.0,4.661654135338346,4.411764705882353
BENGKULU SELATAN,BENGKULU,13/03/2023,183088,896,65,73,0.355020536572577,0.0,7.2544642857142865,0.0
BENGKULU TENGAH,BENGKULU,13/03/2023,117380,581,16,1,0.136309422388823,0.0,2.753872633390706,11.11111111111111
BENGKULU UTARA,BENGKULU,13/03/2023,312967,308,58,61,0.185323053229254,0.0,18.83116883116883,20.0
BERAU,KALIMANTAN TIMUR,13/03/2023,240424,238,199,167,0.827704388912921,0.0,83.61344537815127,2.3923444976076556
BIAK NUMFOR,PAPUA,13/03/2023,152123,154,80,1,0.525890233561,0.0,51.94805194805194,2.4390243902439024
BIMA,NTB,13/03/2023,520986,2576,31,38,0.0595025586100202,0.0,1.203416149068323,46.875
BINTAN,KEP. RIAU,13/03/2023,167625,833,122,65,0.727815063385533,0.0,14.645858343337334,0.0
BIREUEN,ACEH,13/03/2023,490248,2422,9,2,0.0183580555147599,0.0,0.37159372419488024,0.0
BLITAR,JAWA TIMUR,13/03/2023,1173198,5852,470,381,0.400614389046009,1.27659574468085,8.031442241968557,5.847953216374268
BLORA,JAWA TENGAH,13/03/2023,867525,4333,319,20,0.367712746030374,0.0,7.362104777290561,2.023121387283237
BOALEMO,GORONTALO,13/03/2023,174497,1715,4,0,0.0229230301953615,0.0,0.23323615160349853,0.0
BOGOR,JAWA BARAT,13/03/2023,6262797,30828,2799,1729,0.44692491230356,1.64344408717399,9.07940833008953,9.150133254367782
BOJONEGORO,JAWA TIMUR,13/03/2023,1259078,6286,224,126,0.177907961222418,0.0,3.5634743875278394,2.2813688212927756
BOLAANG MONGONDOW,SULAWESI UTARA,13/03/2023,258726,1281,36,32,0.139143340831613,0.0,2.810304449648712,
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,13/03/2023,74714,1022,0,0,0.0,0.0,0.0,
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,13/03/2023,68959,371,4,2,0.0580054815180035,0.0,1.078167115902965,0.0
BOLAANG MONGONDOW UTARA,SULAWESI UTARA,13/03/2023,83129,413,43,40,0.517268341974522,0.0,10.411622276029057,
BOMBANA,SULAWESI TENGGARA,13/03/2023,192132,938,14,0,0.0728665708991735,0.0,1.4925373134328357,6.25
BONDOWOSO,JAWA TIMUR,13/03/2023,788512,7854,91,83,0.115407248082464,1.0989010989011,1.1586452762923352,5.1020408163265305
