Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,22/08/2022,215294,1078,36,10,0.167213206127435,2.77777777777778,3.339517625231911,8.571428571428571
ACEH BARAT DAYA,ACEH,22/08/2022,155966,777,24,9,0.153879691727684,0.0,3.088803088803089,5.263157894736842
ACEH BESAR,ACEH,22/08/2022,436212,2184,116,42,0.265925742528862,6.89655172413793,5.311355311355311,10.81081081081081
ACEH JAYA,ACEH,22/08/2022,97338,490,11,13,0.113008280424911,0.0,2.2448979591836733,8.333333333333332
ACEH SELATAN,ACEH,22/08/2022,248511,1246,20,0,0.0804793349187762,0.0,1.6051364365971106,14.285714285714285
ACEH SINGKIL,ACEH,22/08/2022,127289,637,13,54,0.102129799118541,0.0,2.0408163265306123,7.4074074074074066
ACEH TAMIANG,ACEH,22/08/2022,304273,1519,94,46,0.308933096265525,1.06382978723404,6.1882817643186305,13.855421686746988
ACEH TENGAH,ACEH,22/08/2022,218036,1092,48,145,0.22014713166633,0.0,4.395604395604396,2.3622047244094486
ACEH TENGGARA,ACEH,22/08/2022,222284,1113,45,7,0.202443720645661,0.0,4.0431266846361185,10.294117647058822
ACEH TIMUR,ACEH,22/08/2022,448347,2240,46,78,0.102599102926974,0.0,2.0535714285714284,6.521739130434782
ACEH UTARA,ACEH,22/08/2022,636641,3185,109,170,0.171211090708892,1.8348623853211,3.422291993720565,2.5316455696202533
AGAM,SUMATERA BARAT,22/08/2022,504126,2520,158,33,0.313413710064547,5.06329113924051,6.26984126984127,11.048158640226628
ALOR,NTT,22/08/2022,209155,1043,140,36,0.669360043986517,0.0,13.422818791946309,1.0676156583629894
ASAHAN,SUMATERA UTARA,22/08/2022,747618,3738,176,194,0.235414342618824,5.68181818181818,4.708400214018192,24.324324324324326
ASMAT,PAPUA,22/08/2022,103453,518,47,47,0.454312586391888,0.0,9.073359073359073,1.1904761904761905
BADUNG,BALI,22/08/2022,727951,3640,3352,3674,4.60470553649902,7.01073985680191,92.08791208791209,3.3697632058287796
BALANGAN,KALIMANTAN SELATAN,22/08/2022,134576,672,83,198,0.616751872547854,9.63855421686747,12.351190476190476,61.395348837209305
BANDUNG,JAWA BARAT,22/08/2022,3810690,19054,2116,2784,0.555280014905437,8.97920604914934,11.105279731290016,11.117681845062094
BANDUNG BARAT,JAWA BARAT,22/08/2022,1698855,8491,1067,849,0.62807008249674,7.68509840674789,12.56624661406195,11.120263591433279
BANGGAI,SULAWESI TENGAH,22/08/2022,390892,1953,81,123,0.207218362105134,0.0,4.147465437788019,2.6595744680851063
BANGGAI KEPULAUAN,SULAWESI TENGAH,22/08/2022,119719,602,28,42,0.233881004685973,14.2857142857143,4.651162790697675,40.0
BANGGAI LAUT,SULAWESI TENGAH,22/08/2022,78681,392,23,82,0.292319619730303,0.0,5.86734693877551,28.169014084507044
BANGKA,KEP. BANGKA BELITUNG,22/08/2022,341430,1708,216,368,0.632633336262191,0.925925925925926,12.646370023419204,1.3059701492537312
