Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,02/09/2022,215294,1078,28,5,0.130054715876894,7.14285714285714,2.5974025974025974,10.869565217391305
ACEH BARAT DAYA,ACEH,02/09/2022,155966,777,8,4,0.0512932305758947,0.0,1.0296010296010296,23.809523809523807
ACEH BESAR,ACEH,02/09/2022,436212,4361,102,23,0.233831256361586,18.6274509803922,2.3389130933272186,28.085106382978726
ACEH JAYA,ACEH,02/09/2022,97338,490,18,20,0.184922640695309,5.55555555555556,3.6734693877551026,22.5
ACEH SELATAN,ACEH,02/09/2022,248511,1246,14,3,0.0563355344431434,14.2857142857143,1.1235955056179776,23.333333333333332
ACEH SINGKIL,ACEH,02/09/2022,127289,637,9,41,0.0707052455436055,0.0,1.4128728414442702,3.8461538461538463
ACEH TAMIANG,ACEH,02/09/2022,304273,1519,44,65,0.144606981230671,4.54545454545455,2.8966425279789334,27.27272727272727
ACEH TENGAH,ACEH,02/09/2022,218036,1092,62,126,0.284356711735677,0.0,5.677655677655678,3.669724770642202
ACEH TENGGARA,ACEH,02/09/2022,222284,1113,35,1,0.157456227168847,2.85714285714286,3.1446540880503147,5.0
ACEH TIMUR,ACEH,02/09/2022,448347,2240,33,9,0.0736037042736987,9.09090909090909,1.4732142857142856,10.416666666666668
ACEH UTARA,ACEH,02/09/2022,636641,3185,102,155,0.160215883048688,1.96078431372549,3.2025117739403455,4.926108374384237
AGAM,SUMATERA BARAT,02/09/2022,504126,2520,122,19,0.242002991315663,4.91803278688525,4.841269841269842,15.068493150684931
ALOR,NTT,02/09/2022,209155,1043,54,22,0.258181731251942,0.0,5.177372962607862,2.1052631578947367
ASAHAN,SUMATERA UTARA,02/09/2022,747618,3738,129,165,0.172548012487661,4.65116279069767,3.451043338683788,34.68834688346883
ASMAT,PAPUA,02/09/2022,103453,518,38,31,0.367316559210463,2.63157894736842,7.335907335907336,0.0
BADUNG,BALI,02/09/2022,727951,3640,3317,3325,4.55662537725753,5.54718118782032,91.12637362637362,2.3989531840651352
BALANGAN,KALIMANTAN SELATAN,02/09/2022,134576,672,90,172,0.668767090714541,6.66666666666667,13.392857142857142,54.95049504950495
BANDUNG,JAWA BARAT,02/09/2022,3810690,19054,4105,5142,1.07723273212988,20.121802679659,21.544032749029075,30.41125541125541
BANDUNG BARAT,JAWA BARAT,02/09/2022,1698855,8491,1034,919,0.60864523458447,8.89748549323017,12.177599811565187,14.623837700760777
BANGGAI,SULAWESI TENGAH,02/09/2022,390892,1953,140,198,0.35815519376196,2.14285714285714,7.168458781362006,7.006369426751593
BANGGAI KEPULAUAN,SULAWESI TENGAH,02/09/2022,119719,602,22,49,0.183763646538979,13.6363636363636,3.6544850498338874,43.90243902439025
BANGGAI LAUT,SULAWESI TENGAH,02/09/2022,78681,392,28,89,0.355867363149935,10.7142857142857,7.142857142857142,42.42424242424242
BANGKA,KEP. BANGKA BELITUNG,02/09/2022,341430,1708,194,323,0.568198459420672,6.70103092783505,11.358313817330211,6.493506493506493
BANGKA BARAT,KEP. BANGKA BELITUNG,02/09/2022,215918,1078,81,57,0.375142415176132,6.17283950617284,7.5139146567718,7.547169811320755
BANGKA SELATAN,KEP. BANGKA BELITUNG,02/09/2022,212382,1064,54,4,0.254258835494533,1.85185185185185,5.075187969924812,14.150943396226415
BANGKA TENGAH,KEP. BANGKA BELITUNG,02/09/2022,198458,994,79,165,0.398069112860152,3.79746835443038,7.947686116700201,21.73913043478261
BANGKALAN,JAWA TIMUR,02/09/2022,1010737,5054,362,125,0.358154495185197,2.48618784530387,7.1626434507320935,3.04
BANGLI,BALI,02/09/2022,231050,1155,253,308,1.09500108201688,7.90513833992095,21.904761904761905,11.283185840707963
BANJAR,KALIMANTAN SELATAN,02/09/2022,601268,3003,161,287,0.267767451452597,9.3167701863354,5.361305361305361,8.743169398907105
BANJARNEGARA,JAWA TENGAH,02/09/2022,929976,4648,245,318,0.263447658864315,11.4285714285714,5.271084337349398,6.393244873341375
BANTAENG,SULAWESI SELATAN,02/09/2022,190006,952,29,13,0.152626759154974,0.0,3.046218487394958,0.0
BANTUL,DI YOGYAKARTA,02/09/2022,1064286,5320,868,1124,0.815570250853624,5.87557603686636,16.315789473684212,5.353430353430354
BANYUASIN,SUMATERA SELATAN,02/09/2022,888470,4445,290,109,0.326403817799138,3.44827586206897,6.524184476940382,3.814262023217247
BANYUMAS,JAWA TENGAH,02/09/2022,1719757,1722,1986,2577,1.15481431388272,2.92044310171198,115.33101045296168,4.2294322132097335
BANYUWANGI,JAWA TIMUR,02/09/2022,1626064,8127,620,932,0.381288805360675,6.12903225806452,7.628891349821583,4.094488188976378
BARITO KUALA,KALIMANTAN SELATAN,02/09/2022,317818,1589,116,90,0.364988767156045,4.31034482758621,7.300188797986156,6.024096385542169
BARITO SELATAN,KALIMANTAN TENGAH,02/09/2022,140360,2107,89,69,0.634083784554004,20.2247191011236,4.224015187470337,38.75
BARITO TIMUR,KALIMANTAN TENGAH,02/09/2022,128131,1925,43,40,0.335594040474202,20.9302325581395,2.2337662337662336,30.208333333333332
BARITO UTARA,KALIMANTAN TENGAH,02/09/2022,132857,665,118,333,0.888172998035482,4.23728813559322,17.74436090225564,5.263157894736842
BARRU,SULAWESI SELATAN,02/09/2022,175492,875,46,18,0.262120210607891,2.17391304347826,5.257142857142857,3.488372093023256
BATANG,JAWA TENGAH,02/09/2022,780328,3899,146,75,0.18710080889062,5.47945205479452,3.7445498845857914,4.761904761904762
BATANGHARI,JAMBI,02/09/2022,272878,1365,87,121,0.318823796715015,4.59770114942529,6.373626373626373,8.121827411167512
BATU BARA,SUMATERA UTARA,02/09/2022,429432,2149,258,456,0.600793606438272,1.16279069767442,12.005583992554676,8.585858585858585
BEKASI,JAWA BARAT,02/09/2022,4043491,20216,4219,8290,1.04340531486283,10.0734771272813,20.869608231104074,7.615274568064267
BELITUNG,KEP. BANGKA BELITUNG,02/09/2022,192079,189,276,378,1.43690877191156,1.08695652173913,146.03174603174602,2.6223776223776225
BELITUNG TIMUR,KEP. BANGKA BELITUNG,02/09/2022,130987,658,68,25,0.51913548672769,0.0,10.33434650455927,3.6363636363636362
BELU,NTT,02/09/2022,229747,1148,120,166,0.522313675477808,6.66666666666667,10.452961672473867,13.533834586466165
BENER MERIAH,ACEH,02/09/2022,152369,763,17,2,0.111571251370029,5.88235294117647,2.2280471821756227,15.151515151515152
BENGKALIS,RIAU,02/09/2022,570566,2856,402,575,0.70456353866161,3.48258706467662,14.07563025210084,3.160270880361174
BENGKAYANG,KALIMANTAN BARAT,02/09/2022,265967,1330,115,94,0.432384468749883,3.47826086956522,8.646616541353383,3.9647577092511015
BENGKULU SELATAN,BENGKULU,02/09/2022,179186,896,84,177,0.468786623954996,0.0,9.375,0.9389671361502347
BENGKULU TENGAH,BENGKULU,02/09/2022,116293,581,27,18,0.232172185772144,0.0,4.647160068846816,7.575757575757576
BENGKULU UTARA,BENGKULU,02/09/2022,310069,1547,349,916,1.12555592464903,0.573065902578797,22.559793148028444,6.91699604743083
BERAU,KALIMANTAN TIMUR,02/09/2022,236589,238,318,558,1.34410306480859,2.20125786163522,133.61344537815125,5.710102489019034
BIAK NUMFOR,PAPUA,02/09/2022,150676,154,98,84,0.650402187475112,1.02040816326531,63.63636363636363,1.694915254237288
BIMA,NTB,02/09/2022,515007,2576,103,377,0.199997281590347,0.0,3.998447204968944,51.813471502590666
BINTAN,KEP. RIAU,02/09/2022,166137,833,155,252,0.932964962651306,8.38709677419355,18.60744297719088,26.585365853658537
BIREUEN,ACEH,02/09/2022,483716,2422,29,15,0.0599525341315979,0.0,1.1973575557390588,15.789473684210526
BLITAR,JAWA TIMUR,02/09/2022,1170647,5852,482,462,0.411738124302202,6.22406639004149,8.2365003417635,3.938730853391685
BLORA,JAWA TENGAH,02/09/2022,866144,4333,928,875,1.07141537665792,0.431034482758621,21.417032079390722,14.110929853181077
BOALEMO,GORONTALO,02/09/2022,171405,854,28,43,0.163355794755112,0.0,3.278688524590164,3.225806451612903
BOGOR,JAWA BARAT,02/09/2022,6165345,30828,5473,5269,0.887703770024224,11.6754978987758,17.753341118463734,10.639724993711747
BOJONEGORO,JAWA TIMUR,02/09/2022,1257262,6286,502,583,0.399280340931325,3.18725099601594,7.986000636334713,2.7675276752767526
BOLAANG MONGONDOW,SULAWESI UTARA,02/09/2022,255722,1281,146,375,0.57093249700847,3.42465753424658,11.397345823575332,2.967359050445104
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,02/09/2022,68167,1022,8,6,0.117358839321079,12.5,0.7827788649706457,5.263157894736842
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,02/09/2022,74026,742,25,10,0.337719179747656,4.0,3.3692722371967654,11.320754716981133
BOLAANG MONGONDOW UTARA,SULAWESI UTARA,02/09/2022,82353,413,21,16,0.254999817857273,4.76190476190476,5.084745762711865,16.216216216216218
BOMBANA,SULAWESI TENGGARA,02/09/2022,188226,938,28,4,0.148757344893904,0.0,2.9850746268656714,1.7241379310344827
BONDOWOSO,JAWA TIMUR,02/09/2022,785692,3927,156,308,0.198551086176262,3.84615384615385,3.972498090145149,7.55813953488372
BONE,SULAWESI SELATAN,02/09/2022,759504,3801,268,278,0.352861867745265,1.11940298507463,7.050776111549592,1.002004008016032
BONE BOLANGO,GORONTALO,02/09/2022,158877,791,21,12,0.132177722389018,0.0,2.6548672566371683,0.0
BOVEN DIGOEL,PAPUA,02/09/2022,71134,357,36,78,0.506087103213653,2.77777777777778,10.084033613445378,48.818897637795274
BOYOLALI,JAWA TENGAH,02/09/2022,990845,4956,465,606,0.469296408620925,2.36559139784946,9.382566585956416,6.73758865248227
BREBES,JAWA TENGAH,02/09/2022,1811321,9058,182,141,0.100479153060115,12.6373626373626,2.009273570324575,8.735150244584206
BULELENG,BALI,02/09/2022,672468,3360,533,568,0.79260277068946,6.37898686679174,15.863095238095237,12.805474095796676
BULUKUMBA,SULAWESI SELATAN,02/09/2022,423485,2114,98,33,0.231413155129462,1.02040816326531,4.635761589403973,0.5847953216374269
