Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,22/12/2023,218171,1078,1,0,0.00458356060154649,0.0,0.0927643784786642,
ACEH BARAT DAYA,ACEH,22/12/2023,158019,777,0,0,0.0,0.0,0.0,
ACEH BESAR,ACEH,22/12/2023,442065,2184,2,0,0.00452422155112936,0.0,0.09157509157509157,
ACEH JAYA,ACEH,22/12/2023,98816,490,9,0,0.0910783678756477,0.0,1.8367346938775513,
ACEH SELATAN,ACEH,22/12/2023,251633,2485,2,0,0.00794808312105328,0.0,0.08048289738430583,
ACEH SINGKIL,ACEH,22/12/2023,129001,637,0,0,0.0,0.0,0.0,
ACEH TAMIANG,ACEH,22/12/2023,307662,1519,0,0,0.0,0.0,0.0,
ACEH TENGAH,ACEH,22/12/2023,220975,1092,0,0,0.0,0.0,0.0,
ACEH TENGGARA,ACEH,22/12/2023,225273,1113,0,0,0.0,0.0,0.0,
ACEH TIMUR,ACEH,22/12/2023,454438,4480,0,0,0.0,0.0,0.0,
ACEH UTARA,ACEH,22/12/2023,643469,3185,3,0,0.00466222926046165,0.0,0.09419152276295133,
AGAM,SUMATERA BARAT,22/12/2023,507351,2520,15,0,0.0295653305108298,0.0,0.5952380952380952,
ALOR,NTT,22/12/2023,210123,1043,3,0,0.0142773518367813,0.0,0.28763183125599234,
ASAHAN,SUMATERA UTARA,22/12/2023,752396,7476,6,0,0.00797452405382272,16.6666666666667,0.08025682182985554,
ASMAT,PAPUA,22/12/2023,105558,518,0,0,0.0,0.0,0.0,
BADUNG,BALI,22/12/2023,744765,3640,250,0,0.335676354286251,9.2,6.868131868131869,
BALANGAN,KALIMANTAN SELATAN,22/12/2023,135996,1344,5,0,0.0367657872290361,0.0,0.3720238095238095,
BANDUNG,JAWA BARAT,22/12/2023,3847117,19054,131,0,0.0340514728301739,14.5038167938931,0.6875196809068962,
BANDUNG BARAT,JAWA BARAT,22/12/2023,1706900,8491,53,0,0.0310504423223387,11.3207547169811,0.6241903191614651,
