Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
BENGKALIS,RIAU,14/12/2021,567745,567,2526,1484,4.449181,0.079177,445.50264550264546,2.072120559741658
BENGKAYANG,KALIMANTAN BARAT,14/12/2021,262205,259,1296,1302,4.942698,0.231481,500.38610038610034,9.248913718187461
BENGKULU SELATAN,BENGKULU,14/12/2021,175308,175,653,330,3.724873,0.0,373.1428571428571,2.164009111617312
BENGKULU TENGAH,BENGKULU,14/12/2021,115178,112,364,93,3.160326,0.274725,325.0,1.4553014553014554
BENGKULU UTARA,BENGKULU,14/12/2021,307095,4606,1211,781,3.943405,0.0,26.29179331306991,1.3297872340425532
BERAU,KALIMANTAN TIMUR,14/12/2021,232732,231,3724,7404,16.001237,0.0,1612.121212121212,1.0484728764625437
BIAK NUMFOR,PAPUA,14/12/2021,149188,2240,1770,3039,11.864225,0.0,79.01785714285714,6.017080745341615
BIMA,NTB,14/12/2021,508920,7637,1611,1959,3.165527,0.0,21.094670682205056,21.885245901639344
BINTAN,KEP. RIAU,14/12/2021,164568,2471,1582,949,9.613047,0.0,64.02266288951841,2.507232401157184
BIREUEN,ACEH,14/12/2021,477150,7154,849,622,1.779315,0.0,11.867486720715684,4.757281553398058
BLITAR,JAWA TIMUR,14/12/2021,1167796,1169,4344,2824,3.719828,0.046041,371.59965782720275,3.5753778105418355
BLORA,JAWA TENGAH,14/12/2021,864595,868,2157,3263,2.49481,0.092721,248.50230414746542,2.689721421709894
BOALEMO,GORONTALO,14/12/2021,168320,168,528,405,3.136882,0.0,314.2857142857143,1.1560693641618496
BOGOR,JAWA BARAT,14/12/2021,6067956,91021,23074,10954,3.802598,0.030337,25.350193911295193,2.1252930920459328
BOJONEGORO,JAWA TIMUR,14/12/2021,1255119,1253,5273,4638,4.201195,0.151716,420.83000798084595,7.263886842493002
BOLAANG MONGONDOW,SULAWESI UTARA,14/12/2021,252666,3787,758,312,3.000008,1.187335,20.015843675732768,2.481121898597627
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,14/12/2021,73321,70,144,74,1.963967,0.0,205.7142857142857,1.7142857142857144
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,14/12/2021,67363,70,182,89,2.70178,0.0,260.0,1.2987012987012987
BOLAANG MONGONDOW UTARA,SULAWESI UTARA,14/12/2021,81556,84,458,422,5.615773,0.218341,545.2380952380953,3.793103448275862
BOMBANA,SULAWESI TENGGARA,14/12/2021,184351,2765,659,521,3.574703,0.0,23.83363471971067,2.484472049689441
BONDOWOSO,JAWA TIMUR,14/12/2021,782676,784,2509,1877,3.205669,0.0,320.0255102040816,3.337874659400545
BONE,SULAWESI SELATAN,14/12/2021,757741,756,2856,1783,3.769098,0.0,377.77777777777777,0.9774881516587678
BONE BOLANGO,GORONTALO,14/12/2021,158212,161,861,622,5.442065,0.116144,534.7826086956521,3.100158982511924
BOVEN DIGOEL,PAPUA,14/12/2021,70022,1050,469,335,6.697895,0.0,44.666666666666664,10.065359477124183
BOYOLALI,JAWA TENGAH,14/12/2021,987454,987,2466,2784,2.497332,0.0,249.84802431610942,2.488870902468636
BREBES,JAWA TENGAH,14/12/2021,1807973,1806,1918,2560,1.060857,0.417101,106.20155038759691,1.2018865054008823
BULELENG,BALI,14/12/2021,669064,672,3930,2660,5.873878,0.050891,584.8214285714286,4.433980773003728
BULUKUMBA,SULAWESI SELATAN,14/12/2021,421959,6328,2019,1311,4.784825,0.0,31.90581542351454,1.5391192817443353
BULUNGAN,KALIMANTAN UTARA,14/12/2021,134529,133,1527,1893,11.350712,0.261952,1148.1203007518798,7.528230865746549
BUNGO,JAMBI,14/12/2021,380647,378,602,339,1.581518,0.0,159.25925925925927,3.0033370411568407
BUOL,SULAWESI TENGAH,14/12/2021,167659,168,792,790,4.723874,0.126263,471.42857142857144,18.991899189918993
BURU,MALUKU,14/12/2021,146819,147,1772,2336,12.069283,0.0,1205.4421768707482,0.35335689045936397
BURU SELATAN,MALUKU,14/12/2021,62998,63,1198,707,19.016477,0.0,1901.5873015873017,0.332667997338656
BUTON,SULAWESI TENGGARA,14/12/2021,102383,105,1039,585,10.148169,0.0,989.5238095238095,2.224052718286656
BUTON SELATAN,SULAWESI TENGGARA,14/12/2021,80176,77,782,241,9.753542,0.0,1015.5844155844155,0.11641443538998836
BUTON TENGAH,SULAWESI TENGGARA,14/12/2021,93255,91,862,591,9.243472,0.0,947.2527472527472,0.4835589941972921
BUTON UTARA,SULAWESI TENGGARA,14/12/2021,63623,63,145,26,2.27905,0.0,230.15873015873015,0.0
CIAMIS,JAWA BARAT,14/12/2021,1213198,18200,2371,1082,1.954339,0.084353,13.027472527472527,5.970149253731343
CIANJUR,JAWA BARAT,14/12/2021,2329635,34944,5560,3771,2.38664,0.053957,15.91117216117216,1.5889212827988337
CILACAP,JAWA TENGAH,14/12/2021,1729384,1729,1883,4449,1.088827,1.009028,108.90688259109311,1.7752562225475843
CIREBON,JAWA BARAT,14/12/2021,2206614,33096,10446,33330,4.73395,0.134023,31.562726613488035,2.1740777213847435
DAIRI,SUMATERA UTARA,14/12/2021,285598,287,897,244,3.140778,0.0,312.54355400696863,2.2007042253521125
DEIYAI,PAPUA,14/12/2021,76224,1141,53,0,0.695319,0.0,4.645048203330412,0.0
DELI SERDANG,SUMATERA UTARA,14/12/2021,2318961,2317,8517,6404,3.672766,0.046965,367.58739749676306,1.8850489743115877
DEMAK,JAWA TENGAH,14/12/2021,1176448,1176,1727,2225,1.467978,0.115808,146.85374149659864,1.9467213114754098
DHARMASRAYA,SUMATERA BARAT,14/12/2021,265841,3990,612,461,2.302128,0.0,15.338345864661655,4.469987228607918
DOGIYAI,PAPUA,14/12/2021,98749,98,0,0,0.0,0.0,0.0,0.0
DOMPU,NTB,14/12/2021,265084,3976,1371,1133,5.171945,0.0,34.48189134808853,6.123627960716349
DONGGALA,SULAWESI TENGAH,14/12/2021,306752,308,953,599,3.106744,0.0,309.4155844155844,1.0657193605683837
EMPAT LAWANG,SUMATERA SELATAN,14/12/2021,256113,259,642,376,2.506706,0.0,247.87644787644786,2.2666666666666666
