Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,23/12/2021,212402,210,269,213,1.266466,0.0,128.09523809523807,8.923884514435695
ACEH BARAT DAYA,ACEH,23/12/2021,153902,154,78,2,0.506816,0.0,50.649350649350644,14.728682170542637
ACEH BESAR,ACEH,23/12/2021,430328,427,1032,362,2.398171,0.0,241.68618266978922,6.114885731933292
ACEH JAYA,ACEH,23/12/2021,95858,1435,63,13,0.657222,0.0,4.390243902439024,14.14141414141414
ACEH SELATAN,ACEH,23/12/2021,245364,3682,295,176,1.202295,0.0,8.011950027159152,10.133333333333333
ACEH SINGKIL,ACEH,23/12/2021,125569,1883,102,6,0.812302,0.0,5.416887944768986,5.263157894736842
ACEH TAMIANG,ACEH,23/12/2021,300846,301,382,161,1.269753,0.0,126.91029900332227,4.263565891472868
ACEH TENGAH,ACEH,23/12/2021,215083,3227,230,368,1.069355,0.434783,7.127362875735978,38.144329896907216
ACEH TENGGARA,ACEH,23/12/2021,219279,3290,283,28,1.290593,0.0,8.601823708206686,4.594594594594595
ACEH TIMUR,ACEH,23/12/2021,442226,441,241,159,0.54497,0.0,54.6485260770975,6.069364161849711
ACEH UTARA,ACEH,23/12/2021,629735,630,855,612,1.357714,0.0,135.71428571428572,4.1516245487364625
AGAM,SUMATERA BARAT,23/12/2021,500774,504,1282,555,2.560037,0.0,254.36507936507934,3.114754098360656
ALOR,NTT,23/12/2021,208098,210,525,336,2.52285,0.0,250.0,1.1730205278592376
ASAHAN,SUMATERA UTARA,23/12/2021,742634,742,1174,746,1.580859,0.0,158.2210242587601,3.15203955500618
ASMAT,PAPUA,23/12/2021,101354,98,660,656,6.51183,0.0,673.469387755102,0.5599104143337066
BADUNG,BALI,23/12/2021,711365,714,19468,42032,27.367104,0.035956,2726.610644257703,0.6094197378444404
BALANGAN,KALIMANTAN SELATAN,23/12/2021,133129,133,377,443,2.83184,0.530504,283.4586466165414,23.738872403560833
BANDUNG,JAWA BARAT,23/12/2021,3773706,3773,10906,7483,2.889997,0.183385,289.05380333951763,3.72042040105745
BANDUNG BARAT,JAWA BARAT,23/12/2021,1690441,25354,5135,1990,3.037669,0.097371,20.253214482921827,2.2629459947244204
BANGGAI,SULAWESI TENGAH,23/12/2021,385891,5789,1685,1870,4.366518,0.0,29.106926930385214,0.689952565761104
BANGGAI KEPULAUAN,SULAWESI TENGAH,23/12/2021,119149,119,325,133,2.727677,0.0,273.109243697479,9.392265193370166
BANGGAI LAUT,SULAWESI TENGAH,23/12/2021,77384,77,172,192,2.222682,0.0,223.37662337662337,6.752411575562702
BANGKA,KEP. BANGKA BELITUNG,23/12/2021,337286,336,2716,2747,8.052513,0.036819,808.3333333333334,0.5834601725012684
BANGKA BARAT,KEP. BANGKA BELITUNG,23/12/2021,213282,210,1685,2525,7.900339,0.178042,802.3809523809524,1.017249004865104
BANGKA SELATAN,KEP. BANGKA BELITUNG,23/12/2021,209815,210,832,493,3.965398,0.120192,396.1904761904762,1.0344827586206897
BANGKA TENGAH,KEP. BANGKA BELITUNG,23/12/2021,196060,196,1399,983,7.135571,0.285919,713.7755102040816,2.934326967862133
BANGKALAN,JAWA TIMUR,23/12/2021,1003188,15050,1985,1290,1.978692,0.100756,13.189368770764121,5.096913137114142
BANGLI,BALI,23/12/2021,229961,231,779,534,3.387531,0.256739,337.2294372294372,14.586846543001686
BANJAR,KALIMANTAN SELATAN,23/12/2021,595240,595,1495,3039,2.511592,0.0,251.26050420168067,1.0256410256410255
BANJARNEGARA,JAWA TENGAH,23/12/2021,926402,924,308,601,0.332469,1.298701,33.33333333333333,3.794127350709337
BANTAENG,SULAWESI SELATAN,23/12/2021,189202,2835,345,194,1.823448,0.289855,12.16931216931217,2.9644268774703555
BANTUL,DI YOGYAKARTA,23/12/2021,1050308,1050,6598,9742,6.281967,0.075781,628.3809523809523,2.7653213751868457
BANYUASIN,SUMATERA SELATAN,23/12/2021,878154,875,1859,837,2.116941,0.0,212.45714285714286,1.8304814962196578
BANYUMAS,JAWA TENGAH,23/12/2021,1708480,25627,1570,10054,0.918945,0.636943,6.12635111405939,4.311742821711342
BANYUWANGI,JAWA TIMUR,23/12/2021,1622536,1624,9252,25209,5.702185,0.0,569.7044334975369,0.9844559585492229
BARITO KUALA,KALIMANTAN SELATAN,23/12/2021,315419,315,556,78,1.762735,0.179856,176.5079365079365,2.9205607476635516
BARITO SELATAN,KALIMANTAN TENGAH,23/12/2021,139191,140,312,74,2.241524,0.0,222.85714285714286,1.0845986984815619
BARITO TIMUR,KALIMANTAN TENGAH,23/12/2021,126220,126,398,223,3.153225,0.0,315.87301587301585,0.576923076923077
BARITO UTARA,KALIMANTAN TENGAH,23/12/2021,132122,133,645,685,4.881852,0.0,484.9624060150376,1.8867924528301887
BARRU,SULAWESI SELATAN,23/12/2021,175023,2625,462,258,2.639653,0.21645,17.599999999999998,1.2875536480686696
BATANG,JAWA TENGAH,23/12/2021,775340,777,546,787,0.704207,0.0,70.27027027027027,1.1455239711497667
BATANGHARI,JAMBI,23/12/2021,271522,4074,389,169,1.432665,0.514139,9.548355424644084,2.0676691729323307
BATU BARA,SUMATERA UTARA,23/12/2021,425831,427,696,391,1.634451,0.0,162.9976580796253,13.05439330543933
BEKASI,JAWA BARAT,23/12/2021,3922987,58842,19819,29481,5.052018,0.080731,33.681723938683255,2.551939694796838
BELITUNG,KEP. BANGKA BELITUNG,23/12/2021,189752,189,3573,5612,18.829841,0.083963,1890.4761904761906,0.9771986970684038
BELITUNG TIMUR,KEP. BANGKA BELITUNG,23/12/2021,129411,126,1417,830,10.94961,0.0,1124.6031746031745,1.4059753954305798
BELU,NTT,23/12/2021,226638,224,1094,748,4.827081,0.274223,488.3928571428571,1.1946591707659873
BENER MERIAH,ACEH,23/12/2021,150266,147,148,73,0.98492,0.0,100.68027210884354,12.608695652173912
BENGKALIS,RIAU,23/12/2021,567745,567,2282,989,4.01941,0.0,402.46913580246917,2.5074626865671643
BENGKAYANG,KALIMANTAN BARAT,23/12/2021,262205,259,745,517,2.841288,0.0,287.64478764478764,2.4193548387096775
BENGKULU SELATAN,BENGKULU,23/12/2021,175308,175,521,241,2.971912,0.0,297.7142857142857,1.5536723163841808
BENGKULU TENGAH,BENGKULU,23/12/2021,115178,112,250,69,2.170553,0.0,223.21428571428572,1.3157894736842104
BENGKULU UTARA,BENGKULU,23/12/2021,307095,4606,727,337,2.367346,0.0,15.783760312635692,0.9478672985781991
BERAU,KALIMANTAN TIMUR,23/12/2021,232732,231,3375,8259,14.501659,0.0,1461.0389610389611,1.189776733254994
BIAK NUMFOR,PAPUA,23/12/2021,149188,2240,1993,3412,13.358983,0.050176,88.97321428571429,5.277221108884436
BIMA,NTB,23/12/2021,508920,7637,1790,1922,3.517252,0.0,23.438522980227837,4.417670682730924
BINTAN,KEP. RIAU,23/12/2021,164568,2471,1441,847,8.756259,0.0,58.31647106434642,2.299465240641711
BIREUEN,ACEH,23/12/2021,477150,7154,341,130,0.71466,0.0,4.76656415991054,5.09433962264151
BLITAR,JAWA TIMUR,23/12/2021,1167796,1169,3653,2689,3.128115,0.164249,312.48930710008557,4.115822130299897
BLORA,JAWA TENGAH,23/12/2021,864595,868,1271,2173,1.470052,0.157356,146.42857142857142,2.45
BOALEMO,GORONTALO,23/12/2021,168320,168,356,318,2.115019,0.0,211.9047619047619,1.7391304347826086
BOGOR,JAWA BARAT,23/12/2021,6067956,91021,21161,10708,3.487336,0.103965,23.248481119741598,2.434545857473011
BOJONEGORO,JAWA TIMUR,23/12/2021,1255119,1253,3852,3223,3.069032,0.129803,307.4221867517957,8.088515833651277
BOLAANG MONGONDOW,SULAWESI UTARA,23/12/2021,252666,3787,659,249,2.608186,0.151745,17.40163717982572,2.068126520681265
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,23/12/2021,73321,70,128,81,1.745748,0.0,182.85714285714286,2.197802197802198
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,23/12/2021,67363,70,331,215,4.913677,1.208459,472.8571428571429,1.0471204188481675
BOLAANG MONGONDOW UTARA,SULAWESI UTARA,23/12/2021,81556,84,344,299,4.217961,0.290698,409.5238095238095,2.6066350710900474
BOMBANA,SULAWESI TENGGARA,23/12/2021,184351,2765,418,607,2.267414,0.0,15.117540687160941,1.0714285714285714
BONDOWOSO,JAWA TIMUR,23/12/2021,782676,784,1528,791,1.952277,0.0,194.89795918367346,9.024745269286754
BONE,SULAWESI SELATAN,23/12/2021,757741,756,1440,545,1.900385,0.069444,190.47619047619045,1.1811023622047243
BONE BOLANGO,GORONTALO,23/12/2021,158212,161,380,252,2.401841,0.0,236.0248447204969,14.55223880597015
BOVEN DIGOEL,PAPUA,23/12/2021,70022,1050,1064,867,15.195224,0.0,101.33333333333334,2.8724114896459585
BOYOLALI,JAWA TENGAH,23/12/2021,987454,987,2241,2971,2.269473,0.089246,227.05167173252278,2.897631133671743
BREBES,JAWA TENGAH,23/12/2021,1807973,1806,1114,1442,0.61616,0.359066,61.683277962347724,3.574736062233747
BULELENG,BALI,23/12/2021,669064,672,2991,1896,4.470424,0.100301,445.08928571428567,6.06203007518797
BULUKUMBA,SULAWESI SELATAN,23/12/2021,421959,6328,1071,283,2.538161,0.0,16.924778761061948,1.757944557133198
