Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,24/12/2021,212402,210,254,194,1.195846,0.0,120.95238095238095,8.88888888888889
ACEH BARAT DAYA,ACEH,24/12/2021,153902,154,75,2,0.487323,0.0,48.701298701298704,12.931034482758621
ACEH BESAR,ACEH,24/12/2021,430328,427,942,339,2.189028,0.0,220.60889929742387,6.477197620621282
ACEH JAYA,ACEH,24/12/2021,95858,1435,59,11,0.615494,0.0,4.111498257839721,17.582417582417584
ACEH SELATAN,ACEH,24/12/2021,245364,3682,312,191,1.27158,0.0,8.473655621944594,9.61038961038961
ACEH SINGKIL,ACEH,24/12/2021,125569,1883,98,18,0.780447,1.020408,5.204460966542751,11.320754716981133
ACEH TAMIANG,ACEH,24/12/2021,300846,301,348,178,1.156738,0.0,115.61461794019934,5.932203389830509
ACEH TENGAH,ACEH,24/12/2021,215083,3227,243,404,1.129796,0.411523,7.530213820886273,37.12574850299401
ACEH TENGGARA,ACEH,24/12/2021,219279,3290,270,28,1.231308,0.0,8.206686930091186,4.201680672268908
ACEH TIMUR,ACEH,24/12/2021,442226,441,195,121,0.440951,0.0,44.21768707482993,6.164383561643835
ACEH UTARA,ACEH,24/12/2021,629735,630,865,644,1.373594,0.0,137.3015873015873,4.37956204379562
AGAM,SUMATERA BARAT,24/12/2021,500774,504,1233,528,2.462189,0.0,244.64285714285717,3.260869565217391
ALOR,NTT,24/12/2021,208098,210,526,352,2.527655,0.0,250.47619047619048,1.0294117647058822
ASAHAN,SUMATERA UTARA,24/12/2021,742634,742,1181,811,1.590285,0.0,159.1644204851752,3.86977886977887
ASMAT,PAPUA,24/12/2021,101354,98,610,583,6.018509,0.0,622.4489795918367,0.5966587112171837
BADUNG,BALI,24/12/2021,711365,714,19370,41888,27.229341,0.041301,2712.8851540616247,0.6493854988461332
BALANGAN,KALIMANTAN SELATAN,24/12/2021,133129,133,365,450,2.741702,0.547945,274.4360902255639,26.453488372093027
BANDUNG,JAWA BARAT,24/12/2021,3773706,3773,10780,7340,2.856608,0.194805,285.7142857142857,3.7838191086132533
BANDUNG BARAT,JAWA BARAT,24/12/2021,1690441,25354,5044,1889,2.983837,0.079302,19.894296757908023,2.3239336828680743
BANGGAI,SULAWESI TENGAH,24/12/2021,385891,5789,1716,1954,4.446852,0.0,29.642425289341855,0.596252129471891
BANGGAI KEPULAUAN,SULAWESI TENGAH,24/12/2021,119149,119,383,198,3.214463,0.0,321.8487394957983,8.589951377633712
BANGGAI LAUT,SULAWESI TENGAH,24/12/2021,77384,77,175,201,2.261449,0.0,227.27272727272728,6.3897763578274756
BANGKA,KEP. BANGKA BELITUNG,24/12/2021,337286,336,2710,2684,8.034724,0.0369,806.547619047619,1.3554987212276215
BANGKA BARAT,KEP. BANGKA BELITUNG,24/12/2021,213282,210,1791,2768,8.397333,0.167504,852.8571428571429,2.211097204839383
BANGKA SELATAN,KEP. BANGKA BELITUNG,24/12/2021,209815,210,826,440,3.936801,0.121065,393.3333333333333,1.282051282051282
BANGKA TENGAH,KEP. BANGKA BELITUNG,24/12/2021,196060,196,1355,929,6.91115,0.369004,691.3265306122449,3.0274361400189216
BANGKALAN,JAWA TIMUR,24/12/2021,1003188,15050,1951,1204,1.9448,0.153767,12.96345514950166,5.850487540628386
BANGLI,BALI,24/12/2021,229961,231,790,520,3.435365,0.253165,341.991341991342,14.585079631181893
BANJAR,KALIMANTAN SELATAN,24/12/2021,595240,595,1497,2967,2.514952,0.0,251.5966386554622,0.961153384060873
BANJARNEGARA,JAWA TENGAH,24/12/2021,926402,924,299,527,0.322754,1.003344,32.35930735930736,3.6762225969645868
BANTAENG,SULAWESI SELATAN,24/12/2021,189202,2835,328,174,1.733597,0.304878,11.569664902998236,1.8711018711018712
BANTUL,DI YOGYAKARTA,24/12/2021,1050308,1050,6445,9291,6.136295,0.108611,613.8095238095239,2.8684037661484565
BANYUASIN,SUMATERA SELATAN,24/12/2021,878154,875,1847,813,2.103276,0.0,211.0857142857143,1.6881028938906755
BANYUMAS,JAWA TENGAH,24/12/2021,1708480,25627,1549,9799,0.906654,0.516462,6.044406290240762,4.724178403755869
BANYUWANGI,JAWA TIMUR,24/12/2021,1622536,1624,8733,25447,5.382315,0.011451,537.7463054187192,0.9812829365800472
BARITO KUALA,KALIMANTAN SELATAN,24/12/2021,315419,315,552,84,1.750053,0.181159,175.23809523809524,2.715466351829988
