Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,02/12/2021,212402,210,249,241,1.172305,0.0,118.57142857142857,5.329153605015674
ACEH BARAT DAYA,ACEH,02/12/2021,153902,154,164,87,1.065613,0.0,106.49350649350649,23.636363636363637
ACEH BESAR,ACEH,02/12/2021,430328,427,1472,658,3.420647,0.203804,344.73067915690865,6.129343629343629
ACEH JAYA,ACEH,02/12/2021,95858,1435,111,63,1.157963,0.0,7.7351916376306615,3.731343283582089
ACEH SELATAN,ACEH,02/12/2021,245364,3682,184,4,0.749906,0.0,4.997284084736556,11.76470588235294
ACEH SINGKIL,ACEH,02/12/2021,125569,1883,158,107,1.258272,0.0,8.390865639936273,3.9408866995073892
ACEH TAMIANG,ACEH,02/12/2021,300846,301,510,233,1.695219,0.0,169.43521594684384,5.864197530864197
ACEH TENGAH,ACEH,02/12/2021,215083,3227,537,297,2.496711,0.0,16.64084288813139,2.3923444976076556
ACEH TENGGARA,ACEH,02/12/2021,219279,3290,286,9,1.304274,0.0,8.693009118541035,5.763688760806916
ACEH TIMUR,ACEH,02/12/2021,442226,441,202,89,0.45678,0.0,45.80498866213152,13.651877133105803
ACEH UTARA,ACEH,02/12/2021,629735,630,714,417,1.13381,0.0,113.33333333333333,3.925845147219193
AGAM,SUMATERA BARAT,02/12/2021,500774,504,1400,394,2.795672,0.0,277.77777777777777,3.1466666666666665
ALOR,NTT,02/12/2021,208098,210,621,484,2.984171,0.161031,295.7142857142857,1.2853470437017995
ASAHAN,SUMATERA UTARA,02/12/2021,742634,742,1142,623,1.53777,0.0,153.90835579514825,6.005221932114883
ASMAT,PAPUA,02/12/2021,101354,98,455,480,4.489216,0.0,464.28571428571433,0.3252032520325203
BADUNG,BALI,02/12/2021,711365,714,17631,36178,24.784745,0.096421,2469.327731092437,0.6038897605162665
BALANGAN,KALIMANTAN SELATAN,02/12/2021,133129,133,476,373,3.575479,0.420168,357.89473684210526,13.258785942492013
BANDUNG,JAWA BARAT,02/12/2021,3773706,3773,11371,7234,3.013218,0.510069,301.37821362311155,4.023292747485442
BANDUNG BARAT,JAWA BARAT,02/12/2021,1690441,25354,4739,1985,2.80341,0.232116,18.691330756488128,2.2246592511358294
BANGGAI,SULAWESI TENGAH,02/12/2021,385891,5789,1488,1611,3.856011,0.0,25.703921229918812,3.1589338598223096
BANGGAI KEPULAUAN,SULAWESI TENGAH,02/12/2021,119149,119,341,321,2.861963,0.58651,286.5546218487395,7.560975609756097
