Tanggal,provinsi (plot_tk_kab),bps_province_id,name,bps_regency_id,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
2022-06-14,ACEH,11,BENER MERIAH,1117,152369,763,37,3,0.242831547099476,0.0,4.849279161205767,5.88235294117647
2022-06-15,ACEH,11,BENER MERIAH,1117,152369,763,90,0,0.590671330782508,0.0,11.795543905635649,2.941176470588235
2022-06-16,ACEH,11,BENER MERIAH,1117,152369,763,85,0,0.557856256850147,0.0,11.140235910878111,4.123711340206185
2022-06-13,ACEH,11,BIREUEN,1110,483716,2422,64,7,0.132309040842147,0.0,2.6424442609413705,10.526315789473683
2022-06-14,ACEH,11,BIREUEN,1110,483716,2422,68,10,0.140578355894781,0.0,2.8075970272502064,10.0
2022-06-15,ACEH,11,BIREUEN,1110,483716,2422,172,9,0.35558054726327,0.0,7.101568951279933,5.5
2022-06-16,ACEH,11,BIREUEN,1110,483716,2422,175,7,0.361782533552746,0.0,7.225433526011561,5.527638190954774
2022-06-13,ACEH,11,GAYO LUES,1113,96126,483,25,2,0.260075317812038,0.0,5.175983436853002,7.142857142857142
2022-06-14,ACEH,11,GAYO LUES,1113,96126,483,26,2,0.27047833052452,0.0,5.383022774327122,6.896551724137931
2022-06-15,ACEH,11,GAYO LUES,1113,96126,483,47,2,0.488941597486632,0.0,9.730848861283643,4.081632653061225
2022-06-16,ACEH,11,GAYO LUES,1113,96126,483,57,2,0.592971724611447,0.0,11.801242236024844,9.523809523809524
2022-06-13,ACEH,11,KOTA BANDA ACEH,1171,280231,280,329,1144,1.17403142407514,0.0,117.5,12.869198312236287
2022-06-14,ACEH,11,KOTA BANDA ACEH,1171,280231,280,500,1500,1.78424228582848,0.0,178.57142857142858,9.863429438543248
2022-06-15,ACEH,11,KOTA BANDA ACEH,1171,280231,280,569,1845,2.03046772127281,0.0,203.2142857142857,8.791208791208792
2022-06-16,ACEH,11,KOTA BANDA ACEH,1171,280231,280,577,2229,2.05901559784606,0.0,206.07142857142856,10.2803738317757
2022-06-13,ACEH,11,KOTA LANGSA,1173,183386,917,74,50,0.40352044321813,0.0,8.069792802617231,2.912621359223301
2022-06-14,ACEH,11,KOTA LANGSA,1173,183386,917,71,60,0.387161506330909,0.0,7.742639040348964,2.083333333333333
2022-06-15,ACEH,11,KOTA LANGSA,1173,183386,917,90,78,0.490768106616645,0.0,9.814612868047982,2.6785714285714284
2022-06-16,ACEH,11,KOTA LANGSA,1173,183386,917,181,64,0.986989192195697,0.0,19.738276990185387,1.477832512315271
2022-06-13,ACEH,11,KOTA LHOKSEUMAWE,1174,213107,1064,123,141,0.577174846438643,0.0,11.56015037593985,5.434782608695652
2022-06-14,ACEH,11,KOTA LHOKSEUMAWE,1174,213107,1064,137,204,0.64286954440727,0.0,12.87593984962406,3.153153153153153
2022-06-15,ACEH,11,KOTA LHOKSEUMAWE,1174,213107,1064,157,206,0.736719112933878,0.0,14.75563909774436,2.9661016949152543
2022-06-16,ACEH,11,KOTA LHOKSEUMAWE,1174,213107,1064,151,211,0.708564242375896,0.0,14.191729323308271,3.4934497816593884
2022-06-13,ACEH,11,KOTA SABANG,1172,35076,175,46,37,1.31143802029878,0.0,26.285714285714285,8.928571428571429
2022-06-14,ACEH,11,KOTA SABANG,1172,35076,175,66,42,1.88162846390694,0.0,37.71428571428572,6.578947368421052
2022-06-15,ACEH,11,KOTA SABANG,1172,35076,175,68,42,1.93864750826776,0.0,38.85714285714285,5.333333333333334
2022-06-16,ACEH,11,KOTA SABANG,1172,35076,175,65,36,1.85311894172654,0.0,37.142857142857146,4.10958904109589
2022-06-13,ACEH,11,KOTA SUBULUSSALAM,1175,83273,413,18,5,0.216156497304048,0.0,4.358353510895883,4.3478260869565215
2022-06-14,ACEH,11,KOTA SUBULUSSALAM,1175,83273,413,16,5,0.192139108714709,0.0,3.87409200968523,9.090909090909092
2022-06-15,ACEH,11,KOTA SUBULUSSALAM,1175,83273,413,19,4,0.228165191598717,0.0,4.600484261501211,8.0
2022-06-16,ACEH,11,KOTA SUBULUSSALAM,1175,83273,413,21,4,0.252182580188056,0.0,5.084745762711865,7.4074074074074066
2022-06-13,ACEH,11,NAGAN RAYA,1115,171047,854,29,7,0.169544043450046,0.0,3.395784543325527,15.789473684210526
2022-06-14,ACEH,11,NAGAN RAYA,1115,171047,854,28,9,0.163697697124182,0.0,3.278688524590164,16.666666666666664
2022-06-15,ACEH,11,NAGAN RAYA,1115,171047,854,27,9,0.157851350798319,0.0,3.161592505854801,17.142857142857142
2022-06-16,ACEH,11,NAGAN RAYA,1115,171047,854,24,3,0.140312311820728,0.0,2.810304449648712,19.35483870967742
2022-06-13,ACEH,11,PIDIE,1109,458330,2289,98,255,0.213819736870814,0.0,4.281345565749235,60.130718954248366
2022-06-14,ACEH,11,PIDIE,1109,458330,2289,95,235,0.207274234721707,0.0,4.150283966797728,57.89473684210527
2022-06-15,ACEH,11,PIDIE,1109,458330,2289,92,171,0.200728732572601,0.0,4.019222367846221,48.64864864864865
2022-06-16,ACEH,11,PIDIE,1109,458330,2289,221,147,0.482185324984182,0.0,9.654871122761032,27.325581395348834
2022-06-13,ACEH,11,PIDIE JAYA,1118,165397,826,14,0,0.0846448242712988,0.0,1.694915254237288,43.18181818181818
2022-06-14,ACEH,11,PIDIE JAYA,1118,165397,826,66,2,0.399039885850408,0.0,7.990314769975787,21.978021978021975
2022-06-15,ACEH,11,PIDIE JAYA,1118,165397,826,65,2,0.392993826973887,0.0,7.8692493946731235,19.047619047619047
2022-06-16,ACEH,11,PIDIE JAYA,1118,165397,826,66,2,0.399039885850408,0.0,7.990314769975787,19.27710843373494
2022-06-13,ACEH,11,SIMEULUE,1101,97524,490,15,1,0.153808293343177,0.0,3.061224489795918,18.181818181818183
2022-06-14,ACEH,11,SIMEULUE,1101,97524,490,15,1,0.153808293343177,0.0,3.061224489795918,18.181818181818183
2022-06-15,ACEH,11,SIMEULUE,1101,97524,490,15,1,0.153808293343177,0.0,3.061224489795918,15.0
2022-06-16,ACEH,11,SIMEULUE,1101,97524,490,15,1,0.153808293343177,0.0,3.061224489795918,19.047619047619047
2022-06-13,BALI,51,BADUNG,5103,727951,728,3872,3014,5.31903933094398,2.04028925619835,531.8681318681319,1.634733696607488
2022-06-14,BALI,51,BADUNG,5103,727951,728,3837,3083,5.27095917170249,2.31952045869169,527.0604395604396,1.9448373408769448
2022-06-15,BALI,51,BADUNG,5103,727951,728,3897,3194,5.35338230183075,2.61739799846035,535.3021978021978,2.3813723760804377
2022-06-16,BALI,51,BADUNG,5103,727951,728,4132,3130,5.67620622816646,2.6379477250726,567.5824175824176,2.441540577716644
2022-06-13,BALI,51,BANGLI,5106,231050,231,309,240,1.33737286301666,0.0,133.76623376623377,9.903381642512077
2022-06-14,BALI,51,BANGLI,5106,231050,231,341,266,1.47587102358797,0.0,147.61904761904762,9.010989010989013
2022-06-15,BALI,51,BANGLI,5106,231050,231,350,257,1.51482363124865,0.0,151.5151515151515,6.04026845637584
2022-06-16,BALI,51,BANGLI,5106,231050,231,347,257,1.50183942869509,0.0,150.21645021645023,6.206896551724138
2022-06-13,BALI,51,BULELENG,5108,672468,672,755,502,1.12273000350946,0.132450331125828,112.35119047619048,5.639097744360902
2022-06-14,BALI,51,BULELENG,5108,672468,672,745,469,1.10785940743649,0.268456375838926,110.86309523809524,5.865657521286661
2022-06-15,BALI,51,BULELENG,5108,672468,672,799,513,1.18816062623054,0.375469336670839,118.89880952380952,6.4923354373309285
2022-06-16,BALI,51,BULELENG,5108,672468,672,806,502,1.19857004348162,0.372208436724566,119.9404761904762,7.2106261859582546
2022-06-13,BALI,51,GIANYAR,5104,528067,525,860,1642,1.62858122170103,2.44186046511628,163.8095238095238,2.100840336134454
2022-06-14,BALI,51,GIANYAR,5104,528067,525,845,1633,1.60017573527602,2.48520710059172,160.95238095238096,2.434928631402183
2022-06-15,BALI,51,GIANYAR,5104,528067,525,902,1679,1.70811658369108,2.54988913525499,171.80952380952382,2.305246422893482
2022-06-16,BALI,51,GIANYAR,5104,528067,525,859,1559,1.62668752260603,3.14318975552969,163.61904761904762,2.695871946082561
2022-06-13,BALI,51,JEMBRANA,5101,283597,287,374,300,1.31877276557933,0.802139037433155,130.3135888501742,3.4552845528455287
2022-06-14,BALI,51,JEMBRANA,5101,283597,287,403,331,1.42103054686756,0.496277915632754,140.41811846689896,3.7593984962406015
2022-06-15,BALI,51,JEMBRANA,5101,283597,287,413,338,1.45629185076006,0.242130750605327,143.90243902439025,4.074074074074074
2022-06-16,BALI,51,JEMBRANA,5101,283597,287,443,352,1.56207576243754,0.225733634311512,154.3554006968641,4.761904761904762
2022-06-13,BALI,51,KARANGASEM,5107,422596,420,340,87,0.804550918607843,0.882352941176471,80.95238095238095,4.990403071017274
2022-06-14,BALI,51,KARANGASEM,5107,422596,420,370,90,0.875540705543829,0.27027027027027,88.09523809523809,4.121863799283155
2022-06-15,BALI,51,KARANGASEM,5107,422596,420,394,107,0.932332535092618,0.253807106598985,93.8095238095238,4.273504273504273
2022-06-16,BALI,51,KARANGASEM,5107,422596,420,411,72,0.97256008102301,0.48661800486618,97.85714285714285,4.5787545787545785
2022-06-13,BALI,51,KLUNGKUNG,5105,181443,182,324,321,1.7856847605033,0.0,178.021978021978,4.845814977973569
2022-06-14,BALI,51,KLUNGKUNG,5105,181443,182,332,346,1.82977574224412,0.301204819277108,182.4175824175824,4.430379746835443
2022-06-15,BALI,51,KLUNGKUNG,5105,181443,182,354,384,1.95102594203138,0.282485875706215,194.5054945054945,4.65587044534413
2022-06-16,BALI,51,KLUNGKUNG,5105,181443,182,355,380,1.95653731474898,0.563380281690141,195.05494505494505,4.651162790697675
2022-06-13,BALI,51,KOTA DENPASAR,5171,1017590,1015,1905,4315,1.87207028370955,1.62729658792651,187.6847290640394,1.9981412639405205
2022-06-14,BALI,51,KOTA DENPASAR,5171,1017590,1015,1937,4673,1.90351713361963,1.29065565307176,190.83743842364527,2.491103202846975
2022-06-15,BALI,51,KOTA DENPASAR,5171,1017590,1015,2030,4737,1.99490954117081,1.23152709359606,200.0,2.4265644955300125
2022-06-16,BALI,51,KOTA DENPASAR,5171,1017590,1015,2019,4824,1.98409968651421,1.88211986131748,198.91625615763547,2.71551724137931
2022-06-13,BALI,51,TABANAN,5102,453918,455,614,443,1.35266722183302,0.488599348534202,134.94505494505495,2.3977433004231314
2022-06-14,BALI,51,TABANAN,5102,453918,455,636,471,1.4011341255469,0.314465408805031,139.78021978021977,1.6109045848822798
2022-06-15,BALI,51,TABANAN,5102,453918,455,649,477,1.42977365955966,0.308166409861325,142.63736263736263,1.346389228886169
2022-06-16,BALI,51,TABANAN,5102,453918,455,689,566,1.51789530267581,0.290275761973875,151.42857142857142,1.5568862275449102
2022-06-13,BANTEN,36,KOTA CILEGON,3672,452907,455,824,1476,1.81935805805607,0.728155339805825,181.0989010989011,12.4804992199688
2022-06-14,BANTEN,36,KOTA CILEGON,3672,452907,455,666,1180,1.47050056634143,0.45045045045045,146.37362637362637,16.48780487804878
2022-06-15,BANTEN,36,KOTA CILEGON,3672,452907,455,676,1194,1.49258015442464,0.14792899408284,148.57142857142858,16.812439261418856
2022-06-16,BANTEN,36,KOTA CILEGON,3672,452907,455,695,1204,1.53453137178273,0.143884892086331,152.74725274725273,17.126546146527115
2022-06-13,BANTEN,36,KOTA SERANG,3673,718427,3591,748,1314,1.0411635420161,0.668449197860963,20.829852408799777,4.797441364605544
2022-06-14,BANTEN,36,KOTA SERANG,3673,718427,3591,735,1313,1.02306845371903,0.680272108843537,20.46783625730994,2.844638949671773
2022-06-15,BANTEN,36,KOTA SERANG,3673,718427,3591,864,1679,1.20262740682073,0.810185185185185,24.06015037593985,2.4061597690086622
2022-06-16,BANTEN,36,KOTA SERANG,3673,718427,3591,890,1702,1.23881758341488,0.786516853932584,24.78418267891952,2.103250478011472
2022-06-13,BANTEN,36,KOTA TANGERANG,3671,2310136,2310,5927,7382,2.56564981455637,1.31601147292053,256.5800865800866,6.881258941344778
2022-06-14,BANTEN,36,KOTA TANGERANG,3671,2310136,2310,5855,7289,2.53448281832758,1.67378309137489,253.46320346320348,6.7995597407362105
2022-06-15,BANTEN,36,KOTA TANGERANG,3671,2310136,2310,5970,7134,2.58426343730412,2.09380234505863,258.4415584415584,7.344497607655502
2022-06-16,BANTEN,36,KOTA TANGERANG,3671,2310136,2310,6137,7151,2.65655355355702,2.37901254684699,265.6709956709957,7.484188334504568
2022-06-13,BANTEN,36,KOTA TANGERANG SELATAN,3674,1776483,1778,7144,10105,4.02142885690434,3.77939529675252,401.79977502812153,10.343151550500632
2022-06-14,BANTEN,36,KOTA TANGERANG SELATAN,3674,1776483,1778,6972,9677,3.92460834131258,4.21686746987952,392.1259842519685,10.051371522729475
2022-06-15,BANTEN,36,KOTA TANGERANG SELATAN,3674,1776483,1778,7191,9766,4.04788562569977,4.908913920178,404.4431946006749,10.281079041690248
2022-06-16,BANTEN,36,KOTA TANGERANG SELATAN,3674,1776483,1778,7461,9929,4.19987131877986,5.32100254657553,419.6287964004499,10.752981881088957
2022-06-13,BANTEN,36,LEBAK,3602,1316067,6580,553,451,0.420191373235557,0.361663652802893,8.404255319148936,26.36165577342048
2022-06-14,BANTEN,36,LEBAK,3602,1316067,6580,552,348,0.419431533500954,0.72463768115942,8.389057750759878,20.3016241299304
2022-06-15,BANTEN,36,LEBAK,3602,1316067,6580,552,392,0.419431533500954,0.72463768115942,8.389057750759878,22.9490022172949
2022-06-16,BANTEN,36,LEBAK,3602,1316067,6580,529,407,0.401955219605081,0.945179584120983,8.039513677811549,25.740318906605925
2022-06-13,BANTEN,36,PANDEGLANG,3601,1230369,6153,702,321,0.570560539155327,0.142450142450142,11.409068746952707,3.160270880361174
2022-06-14,BANTEN,36,PANDEGLANG,3601,1230369,6153,993,661,0.807074950685526,0.100704934541793,16.138469039492932,1.497504159733777
2022-06-15,BANTEN,36,PANDEGLANG,3601,1230369,6153,995,670,0.808700479287108,0.201005025125628,16.170973508857468,1.5966386554621848
2022-06-16,BANTEN,36,PANDEGLANG,3601,1230369,6153,985,667,0.800572836279198,0.203045685279188,16.008451162034778,1.7094017094017095
2022-06-13,BANTEN,36,SERANG,3604,1520697,7602,1212,426,0.797002953251042,0.0825082508250825,15.943172849250198,22.905982905982903
2022-06-14,BANTEN,36,SERANG,3604,1520697,7602,1164,380,0.765438479854961,0.171821305841924,15.311760063141278,21.907060953530475
2022-06-15,BANTEN,36,SERANG,3604,1520697,7602,1378,388,0.906163423745822,0.0725689404934688,18.12680873454354,19.28533893851813
2022-06-16,BANTEN,36,SERANG,3604,1520697,7602,1398,363,0.919315287660855,0.143061516452074,18.38989739542226,19.04260915307733
2022-06-13,BANTEN,36,TANGERANG,3603,3926447,3927,4909,7749,1.25023972054124,1.79262578936647,125.0063661828368,2.5674358141046474
2022-06-14,BANTEN,36,TANGERANG,3603,3926447,3927,4795,8268,1.2212058382553,1.98123044838373,122.10338680926915,2.494331065759637
2022-06-15,BANTEN,36,TANGERANG,3603,3926447,3927,4871,8381,1.24056175977926,2.09402586737836,124.03870639164757,2.815549512078068
2022-06-16,BANTEN,36,TANGERANG,3603,3926447,3927,4976,8355,1.26730349346368,2.13022508038585,126.7125031830914,2.7388535031847137
2022-06-13,BENGKULU,17,BENGKULU SELATAN,1701,179186,896,212,136,1.18312814617213,0.0,23.660714285714285,2.0
2022-06-14,BENGKULU,17,BENGKULU SELATAN,1701,179186,896,178,93,0.993381179333207,0.0,19.866071428571427,2.73972602739726
2022-06-15,BENGKULU,17,BENGKULU SELATAN,1701,179186,896,176,99,0.982219593048564,0.0,19.642857142857142,2.3041474654377883
2022-06-16,BENGKULU,17,BENGKULU SELATAN,1701,179186,896,131,101,0.731083901644102,0.0,14.620535714285715,2.941176470588235
2022-06-13,BENGKULU,17,BENGKULU TENGAH,1709,116293,581,46,12,0.395552612796987,0.0,7.917383820998279,3.96039603960396
2022-06-14,BENGKULU,17,BENGKULU TENGAH,1709,116293,581,58,10,0.49874025091794,0.0,9.982788296041308,4.273504273504273
2022-06-15,BENGKULU,17,BENGKULU TENGAH,1709,116293,581,53,4,0.455745401700876,0.0,9.122203098106713,6.944444444444445
2022-06-16,BENGKULU,17,BENGKULU TENGAH,1709,116293,581,64,7,0.550334069978417,0.0,11.015490533562824,5.681818181818182
2022-06-13,BENGKULU,17,BENGKULU UTARA,1703,310069,1547,521,565,1.68027116545027,0.0,33.67808661926309,9.07715582450832
2022-06-14,BENGKULU,17,BENGKULU UTARA,1703,310069,1547,506,545,1.63189483631063,0.0,32.70846800258565,9.298780487804878
2022-06-15,BENGKULU,17,BENGKULU UTARA,1703,310069,1547,525,595,1.69317151988751,0.0,33.93665158371041,9.640287769784171
2022-06-16,BENGKULU,17,BENGKULU UTARA,1703,310069,1547,562,648,1.81249979843196,0.0,36.32837750484809,10.066225165562914
2022-06-13,BENGKULU,17,KAUR,1704,125000,623,92,37,0.736,0.0,14.76725521669342,1.9867549668874172
2022-06-14,BENGKULU,17,KAUR,1704,125000,623,69,14,0.552,0.0,11.075441412520064,1.5625
2022-06-15,BENGKULU,17,KAUR,1704,125000,623,59,1,0.472,0.0,9.470304975922954,2.564102564102564
2022-06-16,BENGKULU,17,KAUR,1704,125000,623,66,2,0.528,0.0,10.593900481540931,2.2222222222222223
